Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,Nothumberland Primary Care Trust,11/05/2010,BUILDING  CONTRACTS,PRISON HEALTH,G AND B CIVIL ENGINEERING LTD,1355,28200,
Department of Health,Nothumberland Primary Care Trust,14/05/2010,OTHER CREDITORS < ONE YEAR,BS CREDITOR PAYROLL,NORTHUMBERLAND COUNTY COUNCIL,Apr-10,38417.97,
Department of Health,Nothumberland Primary Care Trust,14/05/2010,OTHER CREDITORS < ONE YEAR,BS CREDITOR PAYROLL,NHS PENSIONS AGENCY,EA3239 APR-10,550240.27,
Department of Health,Nothumberland Primary Care Trust,18/05/2010,RATES,ESTATES - SOUTH EAST,NORTHUMBERLAND COUNTY COUNCIL,BVNN00001026000118,54278.93,
Department of Health,Nothumberland Primary Care Trust,18/05/2010,RATES,ESTATES - SOUTH EAST,NORTHUMBERLAND COUNTY COUNCIL,BVNN00012082800137,81558,
Department of Health,Nothumberland Primary Care Trust,18/05/2010,RATES,ESTATES - WEST,NORTHUMBERLAND COUNTY COUNCIL,CMNN00027037608101/,63893.52,
Department of Health,Nothumberland Primary Care Trust,21/05/2010,"BOOKS, JOURNALS AND SUBSCRIPTIONS",MANAGEMENT,CARE QUALITY COMMISSION,ANN000029419,30000,
Department of Health,Nothumberland Primary Care Trust,28/05/2010,(INTERNAL) RECHARGE : RECEIVED,CORPORATE RECHARGE,NEWCASTLE PCT (COMMISSIONING),64000785,432027,
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),04/05/2010,INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,17895,112227.12,
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),04/05/2010,INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,20442,112227.12,
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),04/05/2010,INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,22352,112227.12,
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),04/05/2010,INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,26812,259175.68,
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),07/05/2010,INDEPENDENT SECTOR,CONTRACTING FINANCE,NORTHUMBERLAND COUNTY COUNCIL,28040,34164,
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),12/05/2010,HEALTHCARE - PCTS,CONTRACTING FINANCE,NEWCASTLE PCT,24614,42504,
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),12/05/2010,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0151094,150495.6,
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),14/05/2010,VOLUNTARY SECTOR,CONTRACTING FINANCE,BARNARDOS NORTH EAST (BELIEVE IN CHILDREN),104103580,45000
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),14/05/2010,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,121505,127438
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),14/05/2010,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS TRUST,26379,241414
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),14/05/2010,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS TRUST,26541,241414
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),14/05/2010,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS TRUST,26609,715479
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),14/05/2010,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,43771,13480763
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),14/05/2010,HEALTHCARE - PCTS,CONTRACTING FINANCE,COUNTY DURHAM PCT,509364,206778
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),14/05/2010,HEALTHCARE - PCTS,CONTRACTING FINANCE,COUNTY DURHAM PCT,509367,4100522
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),14/05/2010,HEALTHCARE - PCTS,CONTRACTING FINANCE,NORTH TYNESIDE PCT (COMMISSIONING),65000897,1710878
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),14/05/2010,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0151748,6027866.66
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),18/05/2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,BS SHEET FIXED ASSETS,LAING OROURKE CONSTRUCTION NORTH LTD,N2633/GH4/,47698.03
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),21/05/2010,PREMISES - OTHER,PRIMARY CARE FINANCE,ROBERTSON CONSTRUCTION NEE LTD,N455,90000.3
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),25/05/2010,OTHER CREDITORS < ONE YEAR,BS CREDITOR PAYROLL,NHS PENSIONS AGENCY,EA0324 APR 10 GP,478739.68
NEFHSA,NORTHUMBERLAND CARE TRUST (COMM),14/05/2010,PMS,Nld,Hirst MG,,166331.6
