Date,Supplier,Amount
01/10/2013,DEPARTMENT OF HEALTH,£731.40
01/10/2013,BRAY LEINO LIMITED,£867.15
01/10/2013,INFORMATION TODAY,£600.00
02/10/2013,CIVIL SERVICE LEARNING,£849.60
04/10/2013,THE FREEMAN CO UK LTD BIR,£889.47
03/10/2013,FTC ECOM,£720.00
04/10/2013,WWW.BL.UK R/T,£981.19
08/10/2013,SERCO LTD,£729.00
08/10/2013,SERCO LTD,£729.00
09/10/2013,CONCEPT FURNITURE INT,£773.10
11/10/2013,SOUTHERN ELECTRIC,£590.73
14/10/2013,CIVIL SERVICE LEARNING,£577.20
18/10/2013,PARAGON GROUP UK,£810.00
29/10/2013,DEPARTMENT OF HEALTH,£690.72
30/10/2013,CIVIL SERVICE LEARNING,£793.20
