Department family,Entity,Date,Expense type,Expense area,SUPPLIER,Transaction number,Amount,VAT registration number,Sort,Month,Source
Department of Health,Birmingham East and North PCT,28/06/2010,CAHMS,Commissioning - Hosted Services,ST ANDREW'S HEALTHCARE,90000541,68519.7,,90000541,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,CAHMS,Commissioning - Hosted Services,WOODBOURNE PRIORY HOSPITAL,90000540,146065.24,,90000540,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,CAHMS,Commissioning - Hosted Services,NEWBRIDGE CARE SYSTEMS LTD,90000539,115938.33,,90000539,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,CAHMS,Commissioning - Hosted Services,THE HUNTERCOMBE STAFFORD HOSPITAL,90000538,367922.15,,90000538,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,CAHMS,Commissioning - Hosted Services,CHEADLE ROYAL HOSPITAL,90000536,73732.5,,90000536,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,ST ANDREW'S HEALTHCARE,90000535,2323579.74,,90000535,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,RAPHAEL HEALTHCARE,90000534,118380,,90000534,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Other SLA Payments,Commissioning - Hosted Services,PRIORY SECURE SERVICES LTD,90000533,143091,,90000533,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,BLENHEIM HOUSE - CHADWICK LODGE,90000532,276337.5,,90000532,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90000531,680803.5,,90000531,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90000530,122895,,90000530,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90000529,124369.65,,90000529,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90000528,62667.3,,90000528,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90000526,238378.53,,90000526,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90000525,324840.6,,90000525,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90000524,352696.8,,90000524,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90000523,142641,,90000523,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90000522,226790.4,,90000522,3,PL
