objectid,fra16cd,fra16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E31000001,Avon,367434,175257,-2.47028995,51.47531891,1332410071.21306,292179.263440095
2,E31000002,Bedfordshire,508276,242055,-0.42184001,52.06629944,1235426093.66653,246521.221274056
3,E31000003,Royal Berkshire,465737,173159,-1.0553,51.45360184,1263886264.34598,296799.977688999
4,E31000004,Buckinghamshire & Milton Keynes,482506,217841,-0.80348003,51.85308075,1873575939.44979,415901.208115157
5,E31000005,Cambridgeshire,536856,271834,0.006854,52.32754898,3395891918.89275,529618.158702757
6,E31000006,Cheshire,368759,368676,-2.46926999,53.21422958,2342769958.02758,461592.256021329
7,E31000007,Cleveland,445425,522495,-1.29848003,54.59561157,597230605.364188,256195.722648205
8,E31000008,Cornwall,212501,64494,-4.64248991,50.45022964,3549500870.66449,1198960.49441872
9,E31000009,Cumbria,341868,527389,-2.90217996,54.63825989,6822195398.81371,987067.168715615
10,E31000010,Derbyshire,426752,353556,-1.60210001,53.07857895,2628793544.98219,419131.291894935
11,E31000011,Devon & Somerset,282431,97161,-3.66835999,50.76208115,10161981993.1844,1377544.47556993
12,E31000013,County Durham and Darlington,410381,532242,-1.8405,54.68513107,2429018088.23463,339193.008266398
13,E31000014,East Sussex,564120,118026,0.33453,50.93832016,1795476863.17065,363712.1651607
14,E31000015,Essex,569523,210837,0.45554799,51.77053833,3677230144.86972,1161271.57770169
15,E31000016,Gloucestershire,389595,213465,-2.15234995,51.81970978,2653031416.22095,533507.053264933
16,E31000017,Hampshire,445931,135667,-1.34512997,51.11845016,3769204674.40663,741110.254246561
17,E31000018,Hereford & Worcester,364519,249269,-2.51986003,52.14057159,3920223634.06851,538864.201923558
18,E31000019,Hertfordshire,518883,213642,-0.27699,51.8087883,1643064931.00528,302891.510116265
19,E31000020,Humberside,488051,443608,-0.66202998,53.88122177,3516101363.9776,789854.64978495
20,E31000021,Isle of Wight,447186,85950,-1.33361995,50.67129898,380164379.442068,192524.471257907
21,E31000022,Kent,590108,148050,0.71976799,51.20001984,3739595839.48837,765175.686966863
22,E31000023,Lancashire,363669,441026,-2.55392003,53.86418152,3076412675.61151,795005.042947391
23,E31000024,Leicestershire,466555,310191,-1.01686001,52.68534851,2550877917.14387,342732.120544497
24,E31000025,Lincolnshire,517985,358543,-0.23882,53.11104965,5937285888.79726,726096.778172214
25,E31000026,Norfolk,600546,312278,0.96466202,52.67110825,5381605318.05981,962969.717931607
26,E31000027,North Yorkshire,429509,466515,-1.55032003,54.09371185,8312199109.00777,815031.338137752
27,E31000028,Northamptonshire,477359,268708,-0.86668003,52.31105042,2366990161.67203,380407.831610601
28,E31000029,Northumberland,395323,600699,-2.07521009,55.30036926,5026214906.84669,584228.440509209
29,E31000030,Nottinghamshire and City of Nottingham,466570,359496,-1.00655997,53.12850189,2159324661.06666,328338.069414703
30,E31000031,Oxfordshire,448985,208334,-1.29146004,51.77154922,2605947809.84985,413240.433835016
31,E31000032,Shropshire,350227,302960,-2.73667002,52.6221199,3487588928.15102,500978.832022166
32,E31000033,Stoke-on-Trent and Staffordshire,398243,334651,-2.02756,52.90930176,2716762875.6973,438122.08040004
33,E31000034,Suffolk,608216,266122,1.04914796,52.2538681,3802344784.93755,757293.461778562
34,E31000035,Surrey,515966,153408,-0.33910999,51.26802826,1670072928.85946,273588.162799926
35,E31000036,Warwickshire,429584,253588,-1.56874001,52.17977142,1977522677.62001,397570.252642801
36,E31000037,West Sussex,508316,118010,-0.45932999,50.95133972,1990871639.30227,484096.385774081
37,E31000039,Isles of Scilly,91327,11447,-6.3021698,49.92332077,16337568.6121006,116312.016438149
38,E31000040,Greater Manchester,377940,401102,-2.33406997,53.50614929,1275981133.87164,248705.576852045
39,E31000041,Merseyside,344324,390164,-2.83892989,53.40534973,646731745.76365,280940.941577153
40,E31000042,South Yorkshire,441052,398663,-1.38284004,53.48310852,1551563987.65481,287864.015190747
41,E31000043,Tyne and Wear,425911,560989,-1.59706998,54.94290161,539965688.456567,277628.778666732
42,E31000044,West Midlands,402507,289715,-1.96448004,52.50534058,901639657.612036,256429.945450795
43,E31000045,West Yorkshire,418686,427238,-1.71817005,53.74119949,2029258660.00132,282889.605715548
44,E31000046,London Fire and Emergency Planning Authority,517516,178392,-0.30864,51.49227142,1573509524.56441,420200.350204923
45,E31000047,Dorset & Wiltshire,384134,134098,-2.22798991,51.1059494,6138107799.05995,912723.265463018
46,W25000001,North Wales,282470,346124,-3.75274992,52.99951172,6172532409.12864,1217951.7485433
47,W25000002,Mid and West Wales,281371,258365,-3.7376101,52.21070099,11796127507.1713,1875275.7408853
48,W25000003,South Wales,322028,198849,-3.12922001,51.68296051,2813470029.5074,437079.628699224
