A3131. Expenditure Over Threshold Report (AP) Feb 16,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Sussex Community NHS Trust,29/02/2016,NonNHS Trade Pybls Curr,Balance Sheet,VODAFONE LTD,17374729,"66,607.92",78849326
Department of Health,Sussex Community NHS Trust,29/02/2016,NonNHS Trade Pybls Curr,Balance Sheet,NHS PROPERTY SERVICES LTD,17377174,"-341,208.75",48403265
Department of Health,Sussex Community NHS Trust,29/02/2016,Equip Maint Contracts,Wheelchair Serv Adults WS,AJ MOBILITY LTD,17379431,"42,431.89",B515405
Department of Health,Sussex Community NHS Trust,29/02/2016,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,17391851,"58,084.62",71378271OR
Department of Health,Sussex Community NHS Trust,29/02/2016,Commercial Sector,Independent Beds Coastal,FOREVER CARE LTD,17391863,"48,492.86",3223
Department of Health,Sussex Community NHS Trust,29/02/2016,SrvcsRecd-FoundationTrust,Bognor WM Med Rheum WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,17391991,"14,744.78",WSH1500017449
Department of Health,Sussex Community NHS Trust,29/02/2016,SrvcsRecd-FoundationTrust,Bognor WM Medical DOME WS,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,17391991,"20,809.58",WSH1500017449
Department of Health,Sussex Community NHS Trust,29/02/2016,Med & Surg Equip Hire,Viking Ward WS,SURREY&SUSSEX HEALTHCARE NHS TRUST,17392039,"8,018.34",11950596
Department of Health,Sussex Community NHS Trust,29/02/2016,Med & Surg Equip Hire,Stroke Rehab Ward WS,SURREY&SUSSEX HEALTHCARE NHS TRUST,17392039,"5,154.65",11950596
Department of Health,Sussex Community NHS Trust,29/02/2016,Med & Surg Equip Hire,Horizon Unit WS,SURREY&SUSSEX HEALTHCARE NHS TRUST,17392039,"12,565.21",11950596
Department of Health,Sussex Community NHS Trust,29/02/2016,Med & Surg Equip Hire,Caravelle Ward WS,SURREY&SUSSEX HEALTHCARE NHS TRUST,17392039,"8,018.34",11950596
Department of Health,Sussex Community NHS Trust,29/02/2016,Limbs,Prosthetics SRCB,OTTO BOCK HEALTHCARE PLC,17413196,"57,144.78",233000383
Department of Health,Sussex Community NHS Trust,29/02/2016,Services Received - PCTs,IT Management,NHS SOUTH EAST COMMISSIONING SUPPORT UNIT,17413290,"100,945.00",7311608144
Department of Health,Sussex Community NHS Trust,29/02/2016,Equip Maint Contracts,Chief Operations Officer Mgmt,SKYGUARD LTD,17415859,"26,535.00",INV26750
Department of Health,Sussex Community NHS Trust,29/02/2016,AUC Additions,Balance Sheet,ACCENTURE (UK) LTD,17415867,"72,988.00",3003308859
Department of Health,Sussex Community NHS Trust,29/02/2016,Commercial Sector,Deputy Director of Finance,ACCENTURE (UK) LTD,17415868,"115,000.00",3003308858
Department of Health,Sussex Community NHS Trust,29/02/2016,Other NHS Payables <1Yr,Balance Sheet,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,17428558,"27,906.75",147478
Department of Health,Sussex Community NHS Trust,29/02/2016,Other NHS Payables <1Yr,Balance Sheet,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,17428571,"-27,906.75",312833
Department of Health,Sussex Community NHS Trust,29/02/2016,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,17444785,"39,491.31",1016204917
Department of Health,Sussex Community NHS Trust,29/02/2016,Computer Software/License,IT Management,PHOENIX PARTNERSHIP (LEEDS) LTD,17450067,"42,895.56",5941
Department of Health,Sussex Community NHS Trust,29/02/2016,Computer Software/License,Wellbeing Business Unit,SILVERCLOUD HEALTH,17490650,"30,000.00",188
Department of Health,Sussex Community NHS Trust,29/02/2016,Contr Other External,Facilities Director,CAPITA PROPERTY & INFRASTRUCTURE LTD,17516587,"165,656.40",6017034620
Department of Health,Sussex Community NHS Trust,29/02/2016,Other Public Sector,Mgt and Adm Adults East,BRIGHTON & HOVE INTERGRATED CARE SERVICE,17516669,"32,020.08",BICS246
Department of Health,Sussex Community NHS Trust,29/02/2016,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,17518204,"50,357.92",1016210706
Department of Health,Sussex Community NHS Trust,29/02/2016,Contr Other External,Facilities Director,CAPITA PROPERTY & INFRASTRUCTURE LTD,17518532,"165,656.40",6017040479
Department of Health,Sussex Community NHS Trust,29/02/2016,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,17532551,"54,980.16",71380589OR
Department of Health,Sussex Community NHS Trust,29/02/2016,Commercial Sector,Chief Operations Officer Mgmt,CHKS LTD,17559288,"30,000.00",6049000484
Department of Health,Sussex Community NHS Trust,29/02/2016,AUC Additions,Balance Sheet,GREGORY HAVANT LTD,17563262,"67,229.04",1592
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574189,"577,892.61",48377193
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574215,"341,208.75",48379946
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574238,"360,266.37",48380196
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574262,"331,714.95",48380200
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574284,"269,538.09",48380249
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574308,"148,799.28",48380251
Department of Health,Sussex Community NHS Trust,29/02/2016,NonNHS Trade Pybls Curr,Balance Sheet,BT PLC,17574406,"43,805.46",VP92649170Q05701
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574482,"360,266.37",48386772
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574506,"269,538.09",48386779
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574529,"94,913.97",48386977
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574555,"331,714.95",48387157
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574580,"148,799.28",48387164
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574669,"577,892.61",48388114
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574694,"341,208.75",48388121
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574717,"36,250.68",48388311
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574741,"312,572.25",48388317
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574879,"-36,250.68",48394537
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17574989,"-148,799.28",48394811
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575010,"-331,714.95",48394820
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575029,"-36,250.68",48394960
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575046,"-360,266.37",48395188
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575065,"-341,208.75",48395249
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575079,"-312,572.25",48395265
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575098,"-577,892.61",48395374
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575132,"-331,714.95",48395545
