Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Computer Hardware,Business Support Directorate,Bradbury Group Ltd,43474,4458.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,695867,81.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,696600,140.05,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,699124,161.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,698277,175.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,697437,186.73,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,699126,201.43,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,696598,291.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,696593,313.72,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,693059,345.72,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,697435,358.51,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2013,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003759783,360.13,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,699125,368.72,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,698273,377.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,697423,383.57,Not applicable,
