Department,Merchant,Merchant Location,MCC,MCC Description,Date Posted,Original Amount
DCLS,PAYPAL  CUMBRIACRAC,"01768868051,  ",5999,Miscellaneous and Specialty Retail Stores,05/04/2016,50
DCLS,MAILCHIMP,"MAILCHIMP.COM, GA 30308",7399,Business Services-Not Elsewhere Classified,11/04/2016,50.36
DCLS,AMZ CKB__LTD,"amzn.com/pmts,  ",4816,Computer Network/Information Services,27/04/2016,52.3
DCLS,DRI NUANCE,"SHANNON, CO.,  ",5734,Computer Software Stores,29/04/2016,139.99
Communities,Amazon UK Marketplace,"800-279-6620,  ",5942,Book Stores,18/04/2016,1.26
DCLS,Amazon UK Retail,"AMAZON.CO.UK,  ",5969,Direct Marketers - Other,11/04/2016,24.74
Communities,Amazon UK Retail,"AMAZON.CO.UK,  ",5969,Direct Marketers - Other,18/04/2016,12.74
DCLS,Amazon UK Marketplace,"800-279-6620,  ",5999,Miscellaneous and Specialty Retail Stores,12/04/2016,8.99
DCLS,Amazon UK Marketplace,"800-279-6620,  ",5999,Miscellaneous and Specialty Retail Stores,12/04/2016,19.98
Communities,Amazon UK Marketplace,"800-279-6620,  ",5999,Miscellaneous and Specialty Retail Stores,20/04/2016,15.8
DCLS,EDEN DISTRICT COUN,"PENRITH,  ",9222,Fines,25/04/2016,195
DCLS,DISCLOSURE SCOT,"EDINBURGH,  ",9399,Government Services-Not Elsewhere Classified,04/04/2016,25
DCLS,DISCLOSURE SCOT,"EDINBURGH,  ",9399,Government Services-Not Elsewhere Classified,04/04/2016,25
DCLS,DISCLOSURE SCOT,"EDINBURGH,  ",9399,Government Services-Not Elsewhere Classified,25/04/2016,25
Finance,RS COMPONENTS,"08457 201201,  ",5065,Electrical Parts and Equipment,22/04/2016,15.91
Finance,Amazon UK Marketplace,"800-279-6620,  ",5942,Book Stores,27/04/2016,2.33
Finance,Amazon UK Retail,"AMAZON.CO.UK,  ",5969,Direct Marketers - Other,06/04/2016,26.95
Communities,DAVE HUDSON ELECTRICAL,"PENRITH,  ",5732,"RADIO, TELEVISION, AND STEREO STORES (ELECTRONIC STORES)",08/04/2016,150
Communities,Amazon UK Marketplace,"800-279-6620,  ",5942,Book Stores,18/04/2016,5.28
DCLS,Amazon UK Retail,"AMAZON.CO.UK,  ",5969,Direct Marketers - Other,22/04/2016,99.63
DCLS,EB ANNUAL EMPLOYMENT,"0800-652-8399,  ",7399,Business Services-Not Elsewhere Classified,26/04/2016,70
DCLS,REDACTIVE PUBLSHNG,"LONDON,  ",8699,Membership Organizations-Not Elsewhere Classified,29/04/2016,600
Communities,THOMAS GRAHAM & SO,"CARLISLE,  ",8911,"Engineering, Architectural, and Surveying Services",06/04/2016,128.69
DCLS,DISCLOSURE SCOT,"EDINBURGH,  ",9399,Government Services-Not Elsewhere Classified,11/04/2016,25
DCLS,DISCLOSURE SCOT,"EDINBURGH,  ",9399,Government Services-Not Elsewhere Classified,28/04/2016,25
