Northern ireland - 6.Post,,,,,,,,,,,,
,,,,,,,,,,,,
ni-6.1,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 6.1,,,,,,,,,,,,
Regular use of postage stamps and postal services by nation ,,,,,,,,,,,,
,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,,,,,,
Buy stamps for letters and cards,53,53,45,61,42,,,,,,,
Send parcels and packets by post ,31,31,31,27,24,,,,,,,
Neither ,41,40,47,31,51,,,,,,,
Send any,58,59,51,69,49,,,,,,,
,,,,,,,,,,,,
"Source: Ofcom Attitudes toward spending research, 2012",,,,,,,,,,,,
"Base: All adults aged 16+ (n = 2124 UK, 1726 England, 182 Scotland, 99 Wales,117 Northern Ireland)",,,,,,,,,,,,
Q: Do you or anyone in your household regularly do any of the following...,,,,,,,,,,,,
,,,,,,,,,,,,
ni-6.2,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 6.2,,,,,,,,,,,,
Approximate number of letters and cards sent per month – personal mail,,,,,,,,,,,,
,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,,,,,,
None/ don't send mail at all,8,8,11,10,11,,,,,,,
Less than 1 item,24,22,31,36,32,,,,,,,
1 or 2 items,29,30,30,21,22,,,,,,,
3 or 4 items,19,20,12,16,14,,,,,,,
5-10 items,14,14,11,11,10,,,,,,,
10-20 items,5,5,4,4,9,,,,,,,
20+ items,1,1,1,1,1,,,,,,,
Don't know,1,1,,1,1,,,,,,,
,,,,,,,,,,,,
"Source: Ofcom omnibus research, December 2011",,,,,,,,,,,,
"Base: All adults aged 16+ with responsibility for post (n = 3615 UK, 3115 England, 232 Scotland, 173 Wales, 95 Northern Ireland)",,,,,,,,,,,,
"Q. Approximately how many letters and cards, do you personally send in an average month? This should exclude any items you send from home in connection with running a business, if you do this from home. We will ask about parcels separately.",,,,,,,,,,,,
,,,,,,,,,,,,
ni-6.3,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 6.3,,,,,,,,,,,,
Approximate number of letters and cards received per week,,,,,,,,,,,,
,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,,,,,,
Don't always receive mail,8,7,6,13,15,,,,,,,
1 or 2 items,14,13,19,13,25,,,,,,,
3 or 4 items,18,18,15,13,17,,,,,,,
5-10 items,30,30,30,36,24,,,,,,,
10-20 items,20,21,20,18,14,,,,,,,
20-30 items,7,7,8,4,3,,,,,,,
30+ items,2,2,1,3,2,,,,,,,
Don't know,1,1,0,1,0,,,,,,,
,,,,,,,,,,,,
"Source: Ofcom omnibus research, December 2011",,,,,,,,,,,,
"Base: All adults aged 16+ with responsibility for post (n = 3615 UK, 3115 England, 232 Scotland, 173 Wales, 95 Northern Ireland)",,,,,,,,,,,,
"Q. Approximately how many letters or cards  do you receive in an average week? Please don’t include parcels, we will ask you about these separately.",,,,,,,,,,,,
,,,,,,,,,,,,
ni-6.4,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 6.4,,,,,,,,,,,,
Approximate number of parcels received per month - personal mail,,,,,,,,,,,,
,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,,,,,,
