Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount 
,,,,,,,
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,LD Supported Living Homes,LD SUPPORTED LIVING HOMES,BOURNEMOUTH BOROUGH COUNCIL,1196828,231989.66
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,ACTIVE ASSISTANCE,1200308,31609.33
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,BIRDS HILL NURSING HOME,1200338,66660.63
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,BRANKSOME PARK NURSING HOME,1200350,70214.93
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,CARE SOUTH,1200361,29071.82
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,COLTEN CARE LTD,1200378,26840.01
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,ESSENTIAL NURSING & CARE SERVICES LTD,1200401,39339.86
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,SHELLEY PARK LTD,1200482,51995.1
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,THE PRIORY GROUP,1203319,35530.68
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,SHAPLAND CLOSE,1203320,29528.57
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,B AND P COMM HLTH SERV,DORSET HEALTHCARE NHS FOUNDATION TRUST,1221886,2493151
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,DORSET HEALTHCARE FT,DORSET HEALTHCARE NHS FOUNDATION TRUST,1221886,4384675.72
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,DORSET COMM HLTH SERV,DORSET HEALTHCARE NHS FOUNDATION TRUST,1221886,344585
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Services Received - PCTs,SW SPEC COMM NON MH,BRISTOL PCT,1222207,2619142
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,POOLE HOSPITAL NHS TRUST,POOLE HOSPITAL NHS FOUNDATION TRUST,1222284,9695325
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,LD Campus Reprovision,LD CAMPUS REPROVISION,BOURNEMOUTH BOROUGH COUNCIL,1272837,34103.81
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Rechgs to-from Other NHS,COMMISSIONING DEVEL DIR,DORSET PCT,1272859,27147
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Healthcare Srv Rec PCTs,COMMISSIONING DEVEL DIR,DORSET PCT,1272859,53101
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,SALISBURY NHS FT,SALISBURY NHS FOUNDATION TRUST,1272877,167690
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,IAPT BOP,IAPT BOP,BOROUGH OF POOLE,1272969,426295
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,BMI Harbour Hospital,BMI HARBOUR HOSPITAL,BMI HEALTHCARE COLLECTIONS,1305855,87844.32
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Secndd staff frm othr org,BOARD,DORSET PCT,1306348,114999.91
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,SOUTH WEST AMBULANCE FT,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,1306386,870348
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,OUT OF HOURS UCS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,1306424,256296
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Indiv Patient Treatments,INDIV PATIENT TREATMENTS,BPAS,1306445,35938
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Joint Hlth and Soc Care,JOINT HLTH AND SOC CARE,BOROUGH OF POOLE,1306570,407352.25
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Spinal Contract,SPINAL CONTRACT,NEW HALL HOSPITAL,1306622,104108.57
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,SrvcsRecd-FoundationTrust,AGENCY OVERHEADS,DORSET HEALTHCARE NHS FOUNDATION TRUST,1386863,40265.92
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Joint Hlth and Soc Care,JOINT HLTH AND SOC CARE,BOROUGH OF POOLE,1387261,407352.25
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,APMS-Other,NEW WAVE APMS,NEW WAVE INTEGRATED CARE LTD,1387474,40021.33
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Drugs,PRACTICE PRESCRIBING,NUTRICIA LTD,1428440,28252.82
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Services from Local Auth,LD CAMPUS REPROVISION,BOURNEMOUTH BOROUGH COUNCIL,1436946,339384
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,SUHT SLA,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1437344,560630
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,AGENCY OVERHEADS,DORSET HEALTHCARE NHS FOUNDATION TRUST,1386863,40265.92
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Computer Software/License,RISC,UNITEDHEALTH UK,1465151,52638.62
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Brief Interv Therapy,BRIEF INTERV THERAPY,CRI,1465306,45372.5
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,LD Campus Reprovision,LD CAMPUS REPROVISION,LIFEWAYS COMMUNITY CARE LTD,1465577,65099.12
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Section 117 Patients,SECTION 117 PATIENTS,BOURNEMOUTH BOROUGH COUNCIL,1466042,27802.97
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,ROYAL BMTH AND XCH NHS FT,ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,1472282,9531246.92
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,BOURNEMOUTH BOROUGH COUNCIL,1482100,25755.82
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Tackling Hlth Inequality,TACKLING HLTH INEQUALITY,SUSTRANS LTD,1489613,32667
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,DRUG AND ALCOHOL SERV,DORSET HEALTHCARE NHS FOUNDATION TRUST,1490648,40621.83
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,DRUG AND ALCOHOL SERV,DORSET HEALTHCARE NHS FOUNDATION TRUST,1490652,40621.84
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,DRUG AND ALCOHOL SERV,DORSET HEALTHCARE NHS FOUNDATION TRUST,1490662,40622.33
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,DRUG AND ALCOHOL SERV,DORSET HEALTHCARE NHS FOUNDATION TRUST,1490692,40622.13
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,POOLE HOSPITAL NHS TRUST,POOLE HOSPITAL NHS FOUNDATION TRUST,1491411,8833075
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,ACTIVE ASSISTANCE,1493587,32662.97
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,BIRDS HILL NURSING HOME,1493622,57020.72
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,BRANKSOME PARK NURSING HOME,1493634,58760.43
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,COLTEN CARE LTD,1493671,32045.15
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,ESSENTIAL NURSING & CARE SERVICES LTD,1493696,40687.99
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,GLENSIDE MANOR HEALTHCARE SERVICES LTD,1493711,34995.69
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Continuing Care,CONTINUING CARE,SHELLEY PARK LTD,1493820,56727.62
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,SALISBURY NHS FT,SALISBURY NHS FOUNDATION TRUST,1503358,129914
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Rechgs to-from Other NHS,COMMISSIONING DEVEL DIR,DORSET PCT,1503491,27147
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Healthcare Srv Rec PCTs,COMMISSIONING DEVEL DIR,DORSET PCT,1503491,53101
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Indiv Patient Treatments,INDIV PATIENT TREATMENTS,BPAS,1503643,26218.42
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,B AND P COMM HLTH SERV,DORSET HEALTHCARE NHS FOUNDATION TRUST,1508486,2493151
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,DORSET HEALTHCARE FT,DORSET HEALTHCARE NHS FOUNDATION TRUST,1508486,4384675.72
DEPARTMENT OF HEALTH,BOURNEMOUTH & POOLE TEACHING PCT,31/07/2012,Hlthcre-Foundation Trsts,DORSET COMM HLTH SERV,DORSET HEALTHCARE NHS FOUNDATION TRUST,1508486,344585
