CPS outcomes by principal offence category North Yorkshire October 2010,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,2,100.00%,0,0.00%
B Offences Against The Person,108,83.10%,22,16.90%
C Sexual Offences,14,87.50%,2,12.50%
D Burglary,37,94.90%,2,5.10%
E Robbery,6,75.00%,2,25.00%
F Theft And Handling,143,92.90%,11,7.10%
G Fraud And Forgery,3,100.00%,0,0.00%
H Criminal Damage,44,100.00%,0,0.00%
I Drugs Offences,61,92.40%,5,7.60%
J Public Order Offences,87,90.60%,9,9.40%
K All Other Offences (excluding Motoring),24,72.70%,9,27.30%
L Motoring Offences,149,94.30%,9,5.70%
Admin Finalisations,0,0.00%,3,100.00%
TOTAL,678,90.20%,74,9.80%
