Title:,Distribution of annual site mean concentration of certain heavy metals in rivers - 1980-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year:,1980-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography:,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units:,mq/litre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"EA (Environment Agency), SEPA (Scottish Environment Protection Agency) - The Harmonised Monitoring Scheme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/inland-water/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date:,Nov-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution of annual site mean concentration of certain heavy metals in rivers - 1980-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,Site Percentile,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zinc,90th percentile,80.2659,59.4286,55.0714,72.,68.2143,63.6875,54.5238,56.5238,55.6677,48.3333,49.5,49.8268,48.5526,40.4762,39.6154,38.2414,44.0714,40.1538,60.2,37.7333,35.99,32.6429,36.9327,33.5667,35.6385,36.1083,37.9458,28.725,29.4063,30.8,31.0125
Zinc,50th percentile,24.2292,20.2143,20.25,22.2738,23.75,20.9792,19.7592,19.3077,16.6184,13.6703,15.4545,16.3883,15.5473,13.5833,13.1818,13.6667,13.2692,13.25,14.3795,11.3083,12.5833,12.0222,12.2014,9.9775,10.14,9.5164,10.0046,9.6,9.6793,8.31,8.4946
Zinc,10th percentile,7.5132,5.9167,6.8333,6.,5.6667,5.,4.65,5.25,4.2614,4.5682,5.2667,5.4554,5.4483,3.4545,4.2692,4.2843,4.375,4.9167,4.5,3.8417,4.6575,4.755,4.0641,3.7364,3.2925,4.1833,3.7312,3.6454,4.0027,3.2917,2.7695
Zinc,No. of sites,202,195,197,196,189,184,210,201,204,200,195,196,202,195,195,197,203,195,201,217,225,225,226,227,227,225,226,225,224,225,226
Copper,90th percentile,19.7708,24.1667,19.6429,19.7,24.875,18.8864,15.6168,17.6575,14.8043,12.8835,13.,12.01,10.75,10.5748,10.2,9.4167,9.0278,9.0395,10.68,8.7189,7.772,8.1556,7.0938,6.31,6.55,6.0583,5.9862,5.9467,6.4621,6.7583,5.8463
Copper,50th percentile,7.4417,7.2143,6.9451,7.629,8.4444,6.697,5.6271,5.4006,5.,4.2846,4.5156,4.1005,4.,3.8868,3.75,3.2857,2.9583,3.6618,3.6,2.8975,3.3089,3.1767,3.0924,2.6875,2.8342,2.6942,2.605,2.625,2.7498,2.7175,2.5225
Copper,10th percentile,3.4722,2.5,3.2817,2.5923,2.875,2.7093,2.2917,1.9423,1.4,1.5358,1.8542,1.4286,1.5,1.2887,1.1417,1.0769,1.0588,1.25,1.3167,1.0551,1.1634,1.1683,1.1372,1.135,1.219,1.1267,1.0163,0.9991,1.0969,1.05,0.9866
Copper,No. of sites,202,193,198,196,189,192,200,190,199,194,186,184,187,180,180,197,195,194,201,216,220,221,224,227,227,225,225,225,224,225,226
Lead,90th percentile,23.1758,21.4764,30.,25.,19.9274,23.75,18.4234,13.5,9.9013,10.756,9.3158,9.,9.9286,8.6077,8.7595,7.2,7.8824,6.2784,13.3408,6.923,7.7418,5.5291,5.8246,3.9621,6.2834,4.5192,4.7758,3.9308,4.4917,5.,4.8192
Lead,50th percentile,6.75,5.8709,5.2692,5.6667,5.4674,4.7143,4.7727,4.6053,3.8864,3.4659,3.5,2.4615,2.3462,2.5,1.9844,1.48,1.3667,1.5878,2.353,1.6667,1.9979,1.7354,1.5111,1.1407,1.225,1.1417,1.2417,1.2327,1.2564,1.1417,1.1208
Lead,10th percentile,1.2029,1.0931,2.0588,2.1667,2.2576,1.5,1.6069,1.4167,1.25,1.0732,1.,0.8636,0.7083,0.7003,0.7042,0.6071,0.5611,0.6667,0.6995,0.4286,0.6042,0.5,0.4411,0.5914,0.5278,0.3917,0.3595,0.5291,0.5288,0.3442,0.3514
Lead,No. of sites,192,188,197,195,180,187,194,185,194,186,189,183,187,180,180,183,184,176,176,177,182,183,185,226,226,225,225,225,224,225,226
Nickel,90th percentile,20.625,15.4412,13.4524,19.4108,21.3636,14.5844,15.8547,12.86,14.9702,13.2542,12.7692,11.72,10.6316,9.7143,9.2727,10.3333,9.6556,9.375,7.9477,9.2766,7.7326,6.7871,5.7273,5.6621,5.4751,4.5,4.3917,4.4167,4.5497,4.775,5.0242
Nickel,50th percentile,5.875,5.,4.5506,5.,5.,5.,5.,5.,4.6333,4.6189,4.,3.8654,3.3333,3.1681,2.625,3.625,3.0408,2.9808,2.9729,2.5,2.753,3.2402,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.0233,1.9169
Nickel,10th percentile,1.6071,1.2055,1.5,1.6536,1.7778,1.6333,1.6159,1.4444,2.1688,1.5938,1.5909,0.8636,0.7,0.6186,0.825,1.1818,1.1774,1.5,1.5,1.4621,1.5,1.5,1.4067,1.3881,1.5,1.4167,1.0197,1.2712,1.3881,0.78,0.5994
