Minister,Date,Name of External Organisation,Purpose of meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,Amazon,To discuss the book industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,Citizens Advice,To discuss consumer policy
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,Rugby Football Union,To discuss tickets resale
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,Crossrail Ltd,To discuss the rail industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,The Russell Group,To discuss Higher Education
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,CentreForum,To discuss mental health issues
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,HSBC,To discuss banking
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,RBS,To discuss Enterprise Finance Guarantee
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,British Business Bank,To discuss Enterprise Finance Guarantee
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,BBC,Regular meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,Santander,To discuss banking
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,ITN,Regular meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,QED UK,To discuss board diversity
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,The Times,Regular meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,"British Bankers’ Association, Barclays, RBS, Lloyds Banking Group, HSBC, Post Office Ltd, LINK, Santander, Association of British Credit Unions Ltd, Financial Conduct Authority, Federation of Small Businesses, Which?, Citizens Advice Bureau, Toynbee Hall, Scope, Age UK, Archbishop of Canterbury’s Social & Public Affairs Adviser",To discuss access to finance
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Jan-2015,BP,Regular meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Feb-2015,Barclays,To discuss banking
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Feb-2015,Traidcraft,To discuss Transatlantic Trade & Investment Partnership
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Feb-2015,EEF The Manufacturers’ Association,Regular meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Feb-2015,Trade Unions Congress,Regular meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Feb-2015,157 Group,To discuss skills
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Feb-2015,Nissan,To discuss the automotive industry
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Feb-2015,Confederation of British Industry,Regular meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Feb-2015,Tesco,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Mar-2015,Mitsubishi Heavy Industries Europe,Introductory meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Mar-2015,Rolls Royce Group,Regular meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Mar-2015,Electronic Systems Leadership Council,To discuss the work of the Council
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Mar-2015,Jamie Oliver,To discuss Transatlantic Trade & Investment Partnership
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Mar-2015,HSBC Bank,To discuss banking
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Mar-2015,End Violence Against Women Coalition,To discuss women’s safety at university
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Mar-2015,Royal Mail,Regular meeting
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Mar-2015,"Social Business International, E3M Leaders Club",To discuss social enterprise
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",Mar-2015,Centre for the Advancement of Sustainable Medical Innovation,To discuss the catapult network
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP ",Jan-2015,Northumbria University,To discuss higher education
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP ",Jan-2015,Universities UK,To discuss higher education
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP ",Jan-2015,Organisation for Economic Co-operation and Development,To discuss higher education
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP ",Jan-2015,"Autonomy, University of Southampton, Genomics England, Critical Insight Security Ltd",To discuss Big Data
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP ",Jan-2015,Agri-Tech Leadership Council,To discuss agri-tech
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP ",Jan-2015,University Alliance,To discuss higher education
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP ",Jan-2015,Russell Group,To discuss higher education
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP ",Jan-2015,Teach First,To discuss higher education
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP ",Jan-2015,Smart Cities Forum ,To discuss innovation
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP ",Feb-2015,Student Loans Company,To discuss higher education
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP ",Feb-2015,Ifs University College,To discuss higher education
