No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Transfer MORROW,Stage 2 - Total,Stage 3 - Exclusion MOORE,Stage 3 - Total,Stage 4 - Exclusion ANDERSON,Stage 4 - Total,"Stage 5 - Exclusion BELL, O'CONNOR",Stage 5 - Total,Stage 6 - Exclusion WILSON M,Stage 6 - Total,Stage 7 - Transfer MCKEOWN,Stage 7 - Total,Stage 8 - Transfer MULVENNA,Stage 8 - Total,Stage 9 - Exclusion NIBLOCK,Stage 9 - Total,Stage 10 - Transfer LYONS,Stage 10 - Total
1,ANDERSON,John Hugh,Independent,Excluded - Stage 3,133.00,1.30,134.30,0.00,134.30,-134.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,BELL,Robert Stanley,British National Party,Excluded - Stage 4,101.00,0.80,101.80,38.45,140.25,13.05,153.30,-153.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,HODGE,Jonathan,Progressive Unionist Party of Northern Ireland,Excluded - Stage 10,464.00,2.25,466.25,7.05,473.30,4.10,477.40,46.30,523.70,13.10,536.80,17.00,553.80,4.60,558.40,51.66,610.06,78.26,688.32
4,LYONS,Gordon,Democratic Unionist Party - D.U.P.,Elected - Stage 9,660.00,9.85,669.85,7.15,677.00,15.10,692.10,30.45,722.55,8.15,730.70,2.00,732.70,3.68,736.38,397.00,1133.38,-235.38,898.00
5,MCKEOWN,James,Sinn Fein,Elected - Stage 6,756.00,0.10,756.10,0.00,756.10,5.05,761.15,24.05,785.20,145.00,930.20,-32.20,898.00,0.00,898.00,0.00,898.00,0.00,898.00
6,MOORE,Steven Paul,British National Party,Excluded - Stage 2,72.00,0.70,72.70,-72.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,MORROW,Maureen,Ulster Unionist Party,Elected - Stage 1,947.00,-49.00,898.00,0.00,898.00,0.00,898.00,0.00,898.00,0.00,898.00,0.00,898.00,0.00,898.00,0.00,898.00,0.00,898.00
8,MULVENNA,Gerardine,Alliance Party,Elected - Stage 6,590.00,8.35,598.35,2.05,600.40,35.30,635.70,66.25,701.95,209.00,910.95,0.00,910.95,-12.95,898.00,0.00,898.00,0.00,898.00
9,NIBLOCK,Drew,Democratic Unionist Party - D.U.P.,Excluded - Stage 8,484.00,10.30,494.30,5.00,499.30,5.15,504.45,32.25,536.70,8.10,544.80,6.00,550.80,1.84,552.64,-552.64,0.00,0.00,0.00
10,O'CONNOR,Danny,Independent,Excluded - Stage 4,188.00,0.85,188.85,0.00,188.85,18.15,207.00,-207.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,WILSON,Martin,SDLP (Social Democratic & Labour Party),Excluded - Stage 5,416.00,1.10,417.10,0.00,417.10,8.05,425.15,61.25,486.40,-486.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,WILSON,Ruth,Traditional Unionist Voice TUV,Elected - Stage 10,575.00,8.70,583.70,8.00,591.70,22.25,613.95,38.35,652.30,7.20,659.50,1.00,660.50,2.76,663.26,54.85,718.11,155.61,873.72
Non transferable,,,,,,4.70,4.70,5.00,9.70,8.10,17.80,61.40,79.20,95.85,175.05,6.20,181.25,0.07,181.32,49.13,230.45,1.51,231.96
Totals,,,,,5386.00,,5386.00,,5386.00,,5386.00,,5386.00,,5386.00,,5386.00,,5386.00,,5386.00,,5386.00
