Donor,CRS purpose code,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Notes
"G7, Total",15210,Security system management and reform,..,..,..,6.91045,0.363597,21.921495,78.732842,61.587213,58.275126,80.545757,"Security system management and reform - data available for DAC Donors 2004 onwards, 2005 for G7 and EU"
"G7, Total",15220,"Civilian peace-building, conflict prevention and resolution",..,..,48.615,109.160956,114.621714,192.45624,194.05347,218.00925,190.673928,190.742209,"Civilian peace-building, conflict prevention and resolution - data from 2004"
"G7, Total",15230,Post-conflict peace building (un),29.004569,63.187681,18.342195,4.519921,8.209402,29.916884,32.089339,66.769461,25.829559,28.460743,Post-conflict peace building (UN) - data from 2002
"G7, Total",15240,Reintegration and salw control,6.21004,10.639387,8.492733,9.726647,25.280243,21.570895,35.360568,18.773535,14.345429,25.176873,"Reintegration and SALW control - 2002 for G7, 2003 for DAC and EU"
"G7, Total",15250,Land mine clearance,18.467719,22.617649,15.879907,18.486205,23.493896,25.804039,20.910098,18.787398,21.999511,41.212739,Land mine clearance - data from 2002
"G7, Total",15261,Child soldiers (prevention and demobilisation),..,..,0.027006,0.010564,0.0251,0.349076,0.628974,0.99142,12.820049,4.63603,"Child soldiers (prevention and demobilisation) - data from 2004; EU missing data for 2005, 2008 and 2009"
"EU Institution, Total",15210,Security system management and reform,..,..,..,13.149391,7.530301,9.879433,26.423789,19.379947,32.148909,50.61997,"Security system management and reform - data available for DAC Donors 2004 onwards, 2005 for G7 and EU"
"EU Institution, Total",15220,"Civilian peace-building, conflict prevention and resolution",..,..,..,0.1479,15.042433,7.882494,30.368691,34.980492,19.776355,32.670802,"Civilian peace-building, conflict prevention and resolution - data from 2004"
"EU Institution, Total",15230,Post-conflict peace building (un),17.344265,43.033488,16.816573,0.063386,..,10.951403,..,2.088846,..,0.110385,Post-conflict peace building (UN) - data from 2002
"EU Institution, Total",15240,Reintegration and salw control,..,0.944854,0.153261,40.833955,6.251622,4.485188,6.135221,5.959469,2.285663,0.226445,"Reintegration and SALW control - 2002 for G7, 2003 for DAC and EU"
"EU Institution, Total",15250,Land mine clearance,0.065969,3.293311,..,16.526224,14.864848,14.251451,19.930802,3.901039,10.507463,4.87877,Land mine clearance - data from 2002
"EU Institution, Total",15261,Child soldiers (prevention and demobilisation),..,..,..,..,0.763791,0.208253,..,..,0.275947,0.212853,"Child soldiers (prevention and demobilisation) - data from 2004; EU missing data for 2005, 2008 and 2009"
