Ofcom,,,,,,,
Telecommunications market data tables,,,,,,,
Q1 2010 ,,,,,,,
,,,,,,,
1. Fixed telecoms market data tables,,,,,,,
2010 Q1,(January to March 2010),,,,,,
,,,,,,,
Table 1,,,,,,,
Summary of network access & call revenues by operator (£millions),,,,,,,
,,,,,,,
,All Operators,BT,Virgin Media,Other,,,BT share
,,,,,,,
Access & Calls (1),,,,,,,
2008,"9,193","5,436","1,175","2,582",,,59.10%
2009,"8,885","4,957","1,152","2,776",,,55.80%
,,,,,,,
2009 Q1,"2,206","1,259",289,658,,,57.10%
2009 Q2,"2,250","1,290",285,675,,,57.30%
2009 Q3,"2,194","1,214",286,694,,,55.30%
2009 Q4,"2,235","1,194",293,748,,,53.40%
2010 Q1,"2,208","1,144",287,777,,,51.80%
,,,,,,,
Access,,,,,,,
2008,"4,664","3,044",571,"1,049",,,65.30%
2009,"4,549","2,815",576,"1,158",,,61.90%
,,,,,,,
2009 Q1,"1,127",717,144,266,,,63.60%
2009 Q2,"1,168",743,144,281,,,63.60%
2009 Q3,"1,127",689,144,295,,,61.10%
2009 Q4,"1,127",666,144,317,,,59.10%
2010 Q1,"1,133",656,145,332,,,57.90%
,,,,,,,
Calls (1),,,,,,,
2008,"4,529","2,392",604,"1,533",,,52.80%
2009,"4,336","2,142",576,"1,618",,,49.40%
,,,,,,,
2009 Q1,"1,079",542,144,393,,,50.20%
2009 Q2,"1,082",547,140,395,,,50.60%
2009 Q3,"1,067",525,142,400,,,49.20%
2009 Q4,"1,108",528,149,431,,,47.60%
2010 Q1,"1,076",488,142,445,,,45.40%
,,,,,,,
(1) Revenue figures are not intended to include subscription revenues for unmetered dial-up internet access although some element may remain.,,,,,,,
,,,,,,,
Table 2,,,,,,,
Summary of exchange line numbers at end of quarter by operator (000's),,,,,,,
,,,,,,,
,All Operators,BT,Virgin Media,Other ,,,BT share
,,,,,,,
2008,"33,217","20,567","4,605","8,046",,,61.90%
2009,"32,597","18,222","4,681","9,694",,,55.90%
,,,,,,,
2009 Q1,"33,107","20,007","4,606","8,494",,,60.40%
2009 Q2,"32,786","19,280","4,597","8,909",,,58.80%
2009 Q3,"32,670","18,742","4,609","9,319",,,57.40%
2009 Q4,"32,597","18,222","4,681","9,694",,,55.90%
2010 Q1,"32,529","17,800","4,710","10,019",,,54.70%
,,,,,,,
Table 3,,,,,,,
Summary of call volumes by operator (millions of minutes) (1),,,,,,,
,,,,,,,
,All Operators,BT (1),Virgin Media,Other Direct Access,Other Indirect Access,,BT share (1)
,,,,,,,
2008,"144,039","67,152","19,272","16,984","40,631",,46.60%
2009,"135,480","56,640","17,408","18,164","43,268",,41.80%
,,,,,,,
2009 Q1,"34,946","15,407","4,661","4,512","10,366",,44.10%
2009 Q2,"33,131","13,942","4,238","4,355","10,596",,42.10%
2009 Q3,"33,129","13,684","4,238","4,297","10,910",,41.30%
2009 Q4,"34,274","13,607","4,271","4,999","11,396",,39.70%
2010 Q1,"34,821","13,566","4,286","5,424","11,545",,39.00%
,,,,,,,
(1) Includes calls made to non-BT internet service providers via FRIACO.,,,,,,,
,,,,,,,
Table 4,,,,,,,
Summary of call revenues by call type and operator (£millions),,,,,,,
,,,,,,,
,All Operators,BT,Virgin Media,Other,,,BT share
,,,,,,,
UK geographic calls,,,,,,,
2008,"1,368",753,161,454,,,55.00%
2009,"1,373",725,167,481,,,52.80%
,,,,,,,
2009 Q1,342,183,41,118,,,53.60%
2009 Q2,335,180,39,116,,,53.70%
2009 Q3,333,174,41,117,,,52.40%
2009 Q4,363,187,46,130,,,51.60%
2010 Q1,356,180,43,134,,,50.40%
,,,,,,,
International calls,,,,,,,
2008,554,252,53,250,,,45.40%
2009,514,211,47,256,,,41.00%
,,,,,,,
2009 Q1,133,57,12,64,,,42.80%
2009 Q2,129,53,12,64,,,41.40%
2009 Q3,126,51,12,63,,,40.50%
2009 Q4,126,49,12,65,,,39.10%
2010 Q1,126,49,11,66,,,38.80%
,,,,,,,
Calls to mobiles,,,,,,,
2008,"1,530",718,220,592,,,46.90%
2009,"1,435",641,194,600,,,44.70%
,,,,,,,
2009 Q1,364,167,49,148,,,46.00%
2009 Q2,358,163,49,147,,,45.40%
2009 Q3,358,159,48,150,,,44.60%
2009 Q4,355,152,48,156,,,42.80%
2010 Q1,336,135,45,156,,,40.10%
,,,,,,,
Other calls (1),,,,,,,
2008,"1,076",669,170,236,,,62.20%
2009,"1,015",565,168,281,,,55.70%
,,,,,,,
2009 Q1,240,134,42,63,,,55.90%
2009 Q2,260,152,41,68,,,58.20%
2009 Q3,251,141,41,69,,,56.10%
2009 Q4,264,139,44,80,,,52.80%
2010 Q1,257,124,43,89,,,48.40%
,,,,,,,
"(1) Includes freephone, special services, premium rate, directory enquiries and all other call types. Figures are not intended to include subscription revenues for unmetered dial-up internet access although some element may remain.",,,,,,,
,,,,,,,
Table 5,,,,,,,
Summary of call volumes by call type and operator (millions of minutes),,,,,,,
,,,,,,,
,All Operators,BT,Virgin Media,Other Direct Access,Other Indirect Access,,BT share
,,,,,,,
UK geographic calls,,,,,,,
2008,"91,892","41,345","13,732","10,792","26,023",,45.00%
2009,"88,970","36,503","12,646","11,863","27,958",,41.00%
,,,,,,,
2009 Q1,"22,953","9,903","3,390","2,901","6,759",,43.10%
2009 Q2,"21,554","8,885","3,059","2,806","6,804",,41.20%
2009 Q3,"21,533","8,738","3,049","2,784","6,962",,40.60%
2009 Q4,"22,930","8,977","3,148","3,372","7,433",,39.10%
2010 Q1,"23,400","9,018","3,183","3,686","7,513",,38.50%
,,,,,,,
International calls,,,,,,,
2008,"6,173","1,852",366,"2,050","1,904",,30.00%
2009,"6,186","1,709",338,"2,182","1,957",,27.60%
,,,,,,,
2009 Q1,"1,565",452,86,554,473,,28.90%
2009 Q2,"1,542",426,83,542,490,,27.60%
2009 Q3,"1,512",407,84,531,490,,26.90%
2009 Q4,"1,567",424,85,555,503,,27.10%
2010 Q1,"1,592",421,85,580,506,,26.40%
,,,,,,,
Calls to mobiles,,,,,,,
2008,"13,277","6,266","1,328","1,431","4,252",,47.20%
2009,"12,371","5,254","1,124","1,397","4,596",,42.50%
,,,,,,,
2009 Q1,"3,148","1,397",296,365,"1,090",,44.40%
2009 Q2,"3,063","1,323",283,338,"1,118",,43.20%
2009 Q3,"3,079","1,297",279,320,"1,183",,42.10%
2009 Q4,"3,082","1,237",266,375,"1,205",,40.10%
2010 Q1,"3,063","1,206",258,394,"1,205",,39.40%
,,,,,,,
Other calls (1),,,,,,,
2008,"32,697","17,689","3,846","2,711","8,451",,54.10%
2009,"27,953","13,174","3,300","2,722","8,757",,47.10%
,,,,,,,
2009 Q1,"7,281","3,655",889,694,"2,043",,50.20%
2009 Q2,"6,973","3,308",813,668,"2,184",,47.40%
2009 Q3,"7,005","3,242",826,663,"2,275",,46.30%
2009 Q4,"6,694","2,969",772,698,"2,255",,44.40%
2010 Q1,"6,765","2,921",760,764,"2,321",,43.20%
,,,,,,,
"(1) Includes freephone, special services, premium rate, directory enquiries and all other call types. All dial-up calls to the internet are also included. BT figures include calls made to non-BT internet service providers via FRIACO.",,,,,,,
,,,,,,,
Table 6,,,,,,,
Summary of residential network access & call revenues by operator (£millions),,,,,,,
,,,,,,,
,All Operators,BT,Virgin Media,Other,,,BT share
,,,,,,,
Access & Calls (1),,,,,,,
2008,"5,955","3,527","1,055","1,372",,,59.20%
2009,"5,861","3,280","1,044","1,536",,,56.00%
,,,,,,,
2009 Q1,"1,422",812,260,350,,,57.10%
2009 Q2,"1,486",863,258,366,,,58.10%
2009 Q3,"1,447",800,259,389,,,55.30%
2009 Q4,"1,505",806,268,432,,,53.50%
2010 Q1,"1,474",770,261,443,,,52.20%
,,,,,,,
Access,,,,,,,
2008,"3,047","1,936",532,579,,,63.50%
2009,"3,028","1,811",538,679,,,59.80%
,,,,,,,
2009 Q1,737,454,135,148,,,61.70%
2009 Q2,783,486,135,163,,,62.00%
2009 Q3,750,441,134,175,,,58.80%
2009 Q4,757,429,135,194,,,56.70%
2010 Q1,761,422,135,205,,,55.40%
,,,,,,,
Calls (1),,,,,,,
2008,"2,908","1,592",523,793,,,54.70%
2009,"2,833","1,470",506,857,,,51.90%
,,,,,,,
2009 Q1,685,358,126,202,,,52.20%
2009 Q2,703,377,123,203,,,53.70%
2009 Q3,697,359,125,213,,,51.50%
2009 Q4,748,376,133,239,,,50.30%
2010 Q1,712,348,126,239,,,48.80%
,,,,,,,
(1) Revenue figures are not intended to include subscription revenues for unmetered dial-up internet access although some element may remain.,,,,,,,
,,,,,,,
Table 7,,,,,,,
Summary of residential exchange line numbers at end of quarter by operator (000's),,,,,,,
,,,,,,,
,All Operators,BT,Virgin Media,Other,,,BT share
,,,,,,,
2008,"23,525","14,954","4,170","4,402",,,63.60%
2009,"23,374","13,328","4,249","5,797",,,57.00%
,,,,,,,
2009 Q1,"23,459","14,513","4,177","4,769",,,61.90%
2009 Q2,"23,388","14,087","4,169","5,132",,,60.20%
2009 Q3,"23,359","13,694","4,182","5,483",,,58.60%
2009 Q4,"23,374","13,328","4,249","5,797",,,57.00%
2010 Q1,"23,432","13,045","4,292","6,095",,,55.70%
,,,,,,,
Table 8,,,,,,,
Summary of residential call volumes by operator (millions of minutes) (1),,,,,,,
,,,,,,,
,All Operators,BT1,Virgin Media,Other,,,BT share1
,,,,,,,
2008,"99,428","49,180","16,717","33,531",,,49.50%
2009,"94,125","41,586","15,039","37,500",,,44.20%
,,,,,,,
2009 Q1,"24,259","11,354","4,031","8,874",,,46.80%
2009 Q2,"22,978","10,179","3,664","9,135",,,44.30%
2009 Q3,"23,042","9,963","3,642","9,437",,,43.20%
2009 Q4,"23,846","10,090","3,702","10,054",,,42.30%
2010 Q1,"23,983","9,954","3,701","10,328",,,41.50%
,,,,,,,
(1) Includes calls made to non-BT internet service providers via FRIACO.,,,,,,,
,,,,,,,
Table 9,,,,,,,
Summary of residential call revenues by call type and operator (£millions),,,,,,,
,,,,,,,
,All Operators,BT,Virgin Media,Other,,,BT share
,,,,,,,
UK geographic calls,,,,,,,
2008,868,508,138,222,,,58.50%
2009,918,518,148,251,,,56.50%
,,,,,,,
2009 Q1,221,126,36,59,,,57.10%
