Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
Department of Health,NHS Blood and Transplant,01/08/2013,LEGAL PROVISIONS,NBS and ODT All Areas,MANUAL PAYMENTS,1738603,85706.3,Settlement and other costs incurred relating to legal claims
Department of Health,NHS Blood and Transplant,02/08/2013,CARTONS & PACKAGING,Organ Donation & Transplantation,BRANDON TRUST,1729783,33505.22,Cartons and Packaging used for transporting and storing
Department of Health,NHS Blood and Transplant,02/08/2013,BRISTOL EYE BANK CHARGE,Organ Donation & Transplantation,UNIVERSITY OF BRISTOL,1733349,135926.75,Charges for operating Eye Bank at Bristol
Department of Health,NHS Blood and Transplant,02/08/2013,EQUIPMENT MAINTENANCE CONTRACT,"Blood Supply: Manufacturing, Testing & Issue",BIO-RAD LABORATORIES LTD,1736592,41100,Costs of maintenance contracts on equipment
Department of Health,NHS Blood and Transplant,02/08/2013,COURIER & DELIVERY CHARGES,Logistics,TNT EXPRESS UK LTD,1736041,47305.63,External courier and transport company costs
Department of Health,NHS Blood and Transplant,02/08/2013,TEST KITS - MOLECULAR,"Blood Supply: Manufacturing, Testing & Issue",NOVARTIS (FORM CHIRON CORPORATION LTD),1733694,25440,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,02/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,JOHNSON & JOHNSON MEDICAL LTD (THERAKOS),1732521,32103,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,02/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,MACO PHARMA UK LTD,1733073,54899.72,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,02/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,MACO PHARMA UK LTD,1734530,45690.62,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,02/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,MACO PHARMA UK LTD,1732462,31965.7,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,02/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,MACO PHARMA UK LTD,1733092,27627.26,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,02/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,MACO PHARMA UK LTD,1734531,27449.86,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,02/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,TERUMO BCT EUROPE NV/SA,1734409,62208,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,02/08/2013,IT SOFTWARE MAINTENANCE,Business Transformation Services,SAVANT LIMITED,1733633,172081.44,Maintenance costs of IT software
Department of Health,NHS Blood and Transplant,02/08/2013,PREMISES MAINTENANCE - MINOR WORKS,Estates & Facilities,INTERSERVE  CONSTRUCTION LTD,1731657,29893.96,Minor works projects costs
Department of Health,NHS Blood and Transplant,02/08/2013,OTHER PROFESSIONAL FEES,Clinical,DEPARTMENT OF HEALTH,1733388,40000,Other professional fees - provision of Health Protection analytical support
Department of Health,NHS Blood and Transplant,06/08/2013,PURCHASING CARD SUSPENSE,NBS and ODT All Areas,Royal Bank of Scotland plc,3956,88560.56,Purchasing Card Expenditure
Department of Health,NHS Blood and Transplant,09/08/2013,DIRECT CONSUMABLES,"Blood Supply: Manufacturing, Testing & Issue",ABBOTT LABORATORIES LTD,1736997,1771.08,Consumable items used primarily during normal day to day operations
Department of Health,NHS Blood and Transplant,09/08/2013,PAGERS,Business Transformation Services,VODAFONE,1733661,9555.76,Costs incurred relating to use of pagers
Department of Health,NHS Blood and Transplant,09/08/2013,IT COMMUNICATIONS LINKS,Blood Supply: Blood Donation,VODAFONE,1733661,784.83,Costs of IT infrastructure communications links
Department of Health,NHS Blood and Transplant,09/08/2013,IT COMMUNICATIONS LINKS,Business Transformation Services,VODAFONE,1733661,131866.15,Costs of IT infrastructure communications links
Department of Health,NHS Blood and Transplant,09/08/2013,IT COMMUNICATIONS LINKS,Estates & Facilities,VODAFONE,1733661,3548.19,Costs of IT infrastructure communications links
Department of Health,NHS Blood and Transplant,09/08/2013,IT COMMUNICATIONS LINKS,Research & Development,VODAFONE,1733661,316.57,Costs of IT infrastructure communications links
Department of Health,NHS Blood and Transplant,09/08/2013,AVERAGE COST VARIANCE,General and Other,ABBOTT LABORATORIES LTD,1736997,0.01,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,09/08/2013,AVERAGE COST VARIANCE,General and Other,VODAFONE,1733661,1.58,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,09/08/2013,ELECTRICITY,Estates & Facilities,EDF ENERGY,1738057,28670.87,Electricity costs
Department of Health,NHS Blood and Transplant,09/08/2013,VEHICLE REPAIRS & MAINTENANCE,Logistics,HITACHI CAPITAL,1733374,25797.27,External contract for fleet vehicle repairs amd maintenance
Department of Health,NHS Blood and Transplant,09/08/2013,VEHICLE REPAIRS & MAINTENANCE,Logistics,LEASEPLAN UK LTD,1736950,40074.11,External contract for fleet vehicle repairs amd maintenance
Department of Health,NHS Blood and Transplant,09/08/2013,EXTERNAL SERVICES OTHER,Finance,NHS SHARED BUSINESS SERVICES LTD,1734774,27913.77,External costs of providing other services
Department of Health,NHS Blood and Transplant,09/08/2013,COURIER & DELIVERY CHARGES,General and Other,ABBOTT LABORATORIES LTD,1736997,119.5,External courier and transport company costs
Department of Health,NHS Blood and Transplant,09/08/2013,COURIER & DELIVERY CHARGES,Logistics,TNT EXPRESS UK LTD,1737511,50940.79,External courier and transport company costs
Department of Health,NHS Blood and Transplant,09/08/2013,COURIER & DELIVERY CHARGES,Logistics,TNT EXPRESS UK LTD,1737505,25737.7,External courier and transport company costs
Department of Health,NHS Blood and Transplant,09/08/2013,COURIER & DELIVERY CHARGES,Logistics,TNT EXPRESS UK LTD,1737508,24678.4,External courier and transport company costs
Department of Health,NHS Blood and Transplant,09/08/2013,TEST KITS HEPB,"Blood Supply: Manufacturing, Testing & Issue",ABBOTT LABORATORIES LTD,1736997,17813.28,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,09/08/2013,TEST KITS HEPC,"Blood Supply: Manufacturing, Testing & Issue",ABBOTT LABORATORIES LTD,1736997,125287.2,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,09/08/2013,TEST KITS HIV,"Blood Supply: Manufacturing, Testing & Issue",ABBOTT LABORATORIES LTD,1736997,20316.8,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,09/08/2013,TEST KITS HTLV,"Blood Supply: Manufacturing, Testing & Issue",ABBOTT LABORATORIES LTD,1736997,25200,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,09/08/2013,TEST KITS OTHER,Diagnostic & Therapeutic Services,QUEST BIOMEDICAL LIMITED,1734116,27256.32,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,09/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,MACO PHARMA UK LTD,1734414,45690.62,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,09/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,MACO PHARMA UK LTD,1734106,36836.35,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,09/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,MACO PHARMA UK LTD,1734528,36481.54,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,09/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,MACO PHARMA UK LTD,1734427,36126.72,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,09/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,MACO PHARMA UK LTD,1733057,31965.7,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,09/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,MACO PHARMA UK LTD,1734418,25724.16,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,09/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,TERUMO BCT EUROPE NV/SA,1734406,93312,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,09/08/2013,INVENTORY MATERIALS,NBS and ODT All Areas,TERUMO BCT EUROPE NV/SA,1735462,72576,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,09/08/2013,IT HARDWARE MAINTENANCE,Business Transformation Services,VODAFONE,1733661,18507.13,Maintenance costs of IT hardware
Department of Health,NHS Blood and Transplant,09/08/2013,IT SOFTWARE MAINTENANCE,Finance,PATECH SOLUTIONS LIMITED,1734159,86068.52,Maintenance costs of IT software
Department of Health,NHS Blood and Transplant,09/08/2013,IT SOFTWARE MAINTENANCE,Business Transformation Services,VODAFONE,1733661,1475.29,Maintenance costs of IT software
Department of Health,NHS Blood and Transplant,09/08/2013,MANAGEMENT CONSULTANTS,General and Other,VODAFONE,1733661,8118.75,Management consultancy fees incurred - VPN installation and configuration for Donor Portal
Department of Health,NHS Blood and Transplant,09/08/2013,PREMISES MAINTENANCE - MINOR WORKS,Estates & Facilities,INTERSERVE  CONSTRUCTION LTD,1735559,89225.16,Minor works projects costs
Department of Health,NHS Blood and Transplant,09/08/2013,MOBILE TELEPHONES,Business Transformation Services,VODAFONE,1733661,44684.85,Mobile telephone costs
Department of Health,NHS Blood and Transplant,09/08/2013,OTHER PROFESSIONAL FEES,Logistics,HITACHI CAPITAL,1733374,2932.5,Other professional fees - monthly management charge relating to leased fleet vehicle maintenance contract
Department of Health,NHS Blood and Transplant,09/08/2013,OTHER PROFESSIONAL FEES,Logistics,LEASEPLAN UK LTD,1736950,3364,Other professional fees - monthly management charge relating to leased fleet vehicle maintenance contract
Department of Health,NHS Blood and Transplant,09/08/2013,IT SOFTWARE LICENCE FEES,Business Transformation Services,VODAFONE,1733661,5620.66,Purchase of IT software licences
Department of Health,NHS Blood and Transplant,09/08/2013,TELEPHONES,Business Transformation Services,VODAFONE,1733661,76042.94,Telephone costs
Department of Health,NHS Blood and Transplant,15/08/2013,INSURANCE,Finance,NHS Litigation Authority,DD,64220,Insurance costs
