Dept Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount,DESCRIPTION,,
DWP,HEALTH AND SAFETY EXECUTIVE,05/02/2013,PESTICIDE RESIDUE TESTING,CHEMICAL REGULATIONS DIRECTORATE,THE FOOD & ENVIRONMENT RESEARCH AGENCY,"=""0010181800""",117148.00,PESTICIDE RESIDUE TESTING QTR 2 JUL - SEP 12,,
DWP,HEALTH AND SAFETY EXECUTIVE,05/02/2013,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,GVA GRIMLEY LTD,"=""0010181828""",10557.49,GLASGOW SERVICE CHARGE 02/02/13 - 14/05/13,,
DWP,HEALTH AND SAFETY EXECUTIVE,05/02/2013,RENTS,BUSINESS SERVICES DIRECTORATE,GVA GRIMLEY LTD,"=""0010181828""",52797.16,GLASGOW RENT 02/02/13 - 14/05/13,,
DWP,HEALTH AND SAFETY EXECUTIVE,05/02/2013,WATER RATES,BUSINESS SERVICES DIRECTORATE,TANDRIDGE DISTRICT COUNCIL,"=""0010181829""",340.47,OXTED WATER 01/01/13 - 31/03/13,,
DWP,HEALTH AND SAFETY EXECUTIVE,05/02/2013,GAS,BUSINESS SERVICES DIRECTORATE,TANDRIDGE DISTRICT COUNCIL,"=""0010181829""",828.04,OXTED GAS 01/01/13 - 31/03/13,,
DWP,HEALTH AND SAFETY EXECUTIVE,05/02/2013,ELECTRICITY,BUSINESS SERVICES DIRECTORATE,TANDRIDGE DISTRICT COUNCIL,"=""0010181829""",1276.72,OXTED ELECTRICITY 01/01/13 - 31/03/13,,
DWP,HEALTH AND SAFETY EXECUTIVE,05/02/2013,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,TANDRIDGE DISTRICT COUNCIL,"=""0010181829""",7342.03,OXTED SERVICE CHARGE QTR 4 01/01/13 - 31/03/13,,
DWP,HEALTH AND SAFETY EXECUTIVE,05/02/2013,RENTS,BUSINESS SERVICES DIRECTORATE,TANDRIDGE DISTRICT COUNCIL,"=""0010181829""",18758.48,OXTED RENT QTR 4 01/01/13 - 31/03/13,,
DWP,HEALTH AND SAFETY EXECUTIVE,05/02/2013,HOTEL ACCOMMODATION,CENTRAL EXPENDITURE,REDFERN TRAVEL LTD,"=""0010181843""",44383.11,HOTEL CONTRACT 28/01/13,,
DWP,HEALTH AND SAFETY EXECUTIVE,05/02/2013,TRAVEL SERVICES,CENTRAL EXPENDITURE,REDFERN TRAVEL LTD,"=""0010181843""",61791.41,TRAVEL CONTRACT 28/01/13,,
DWP,HEALTH AND SAFETY EXECUTIVE,04/02/2013,RESEARCH,OFFICE FOR NUCLEAR REGULATION,STUDSVIK NUCLEAR AB,"=""0010181871""",45632.30,ND604 UK PARTICIPATION SCIP RESEARCH PROJECT - FEE - 4TH PAYMENT,,
