Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS
04/04/2016,ZAV253066,1,4512,Redstor Limited,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"19,200.00",400110,11417
01/06/2016,ZAV256067,1,3655,Exertis Micro-P,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"1,200.00",400110,11417
01/06/2016,ZAV256067,2,3655,Exertis Micro-P,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"1,200.00",400110,11417
01/06/2016,ZAV256067,3,3655,Exertis Micro-P,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,782.42,400110,11417
01/06/2016,ZAV256067,4,3655,Exertis Micro-P,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,685.93,400110,11417
01/06/2016,ZAV256067,5,3655,Exertis Micro-P,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,348.75,400110,11417
01/06/2016,ZAV256067,6,3655,Exertis Micro-P,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"2,256.92",400110,11417
01/06/2016,ZAV256067,7,3655,Exertis Micro-P,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,442.50,400110,11417
01/06/2016,ZAV256067,8,3655,Exertis Micro-P,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"2,652.00",400110,11417
01/06/2016,ZAV256067,9,3655,Exertis Micro-P,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"5,517.00",400110,11417
01/06/2016,ZAV256081,1,1162,RM Education plc,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"8,246.40",400110,11417
01/06/2016,ZAV256081,2,1162,RM Education plc,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"7,000.08",400110,11417
01/06/2016,ZAV256081,3,1162,RM Education plc,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,840.00,400110,11417
01/06/2016,ZAV256081,4,1162,RM Education plc,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,120.00,400110,11417
02/06/2016,ZAV256130,1,1162,RM Education plc,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"8,175.00",400110,11417
20/06/2016,ZAV256963,1,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"13,583.00",400110,11417
20/06/2016,ZAV256963,2,2927,XMA Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"13,649.25",400110,11417
26/04/2016,ZES254248,1,1586,Kana Software Ireland Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Systems,"33,500.00",402001,12503
16/05/2016,ZES255317,1,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Utilities,"8,625.00",402001,11321
16/05/2016,ZES255317,2,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Utilities,39.00,402001,11321
01/06/2016,ZES256087,1,8185,Exactive,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Infrastructure,"6,000.00",402002,11324
13/06/2016,ZES256585,1,4105,QA Ltd,261500,Human Resources Training & Conferences ,Fees and Charges,Corporate and Support Services,POD Training & Qual.,"6,000.00",401024,11888
23/06/2016,ZES257191,1,4105,QA Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,ICT- General,"6,689.00",102020,11073
15/06/2016,ZEU256786,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to People,Vernon Park Prim.Add'l Classroom,"62,770.77",200301,C.10385.185
12/04/2016,ZFC253460,1,10561,dv SPEC Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"11,716.80",200156,11662
21/04/2016,ZFC253940,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"7,800.00",200101,11662
21/04/2016,ZFC253967,1,3529,Solutions SK Ltd,192200,Facilities & Management Services Security ,Security,Corporate and Support Services,SPB Operational Estate,"22,002.24",201204,11662
