Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,30/11/2010,ELECTRICITY,PREMISES,BTG COMMUNITY SOLUTIONS (2) LTD,330223,1501.91,BUR12,613,4149,262.83,IR,N,8,2011,A404,A4011,TOT,,1764.74,3.30224E+12
Department of Health,NHS Tameside & Glossop,30/11/2010,ELECTRICITY,PREMISES,BURY T & G COMM SOL 1 LTD,330222,3706.48,BUR52,395,4149,648.64,IR,N,8,2011,A404,A4011,TOT,,4355.12,3.30222E+12
Department of Health,NHS Tameside & Glossop,30/11/2010,ESTATES REPAIRS - BUILDING,PREMISES,BURY T & G COMM SOL 1 LTD,330222,112,BUR52,395,4189,19.6,IR,N,8,2011,A404,A4011,TOT,,131.6,3.30222E+12
Department of Health,NHS Tameside & Glossop,30/11/2010,GAS,PREMISES,BTG COMMUNITY SOLUTIONS (2) LTD,330223,482.51,BUR12,613,4150,84.44,IR,N,8,2011,A404,A4011,TOT,,566.95,3.30224E+12
Department of Health,NHS Tameside & Glossop,10/11/2010,PCFT CAPITAL CHGS STALYBRIDGE,G&S FT'S NON-HEALTHCARE,PENNINE CARE NHS FOUNDATION TRUST,31581,4083.26,PEN19,651,3095,0,ZE,N,8,2011,A404,A4044,TNH,,4083.26,3.15817E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,PCFT COMMUNITY DOMESTICS,G&S FT'S NON-HEALTHCARE,PENNINE CARE NHS FOUNDATION TRUST,31581,24280.24,PEN19,651,3094,0,ZE,N,8,2011,A404,A4044,TNH,,24280.24,3.15817E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,PCFT DOMESTICS,G&S FT'S NON-HEALTHCARE,PENNINE CARE NHS FOUNDATION TRUST,31581,2080.5,PEN19,651,3097,0,ZE,N,8,2011,A404,A4044,TNH,,2080.5,3.15817E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,PCFT PORTERING & TRANSPORT,G&S FT'S NON-HEALTHCARE,PENNINE CARE NHS FOUNDATION TRUST,31581,4424.75,PEN19,651,3098,0,ZE,N,8,2011,A404,A4044,TNH,,4424.75,3.15817E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,PCFT SHIREHILL DOMESTICS,G&S FT'S NON-HEALTHCARE,PENNINE CARE NHS FOUNDATION TRUST,31581,13847.58,PEN19,651,3096,0,ZE,N,8,2011,A404,A4044,TNH,,13847.58,3.15817E+11
Department of Health,NHS Tameside & Glossop,30/11/2010,RATES - PREMISES,PREMISES,BTG COMMUNITY SOLUTIONS (2) LTD,330223,21522.44,BUR12,613,4173,3766.43,IR,N,8,2011,A404,A4011,TOT,,25288.87,3.30224E+12
Department of Health,NHS Tameside & Glossop,30/11/2010,RATES - PREMISES,PREMISES,BURY T & G COMM SOL 1 LTD,330222,17010,BUR52,395,4173,2976.75,IR,N,8,2011,A404,A4011,TOT,,19986.75,3.30222E+12
Department of Health,NHS Tameside & Glossop,30/11/2010,RENTS - PREMISES,PREMISES,BTG COMMUNITY SOLUTIONS (2) LTD,330223,45805.24,BUR12,613,4174,8015.92,45,Y,8,2011,A404,A4011,TOT,,53821.16,3.30224E+12
Department of Health,NHS Tameside & Glossop,30/11/2010,RENTS - PREMISES,PREMISES,BURY T & G COMM SOL 1 LTD,330222,102278.33,BUR52,395,4174,17898.71,45,Y,8,2011,A404,A4011,TOT,,120177.04,3.30222E+12
Department of Health,NHS Tameside & Glossop,30/11/2010,TELEPHONE RENTAL,ESTABLISHMENT,BTG COMMUNITY SOLUTIONS (2) LTD,330223,111.04,BUR12,613,4128,19.43,IR,N,8,2011,A404,A4009,TOT,,130.47,3.30224E+12
Department of Health,NHS Tameside & Glossop,30/11/2010,TELEPHONE RENTAL,ESTABLISHMENT,BURY T & G COMM SOL 1 LTD,330222,75.62,BUR52,395,4128,13.23,IR,N,8,2011,A404,A4009,TOT,,88.85,3.30222E+12
Department of Health,NHS Tameside & Glossop,12/11/2010,CONSULTANCY,CONSULTANCY,TRIBAL,327899,51601,TRI08,104,4279,9030.18,52,Y,8,2011,A405,A4046,TOT,,60631.18,3.27899E+12
Department of Health,NHS Tameside & Glossop,30/11/2010,OLD PCT - CONTRACTOR SERVS SLA,G&S OTHER PCTS-NON HEALTHCARE,OLDHAM PCT,30972,70093,OLD25,104,6144,0,ZE,N,8,2011,A405,A4033,TNH,,70093,3.09721E+11
Department of Health,NHS Tameside & Glossop,30/11/2010,OLD PCT - CONTRACTOR SERVS SLA,G&S OTHER PCTS-NON HEALTHCARE,LASCA,32228,32550,LAS03,104,6144,0,ZE,N,8,2011,A405,A4033,TNH,,32550,3.22281E+11
Department of Health,NHS Tameside & Glossop,30/11/2010,CHC CAT1 NON NHS PROVIDERS,HEALTHCARE FROM NON NHS BODIES,TAMESIDE MBC,330196,47250.35,TAM07,439,4622,0,ZE,N,8,2011,A416,A4025,TOT,,47250.35,3.30196E+12
Department of Health,NHS Tameside & Glossop,24/11/2010,CHC CAT1 NON NHS PROVIDERS,HEALTHCARE FROM NON NHS BODIES,JOHN MUNROE HOSPITAL LTD,329696,10071.3,MUN01,439,4622,0,ZE,N,8,2011,A416,A4025,TOT,,10071.3,3.29696E+12
Department of Health,NHS Tameside & Glossop,24/11/2010,CHC CAT1 NON NHS PROVIDERS,HEALTHCARE FROM NON NHS BODIES,JOHN MUNROE HOSPITAL LTD,329696,8935.2,MUN01,439,4622,0,ZE,N,8,2011,A416,A4025,TOT,,8935.2,3.29696E+12
Department of Health,NHS Tameside & Glossop,03/11/2010,CHEADLE ROYAL COUNSELLING,HEALTHCARE FROM NON NHS BODIES,CHEADLE ROYAL,326543,29502.83,CHE23,540,4418,0,ZE,N,8,2011,A416,A4025,TOT,,29502.83,3.26544E+12
Department of Health,NHS Tameside & Glossop,24/11/2010,CHEADLE ROYAL COUNSELLING,HEALTHCARE FROM NON NHS BODIES,CHEADLE ROYAL,329749,29502.83,CHE23,540,4418,0,ZE,N,8,2011,A416,A4025,TOT,,29502.83,3.2975E+12
Department of Health,NHS Tameside & Glossop,26/11/2010,CLINOVIA/HEALTHCARE @ HOME,HEALTHCARE FROM NON NHS BODIES,BUPA HOME HEALTHCARE,329165,36620.01,BUP01,440,6218,0,ZE,N,8,2011,A416,A4025,TOT,,36620.01,3.29165E+12
Department of Health,NHS Tameside & Glossop,26/11/2010,CLINOVIA/HEALTHCARE @ HOME,HEALTHCARE FROM NON NHS BODIES,BUPA HOME HEALTHCARE,329129,46523,BUP01,440,6218,0,ZE,N,8,2011,A416,A4025,TOT,,46523,3.29129E+12
Department of Health,NHS Tameside & Glossop,03/11/2010,ECG CONTRACT,HEALTHCARE FROM NON NHS BODIES,BROOMWELL HEALTHWATCH LTD,327350,39600,BRO18,574,4689,0,ZE,N,8,2011,A416,A4025,TOT,,39600,3.27351E+12
Department of Health,NHS Tameside & Glossop,03/11/2010,FUNDED NURSING CARE - DERBY CC,HEALTHCARE FROM NON NHS BODIES,DERBYSHIRE COUNTY COUNCIL,327330,140886.27,DER06,466,4916,0,ZE,N,8,2011,A416,A4025,TOT,,140886.27,3.2733E+12
Department of Health,NHS Tameside & Glossop,10/11/2010,FUNDED NURSING CARE - TMBC,HEALTHCARE FROM NON NHS BODIES,TAMESIDE MBC,323941,330000,TAM07,466,4580,0,ZE,N,8,2011,A416,A4025,TOT,,330000,3.23941E+12
Department of Health,NHS Tameside & Glossop,24/11/2010,HIGH COST DRUGS G&A - FT'S,G&S FT's - HEALTHCARE,SHEFFIELD TEACHING HOSPITALS NHS TRUST,31978,66420,SHE22,440,6215,0,ZE,N,8,2011,A416,A4037,TNH,,66420,3.19784E+11
Department of Health,NHS Tameside & Glossop,19/11/2010,LD INTENSIVE SUPPORT SCHEME,HEALTHCARE FROM NON NHS BODIES,TAMESIDE MBC,328975,26666,TAM07,554,4686,0,ZE,N,8,2011,A416,A4025,TOT,,26666,3.28976E+12
Department of Health,NHS Tameside & Glossop,17/11/2010,MENTAL HEALTH REHAB,HEALTHCARE FROM NON NHS BODIES,CARE UK,328903,55658.27,CAR32,467,6084,0,ZE,N,8,2011,A416,A4025,TOT,,55658.27,3.28903E+12
Department of Health,NHS Tameside & Glossop,24/11/2010,MENTAL HEALTH REHAB,HEALTHCARE FROM NON NHS BODIES,JOHN MUNROE HOSPITAL LTD,329696,9750,MUN01,467,6084,0,ZE,N,8,2011,A416,A4025,TOT,,9750,3.29696E+12
Department of Health,NHS Tameside & Glossop,19/11/2010,NON CHC - MH PICU,HEALTHCARE FROM NON NHS BODIES,CHEADLE ROYAL,329368,27342,CHE23,467,6249,0,ZE,N,8,2011,A416,A4025,TOT,,27342,3.29368E+12
