"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"CD001","Barbara Hakin","SCS3","National Managing Director for Commissioning Development","'Responsible for: Overseeing the design and development of the Governments proposed new commissioning architecture.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","NHSCEO01","242960","1.00","N/A","N/A","","","http://www.eastmidlands.nhs.uk/about-us/financial-information/senior-salary-information/. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD002","Ben Dyson","SCS2","Director Policy Commissioning & Primary Care","'Responsible for coordinating policy on primary care and development of GP Commissioning.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD001","649680","1.00","90000","94999","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD003","N/D","SCS1","Deputy Director Head of Primary Medical Care","'Responsible for All contractual arrangements with GPs covering: GP Access GP Patient Survey Quality in Primary Medical Care Funding for practices Patient Choice Registration with a GP.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","605838","1.00","N/A","N/A","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD004","N/D","SCS1","Deputy Director - Head of Dental and Eye Care Services","'Responsible for: NHS Dental Services Dental Contract Reform Dental Access Eye Care Services.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","MD016","249079","1.00","N/A","N/A","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD005","Barry Cockcroft","SCS2","Chief Dental Officer","'Responsible for: Clinical leadership and advice on all matters relating to dentistry and oral health.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","91912","1.00","110000","114999","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD006","N/D","SCS1","Deputy Chief Dental Officer & Head of Dental Public Health","'Responsible for Dental Public Health / Oral Health.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","0","1.00","N/A","N/A","","","Cost of reports included under CD002. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD007","N/D","SCS1","Deputy Director - Commissioning Policy","'Responsible for: Policy on GP Commissioning.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","610459","1.00","N/A","N/A","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD008","ELIMINATED","SCS1","Deputy Director - NHS Commissioning Board Implementation Team","'Responsible for: Establishing the NHS Commissioning Board as an NDPB by July 2012 and as a Special Health Authority in October 2011.'","Department of Health","Department of Health","Managing Director for Commissioning Development","N/A","N/D","CD014","0","0.80","0","0","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD009","N/D","SCS1","Deputy Director Head of Commissioning Analysis and Intelligence","'Responsible for Provision of analytical input across the Directorate.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","987854","1.00","N/A","N/A","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD010","ELIMINATED","SCS1","Deputy Director - Commissioning Support","'Responsible for: Commissioning Support Strategy.'","Department of Health","Department of Health","Managing Director for Commissioning Development","N/A","N/D","CD002","0","1.00","0","0","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD013","Rosamond Roughton","SCS2","Programme Director for Commissioning Development","'Responsible for: Oversight of the development of the programme and governance for Commissioning Development.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD001","113857","0.90","N/A","N/A","","","http://www.yorksandhumber.nhs.uk/document.php?o=8101. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD014","ELIMINATED","SCS2","Programme Director for the implementation of the NHS Commissioning Board","'Responsible for: Ensuring appropriate leverage to enable NHSCB to delivery its mandate through consortia Practical arrangements for the development of the NHSCB Development of policy to support the NHSCB.'","Department of Health","Department of Health","Managing Director for Commissioning Development","N/A","N/D","CD001","0","1.00","0","0","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD015","ELIMINATED","SCS1","NHS Commissioning Board Architecture","'Responsible for: Contracting, Pricing Commissioning guidance Provider interface Research, Analysts.'","Department of Health","Department of Health","Managing Director for Commissioning Development","N/A","N/D","CD014","0","0.60","0","0","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD016","ELIMINATED","SCS1","Workstream lead for speciaised commissioning","'Responsible for: Specialised commissioning end state function design.'","Department of Health","Department of Health","Managing Director for Commissioning Development","N/A","N/D","CD014","0","1.00","0","0","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD017","N/D","SCS1","Deputy Director - NHS Commissioning Board Implementation Team","'Responsible for: Organisational development and designCommissioning architecture oversight.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD001","488961","1.00","N/A","N/A","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD018","Gail Richards","SCS2","Programme Director of GP Consortia","'Responsible for: Enabling partnership working across DH and NHS in driving forward the design and implementation of agreed workstreams. Ensuring delivery of agreed interface workstreams, to include development of national architecture for GP Clinical Commissioning Consortia development and effective working with Local Government. Ensuring that GP Commissioning Consortia are developed and established within the agreed timeframe in line with national policy and legislative context so they are enabled to flourish.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD001","263744","1.00","115000","119999","","","Inward Secondment. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD019","ELIMINATED","SCS1","Transition Lead","'Responsible for:Functional Mapping and Governance'","Department of Health","Department of Health","Managing Director for Commissioning Development","N/A","N/D","CD020","0","0.60","0","0","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD020","ELIMINATED","SCS2","Establishment Director","'Responsible for: NHS CB Establishment and Governance'","Department of Health","Department of Health","Managing Director for Commissioning Development","N/A","N/D","CD014","0","1.00","0","0","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD021","N/D","SCS1","Programme Director - Military and Prison/Offender Health","'Responsible for: ­ developing the commissioning / business cycle for the NHS CB and direct commissioning arrangements for military health offender health cross border care and continuing care'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD017","0","1.00","N/A","N/A","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD022","N/D","SCS1","FHS Lead","'Responsible for: NHS CB FHS Function'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD017","0","1.00","N/A","N/A","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD023","N/D","SCS1","PMC Lead","'Resonsible for: NHS CB PMC Function'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD017","0","1.00","N/A","N/A","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD024","N/D","SCS1","Optometrist Lead","'Responsible for: NHS CB Optometrist Function'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD017","0","1.00","N/A","N/A","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
"CD025","N/D","SCS1","Pharmacy Lead","'Responsible for: NHS CB Pharmacy Function'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD017","0","0.30","N/A","N/A","","","Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform","1"
