Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Amount
Department of Health,Western Cheshire PCT,12/05/2011,Hlthcre-Foundation Trsts,RBT MID CHESH BLK,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,"505,795.09"
Department of Health,Western Cheshire PCT,25/05/2011,Hlthcre-Foundation Trsts,RBT MID CHESH BLK,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,"505,795.09"
Department of Health,Western Cheshire PCT,25/05/2011,Hlthcre-Foundation Trsts,RM2 S MANCHESTER UNI,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,"28,579.00"
Department of Health,Western Cheshire PCT,27/05/2011,Disp of Clinical Waste,CHA OFFICE SERVICES,SRCL LTD,"33,560.05"
Department of Health,Western Cheshire PCT,25/05/2011,Hcare Srv Rec NHS Trust,RJE N STAFF HOSP,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,"39,159.43"
Department of Health,Western Cheshire PCT,12/05/2011,Grants,GRANTS TO VOL BODIES,ST JOHN AMBULANCE,"48,500.00"
Department of Health,Western Cheshire PCT,13/05/2011,Hlthcre-Foundation Trsts,RBT MID CHESH BLK,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,"-41,634.00"
Department of Health,Western Cheshire PCT,13/05/2011,Services Received - PCTs,Collective Comm Networks,WIRRAL PCT,"336,000.00"
Department of Health,Western Cheshire PCT,25/05/2011,Hlthcre-Foundation Trsts,RBL WIRRAL HOSP BLK,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,"1,319,742.68"
Department of Health,Western Cheshire PCT,25/05/2011,Hlthcre-Foundation Trsts,RBL WIRRAL HOSP BLK,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,"1,319,742.68"
Department of Health,Western Cheshire PCT,19/05/2011,Legal / Prof Fees,PATIENT SAFETY GOV PERF,HILL DICKINSON LLP,"35,195.38"
Department of Health,Western Cheshire PCT,12/05/2011,Services from Local Auth,DAAT,PHOENIX HOUSE,"75,000.00"
Department of Health,Western Cheshire PCT,11/05/2011,Hlthcre-Foundation Trsts,RXA CHESH & WIRR BLK,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,"6,340,672.00"
Department of Health,Western Cheshire PCT,13/05/2011,Hlthcre-Foundation Trsts,RXA CHESH & WIRR BLK,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,"83,384.00"
Department of Health,Western Cheshire PCT,25/05/2011,Hlthcre-Foundation Trsts,RXA CHESH & WIRR BLK,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,"2,135,618.00"
Department of Health,Western Cheshire PCT,25/05/2011,Hlthcre-Foundation Trsts,RXA CHESH & WIRR BLK,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,"2,135,618.00"
Department of Health,Western Cheshire PCT,13/05/2011,Hlthcre-Foundation Trsts,RWW N CHESHIRE HOSP,WARRINGTON & HALTON HOSPITALS NHS FOUNDATION TRUST,"303,146.00"
Department of Health,Western Cheshire PCT,13/05/2011,Hcare Srv Rec NHS Trust,RBN ST HELENS & KNOWS,ST HELENS&KNOWSLEY HOSPITALS NHS TRUST,"30,970.00"
Department of Health,Western Cheshire PCT,13/05/2011,Services Received - NHSTs,HUMAN RESOURCES,EAST CHESHIRE NHS TRUST,"91,331.00"
Department of Health,Western Cheshire PCT,13/05/2011,Healthcare Srv Rec PCTs,IS CONTRACTS,HALTON AND ST HELENS PCT,"818,500.00"
Department of Health,Western Cheshire PCT,25/05/2011,Healthcare Srv Rec PCTs,5NK WIRRAL PCT BLK,WIRRAL COMMUNITY NHS TRUST,"45,083.00"
Department of Health,Western Cheshire PCT,25/05/2011,Healthcare Srv Rec PCTs,CITC,CENTRAL AND EASTERN CHESHIRE PCT,"316,000.00"
Department of Health,Western Cheshire PCT,13/05/2011,Services Received - PCTs,ICT COMM INFO SYSTEM,CENTRAL AND EASTERN CHESHIRE PCT,"138,194.00"
Department of Health,Western Cheshire PCT,25/05/2011,Hcare Srv Rec NHS Trust,RL1 R JONES A HUNT,ROBERT JONES&AGNES HUNT ORTHOPAEDIC&DISTRICT HOSPITAL NHS TRUST,"198,917.00"
Department of Health,Western Cheshire PCT,23/05/2011,Grants,GRANTS TO VOL BODIES,HOSPICE OF GOOD SHEPHERD,"678,414.12"
Department of Health,Western Cheshire PCT,26/05/2011,Grants,GRANTS TO VOL BODIES,CHESTER VOLUNTEER BUREAU,"28,605.00"
Department of Health,Western Cheshire PCT,13/05/2011,Hlthcre-Foundation Trsts,CONTRACT EXCLUSIONS,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"35,915.28"
Department of Health,Western Cheshire PCT,13/05/2011,Hlthcre-Foundation Trsts,CONTRACT EXCLUSIONS,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"27,089.00"
Department of Health,Western Cheshire PCT,03/05/2011,Hlthcre-Foundation Trsts,REM AINTREE BLK,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"129,296.00"
Department of Health,Western Cheshire PCT,12/05/2011,Grants,GRANTS TO VOL BODIES,ST LUKES (CHESHIRE) HOSPICE,"41,783.42"
Department of Health,Western Cheshire PCT,05/05/2011,Computer Software/License,ICT PRIMARY CARE,PCTI SOLUTIONS LTD,"34,131.91"
Department of Health,Western Cheshire PCT,12/05/2011,Services from Local Auth,DAAT,CHESHIRE EAST BOROUGH COUNCIL,"33,556.76"
Department of Health,Western Cheshire PCT,13/05/2011,Hlthcre-Foundation Trsts,RBV-CHRISTIE HOSP NHSFT,CHRISTIE HOSPITAL NHS FOUNDATION TRUST,"52,122.00"
Department of Health,Western Cheshire PCT,09/05/2011,Services from Local Auth,PATIENT SAFETY GOV PERF,CHESHIRE WEST & CHESTER COUNCIL,"30,500.00"
Department of Health,Western Cheshire PCT,13/05/2011,Early Retirement Payments,PREMATURE RETIREMENTS,NHS PENSION SCHEME,"61,050.91"
Department of Health,Western Cheshire PCT,12/05/2011,Hcare Srv Rec NHS Trust,RQ6 ROY LIV & BGREEN,ROYAL LIVERPOOL&BROADGREEN UNIVERSITY HOSPITALS NHS TRUST (THE),"306,666.00"
Department of Health,Western Cheshire PCT,26/05/2011,Grants,GRANTS TO VOL BODIES,CHESHIRE WEST AND WIRRAL CROSSROADS LTD,"74,068.34"
Department of Health,Western Cheshire PCT,03/05/2011,Hlthcre-Foundation Trsts,REN CLATTERBRIDGE ONC,CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,"284,020.00"
Department of Health,Western Cheshire PCT,12/05/2011,Hlthcre-Foundation Trsts,REN CLATTERBRIDGE ONC,CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,"534,028.00"
Department of Health,Western Cheshire PCT,25/05/2011,Hlthcre-Foundation Trsts,REN CLATTERBRIDGE ONC,CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,"534,028.00"
Department of Health,Western Cheshire PCT,13/05/2011,Healthcare Srv Rec PCTs,NW SSCT,NORTH WEST SPECIALISED COMMISSIONING TEAM,"3,441,667.00"
Department of Health,Western Cheshire PCT,25/05/2011,Hcare Srv Rec NHS Trust,RX7 NW AMBULANCE,BLACKPOOL PCT,"114,658.00"
Department of Health,Western Cheshire PCT,25/05/2011,Hcare Srv Rec NHS Trust,RX7 NW AMBULANCE,BLACKPOOL PCT,"496,343.00"
Department of Health,Western Cheshire PCT,26/05/2011,External Consultancy Fees,DAAT,HIT PROJECTS LTD,"26,089.78"
Department of Health,Western Cheshire PCT,06/05/2011,ADVANCES,General Practioner Payments,AUDLEM MEDICAL CENTRE,"21,100.00"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,"-1,832.24"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,-954.89
Department of Health,Western Cheshire PCT,18/05/2011,ADVANCES,General Practioner Payments,AUDLEM MEDICAL CENTRE,"-22,156.10"
Department of Health,Western Cheshire PCT,18/05/2011,COURIER,General Practioner Payments,AUDLEM MEDICAL CENTRE,-9
Department of Health,Western Cheshire PCT,18/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,"1,779.28"
Department of Health,Western Cheshire PCT,18/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,61.26
Department of Health,Western Cheshire PCT,18/05/2011,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,727.61
Department of Health,Western Cheshire PCT,18/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,574.5
Department of Health,Western Cheshire PCT,18/05/2011,NURSING/RESIDENTIAL HOMES GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,"7,356.96"
Department of Health,Western Cheshire PCT,18/05/2011,SPIROMETRY/ECG,General Practioner Payments,AUDLEM MEDICAL CENTRE,712.82
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (VOL),General Practioner Payments,AUDLEM MEDICAL CENTRE,-18.71
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (STAT),General Practioner Payments,AUDLEM MEDICAL CENTRE,-147.08
Department of Health,Western Cheshire PCT,18/05/2011,GLOBAL SUM,General Practioner Payments,AUDLEM MEDICAL CENTRE,"26,260.18"
Department of Health,Western Cheshire PCT,18/05/2011,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,"6,912.63"
Department of Health,Western Cheshire PCT,18/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,"2,725.00"
Department of Health,Western Cheshire PCT,18/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,"2,696.49"
Department of Health,Western Cheshire PCT,18/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,879.14
Department of Health,Western Cheshire PCT,18/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,"2,317.64"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN AVC GENERAL,General Practioner Payments,AUDLEM MEDICAL CENTRE,-426.28
Department of Health,Western Cheshire PCT,06/05/2011,ADVANCES,General Practioner Payments,HELSBY HEALTH CENTRE,"38,800.00"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,"-5,010.85"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,"-2,528.41"
Department of Health,Western Cheshire PCT,18/05/2011,ADVANCES,General Practioner Payments,HELSBY HEALTH CENTRE,"-40,676.88"
Department of Health,Western Cheshire PCT,18/05/2011,COURIER,General Practioner Payments,HELSBY HEALTH CENTRE,-18
Department of Health,Western Cheshire PCT,18/05/2011,MENTAL HEALTH,General Practioner Payments,HELSBY HEALTH CENTRE,"1,288.96"
Department of Health,Western Cheshire PCT,18/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,948.66
Department of Health,Western Cheshire PCT,18/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,"2,698.92"
Department of Health,Western Cheshire PCT,18/05/2011,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,"4,365.66"
Department of Health,Western Cheshire PCT,18/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,"1,194.96"
Department of Health,Western Cheshire PCT,18/05/2011,NURSING/RESIDENTIAL HOMES GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,"41,029.20"
Department of Health,Western Cheshire PCT,18/05/2011,SPIROMETRY/ECG,General Practioner Payments,HELSBY HEALTH CENTRE,"1,419.57"
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (VOL),General Practioner Payments,HELSBY HEALTH CENTRE,-36.05
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (STAT),General Practioner Payments,HELSBY HEALTH CENTRE,-283.35
Department of Health,Western Cheshire PCT,18/05/2011,GLOBAL SUM,General Practioner Payments,HELSBY HEALTH CENTRE,"45,033.15"
Department of Health,Western Cheshire PCT,18/05/2011,MPIG,General Practioner Payments,HELSBY HEALTH CENTRE,"3,957.66"
Department of Health,Western Cheshire PCT,18/05/2011,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,"12,285.06"
