CPS outcomes by principal offence category south_wales,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,271,73.2%,99,26.8%
C Sexual Offences,22,71.0%,9,29.0%
D Burglary,69,90.8%,7,9.2%
E Robbery,10,83.3%,2,16.7%
F Theft And Handling,350,94.9%,19,5.1%
G Fraud And Forgery,15,78.9%,4,21.1%
H Criminal Damage,84,73.7%,30,26.3%
I Drugs Offences,176,94.6%,10,5.4%
J Public Order Offences,238,89.1%,29,10.9%
K All Other Offences (excluding Motoring),56,73.7%,20,26.3%
L Motoring Offences,476,90.8%,48,9.2%
Admin Finalisations,0,0.0%,14,100.0%
TOTAL,"1,767",85.9%,291,14.1%
