CPS outcomes by principal offence category kent,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0.0%,1,100.0%
B Offences Against The Person,165,76.4%,51,23.6%
C Sexual Offences,14,63.6%,8,36.4%
D Burglary,48,87.3%,7,12.7%
E Robbery,13,65.0%,7,35.0%
F Theft And Handling,264,90.1%,29,9.9%
G Fraud And Forgery,24,85.7%,4,14.3%
H Criminal Damage,72,84.7%,13,15.3%
I Drugs Offences,82,89.1%,10,10.9%
J Public Order Offences,123,86.0%,20,14.0%
K All Other Offences (excluding Motoring),75,83.3%,15,16.7%
L Motoring Offences,441,93.4%,31,6.6%
Admin Finalisations,0,0.0%,31,100.0%
TOTAL,"1,321",85.3%,227,14.7%
