CPS outcomes by principal offence category sum,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,56,82.4%,12,17.6%
B Offences Against The Person,"9,384",73.7%,"3,346",26.3%
C Sexual Offences,778,72.8%,291,27.2%
D Burglary,"2,247",86.2%,360,13.8%
E Robbery,906,81.0%,212,19.0%
F Theft And Handling,"11,764",92.3%,984,7.7%
G Fraud And Forgery,847,83.9%,163,16.1%
H Criminal Damage,"3,051",84.4%,563,15.6%
I Drugs Offences,"5,302",93.7%,355,6.3%
J Public Order Offences,"5,383",84.1%,"1,018",15.9%
K All Other Offences (excluding Motoring),"3,678",82.0%,809,18.0%
L Motoring Offences,"20,689",91.2%,"1,990",8.8%
Admin Finalisations,0,0.0%,758,100.0%
TOTAL,"64,085",85.5%,"10,861",14.5%
