Senior official (SCS2 and above),Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport - air,Accommodation/Meals,Mode of transport - rail,Mode of transport - Eurostar,Mode of Transport - taxi,"PURPOSE - DETAIL - Include information on reason for type of ticket bought - eg economy, no further information required,  club class - reason it was required. (Delete from version for publishing)",Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc (£)",Total Cost of Use of Official Secure Car
Simon McDonald - PUS,14-Apr-16,1 night,Portsmouth,Seminar,,,35.3,,,No charge for accommodation,,35,
Simon McDonald - PUS,17-Apr-16,3 days,"Chisinau, Moldova & Vilnius, Lithuania",Meetings with senior officials and staff,298.37,,,,,Economy,,298,
Simon McDonald - PUS,30-May-16,1 day,Orkney,Battle of Jutland Centenary,329,,,,,Charter arranged by event organisers,,329,
Simon McDonald - PUS,05-Jun-16,4 days,"Colombo, Sri Lanka & Kathmandu, Nepal","Joint visit with Mark Lowcock, DFID Permanent Secretary. Meetings with senior officials and staff",1898.25,,,,,"Business & Economy, over 10 hours",,1898,
Simon McDonald - PUS,16-Jun-16,1 day,Glasgow,Meetings with senior officials and Civil Service Live,209.7,,,,,Economy,,210,
Simon McDonald - PUS,30-Jun-16,1 day,Berlin,Trilateral,215.98,,,,,Economy,,216,
Tim Barrow - Director General Political,07-Apr-16,5 days,"Hiroshima, Japan",G7 Summit ,6293.95,,,,,Business,196.53,6490,
Tim Barrow - Director General Political,13-Apr-16,1 day,"Geneva, Switzerland",Meeting with UN Syria Envoy,370.81,,,,,Economy,,371,
Tim Barrow - Director General Political,17-Apr-16,1 day,Luxembourg,Foreign Affairs Council,402.15,,,,,Economy,129.26,531,
Tim Barrow - Director General Political,21-Apr-16,1 day,"Vienna, Austria",Joint Commission (Iran Nuclear) Meeting,393.81,,,,,Economy,,394,
Tim Barrow - Director General Political,04-May-16,1 day,"Berlin, Germany",Bilateral Consultations with German Political Director,768.81,,,,,Economy,,769,
Tim Barrow - Director General Political,09-May-16,1 day,Paris ,Syria Ministerial Meeting,229,,,,,Economy,,229,
Tim Barrow - Director General Political,16-May-16,2 days,"Vienna, Austria",ISSG (Syria Meeting),239.5,,,,,Economy,,240,
Tim Barrow - Director General Political,23-May-16,1 day,Brussels,Foreign Affairs Council,,,12.1,,,RAF flight with the FS,,12,
Tim Barrow - Director General Political,12-Jun-16,2 days,"Beijing, China",UK/China Strategic Dialogue,3840.35,,,,,Business,143.36,3984,
Tim Barrow - Director General Political,19-Jun-16,1 day,Luxembourg,Foreign Affairs Council,401.81,,,,29.77,Economy,186.06,618,
Tim Barrow - Director General Political,29-Jul-16,2 days,Washington,US/UK Strategic Dialogue ,4512.55,,6,,14.2,Premium Economy Outbound/Business Return as overnight and straight into work. ,,4532,
Sir David King - Special Representative for Climate Change,07-Apr-16,2 days,"Macon, France",Participating/guest speaker in the Shift Forum hosted by the Shift Project,,,,134,,Standard Eurostar Return,,134,
Sir David King - Special Representative for Climate Change,10-Apr-16,3 days,"Pretoria, South Africa","High level climate diplomacy/renewable energy (MI) dicussions with officials, NGOs and other stakeholders",2798.65,,,,,Business Class return - flight over ten hours,,2799,
Sir David King - Special Representative for Climate Change,05-May-16,3 days,"Washington DC, US",Attend Climate Action Summit + discussions with officials on Mission Innovation,1334,,,,,Premier Economy Return,,1334,
Sir David King - Special Representative for Climate Change,24-May-16,1 Day,"Brussels, Belgium",Meetings with EC and MEPs to discuss Mission Innovation,,,,58,,Standard Eurostar Return,,58,
Sir David King - Special Representative for Climate Change,31-May-16,5 Days,"San Francisco, US",Attend Clean Energy Ministerial,5764.55,,,,86.54,Business Class return - flight over ten hours,,5851,
Deborah Bronnert - Director General Economic and Consular,14-Apr-16,1 night,Portsmouth,Joint DGs' Seminar,,,39.1,,,No charge for accommodation,,39,
Deborah Bronnert - Director General Economic and Consular,20-Apr-16,3 days,Beijing and Hong Kong,Familiarisation visit,4326.68,,,,,Business Class return - flight over ten hours,,4330,
Deborah Bronnert - Director General Economic and Consular,03-May-16,1 day,"Brussels, Belgium",Pre-referendum meetings,,,,134,,Economy,,134,
