Organisation,Merchant,MCC,Date Posted,Settlement Amount,Description
Health & Safety Executive,THE IET,2741,11/07/2012,£808.80,Training Course
Health & Safety Executive,PETROFAC TRAINING LTD,8299,13/07/2012,£859.20,Training Course
Health & Safety Executive,ABB LIMITED,8911,18/07/2012,"£2,460.00",Training Course
Health & Safety Executive,IWM BUSINESS SERVI,7399,23/07/2012,"£1,162.80",Training Course
Health & Safety Executive,AERLING     2F8UFS CLAYTO,3043,09/07/2012,£639.34,"Attendance at Respiratory Protection Conference, Boston - Airfare only"
Health & Safety Executive,BANNER BUSINESS SUPPL,5943,06/07/2012,"£1,769.04",Office Consumables
Health & Safety Executive,BANNER BUSINESS SUPPL,5943,06/07/2012,"£1,769.04",Office Consumables
Health & Safety Executive,XMA LTD,7372,06/07/2012,"£9,528.48",Computer Consumables
Health & Safety Executive,XMA LTD,7372,06/07/2012,£729.50,Computer Consumables
Health & Safety Executive,XMA LTD,7372,09/07/2012,"£1,564.84",Computer Consumables
Health & Safety Executive,BANNER BUSINESS SUPPL,5943,13/07/2012,£601.49,Office Consumables
Health & Safety Executive,XMA LTD,7372,20/07/2012,£780.89,Computer Consumables
Health & Safety Executive,BANNER BUSINESS SUPPL,5943,25/07/2012,£566.01,Office Consumables
Health & Safety Executive,CAPITA BUS SVS-MOTO,9399,09/07/2012,"£1,399.20",Training Course
Health & Safety Executive,INMM,8699,18/07/2012,£643.13,Training Course
Health & Safety Executive,N Y S CORPORATE,4722,19/07/2012,"£1,350.60",Training Course
Health & Safety Executive,ICHEME,8398,23/07/2012,"£4,692.00",Training Venue
Health & Safety Executive,ST JOHN AMBULANCE,8220,23/07/2012,£675.60,Training Course
Health & Safety Executive,NORTH NOTTS CREATE LTD,8220,11/07/2012,£960.00,Training Course
Health & Safety Executive,BANNER BUSINESS SUPPL,5943,24/07/2012,£742.32,Office Consumables
Health & Safety Executive,MIDLANDS TOOL SUPPLIES,5072,25/07/2012,£900.00,Computer Accessories
Health & Safety Executive,BALTIC SAFETY PROD,5941,26/07/2012,"£4,776.24",Scientific Equipment
Health & Safety Executive,SIRA TEST & CERTIFICATIO,5065,06/07/2012,"£1,176.00",Training Course
Health & Safety Executive,CARL STAHL EVITA L,5999,13/07/2012,"£13,200.00",Training Course
Health & Safety Executive,MINES RESCUE SERVICE,8220,25/07/2012,"£4,600.80",Training Course
Health & Safety Executive,N Y S CORPORATE,4722,25/07/2012,"£4,342.50",Training Course
Health & Safety Executive,N Y S CORPORATE,4722,27/07/2012,"£4,928.74",Training Course
Health & Safety Executive,SURVIVEX,8249,06/07/2012,£798.00,Training Course
Health & Safety Executive,XMA LTD,7372,16/07/2012,£610.14,Computer Consumables
Health & Safety Executive,WWW.UK.RS-ONLINE.C,5065,30/07/2012,"£1,075.37",Scientific Equipment
