Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum Of Amount
Department for Transport,British Transport Police,07/02/2011,VEHICLE SERVICING- PLANNED,FHQ VEHICLE FLEET MANAGER,BT FLEET LIMITED,232495,"1,355.98"
Department for Transport,British Transport Police,07/02/2011,VEHICLE SERVICING- PLANNED,FHQ VEHICLE FLEET MANAGER,BT FLEET LIMITED,232495,"55,677.50"
Department for Transport,British Transport Police,07/02/2011,P&L ON SALE- OWNED VEHICLES,CORPORATE FINANCE,BT FLEET LIMITED,232495,"1,412.55"
Department for Transport,British Transport Police,11/02/2011,VEHICLE OWNED - ADDIT 10 YEARS,CAPITAL CONTROL ACCOUNT,IVECO LTD,231732,"30,747.40"
Department for Transport,British Transport Police,11/02/2011,VEHICLE OWNED - ADDIT 10 YEARS,CAPITAL CONTROL ACCOUNT,IVECO LTD,231731,"30,747.40"
Department for Transport,British Transport Police,11/02/2011,BUILDING RENTAL,FHQ SCIENTIFIC SUPPORT,ORIGIN PROPERTIES LTD,232628,"68,987.19"
Department for Transport,British Transport Police,11/02/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,STRATEGIC TEAM GROUP CO LTD,232696,"37,576.57"
Department for Transport,British Transport Police,18/02/2011,PHOTCOPIER SERVICE CHARGE,FORCEWIDE MAINTENANCE,DANWOOD GROUP LTD,229665,"3,064.41"
Department for Transport,British Transport Police,18/02/2011,PHOTCOPIER SERVICE CHARGE,FORCEWIDE MAINTENANCE,DANWOOD GROUP LTD,229665,"3,409.43"
Department for Transport,British Transport Police,18/02/2011,PHOTCOPIER SERVICE CHARGE,FORCEWIDE MAINTENANCE,DANWOOD GROUP LTD,229665,"3,973.18"
Department for Transport,British Transport Police,18/02/2011,PHOTCOPIER SERVICE CHARGE,FORCEWIDE MAINTENANCE,DANWOOD GROUP LTD,229665,"4,653.90"
Department for Transport,British Transport Police,18/02/2011,PHOTCOPIER SERVICE CHARGE,FORCEWIDE MAINTENANCE,DANWOOD GROUP LTD,229665,"5,052.28"
Department for Transport,British Transport Police,18/02/2011,PHOTCOPIER SERVICE CHARGE,FORCEWIDE MAINTENANCE,DANWOOD GROUP LTD,229665,"5,077.27"
Department for Transport,British Transport Police,18/02/2011,PHOTCOPIER SERVICE CHARGE,FORCEWIDE MAINTENANCE,DANWOOD GROUP LTD,229665,"12,076.94"
Department for Transport,British Transport Police,18/02/2011,CLAIM - PUBLIC LIABILITY,CORPORATE RISK TEAM,FISHER MEREDITH,22080,"28,000.00"
Department for Transport,British Transport Police,24/02/2011,VEHICLE SERVICING- PLANNED,FHQ VEHICLE FLEET MANAGER,BT FLEET LIMITED,233924,"59,689.40"
Department for Transport,British Transport Police,24/02/2011,P&L ON SALE- OWNED VEHICLES,CORPORATE FINANCE,BT FLEET LIMITED,233924,"1,575.51"
Department for Transport,British Transport Police,24/02/2011,TELEPHONE CALLS,FHQ TECHNOLOGY MANAGER,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,232844,"49,013.15"
Department for Transport,British Transport Police,24/02/2011,COMMS DATA,FHQ TECHNOLOGY MANAGER,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,232843,"114,628.47"
Department for Transport,British Transport Police,24/02/2011,COMMS DATA,FHQ TECHNOLOGY MANAGER,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,232836,"30,626.00"
Department for Transport,British Transport Police,24/02/2011,PENSION EMPLOYER CONTS,CORPORATE FINANCE,LRT PENSION FUND TRUSTEE CO LTD,234044,"28,413.00"
Department for Transport,British Transport Police,24/02/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,Ordnance Survey Hq Account -,228609,"38,817.29"
Department for Transport,British Transport Police,24/02/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,SAP (UK) LTD,232325,"28,852.49"
Department for Transport,British Transport Police,24/02/2011,TELEPHONE- MOBILES,FHQ TECHNOLOGY MANAGER,VODAFONE LTD (CORPORATE),233897,"2,212.42"
Department for Transport,British Transport Police,24/02/2011,TELEPHONE- MOBILES,FHQ TECHNOLOGY MANAGER,VODAFONE LTD (CORPORATE),233897,"97,140.60"
Department for Transport,Department for Transport,01/02/2011,Other Professional Fees,Environment and International,AEA TECHNOLOGY PLC,2000024278,"72,069.00"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000024279,"4,080.00"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"2,482.22"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"2,663.09"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"3,102.78"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"3,328.86"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"3,286.20"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"2,565.00"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"-2,663.09"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"-3,328.86"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"-3,102.78"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"-2,482.22"
