Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advisory Conciliation & Arbitration Service,ACAS,"Department for Business, Innovation & Skills",63,56.5,250,226.6,493,454.7,37,34.7,3,3,2,1.2,848,777,10,10,0,0,0,0,3,3,13,13,861,790,"£1,980,060.42","£17,521.02",£0.00,"£11,409.46","£365,394.85","£151,500.68","£2,525,886.43","£13,874.37","£25,500.00","£39,374.37","£2,565,260.80",
Arts & Humanities Research Council,AHRC,"Department for Business, Innovation & Skills",4,3.74,34,32.49,50,47.19,12,11.7,4,3.5,,,104,99,,,,,8,8,,,8,8,112,107,"£286,944.00","£3,683.73","£38,117.63",,"£70,812.47","£24,298.53","£423,856.36","£77,149.62",,"£77,149.62","£501,005.98",
Biotechnology & Biological Sciences Research Council,BBSRC,"Department for Business, Innovation & Skills",206,185.07,336,314.85,723,679,202,186.09,46,42.77,0,0,"1,513","1,408",12,12,0,0,1,1,1,0.2,14,13.2,"1,527","1,421","£4,516,498.02","£71,594.68","£167,951.00","£43,567.78","£1,103,741.56","£412,638.04","£6,315,991.08","£41,454.54","£5,000.00","£46,454.54","£6,362,445.62",
"Business, Innovation & Skills ",BIS,"Department for Business, Innovation & Skills",168,161.12,402,390.54,1160,1134.5,1170,1128.92,228,219.91,0,0,"3,128","3,035",78,78,12,12,75,75,68,68,233,233,"3,361","3,268","£12,144,500.92","£288,295.38","£1,002,390.00","£25,734.81","£2,293,256.53","£1,194,165.98","£16,948,343.62","£226,739.00","£1,389,758.00","£1,616,497.00","£18,564,840.62",Included Headcount and Salary data for UKTI.
Capital for Enterprise Limited,CEL,"Department for Business, Innovation & Skills",0,0,8,8,8,8,15,14.31,4,4,,,35,34,0,0,,,0,0,,,0,0,35,34,"£143,275.79",£500.00,,,"£29,845.99","£14,054.76","£187,676.54",,,£0.00,"£187,676.54",Now British Business Bank
Companies House ,CH,"Department for Business, Innovation & Skills",522,448,265,250,135,131,31,30,4,4,,,957,863,,,,,,,17,17,17,17,974,880,"£1,901,195.00","£37,718.00","£3,048.00","£36,319.00","£335,852.00","£133,235.00","£2,447,367.00",,"£184,300.00","£184,300.00","£2,631,667.00",
Competition Service,CS,"Department for Business, Innovation & Skills",3,3,2,1.65,6,5.6,4,3.3,1,1,,,16,15,,,,,,,,,0,0,16,15,"£55,658.32",,"£9,098.00",,"£12,270.92","£6,176.69","£83,203.93",,,£0.00,"£83,203.93",
Construction Industry Training Board,CITB,"Department for Business, Innovation & Skills",436,406.97,625,613.03,331,325.23,24,24,7,7,0,0,"1,423","1,376",55,46.2,0,0,91,44.3,0,0,146,90.5,"1,569","1,467","£3,455,265.95","£178,854.99",£0.00,"£32,852.42","£472,344.37","£288,131.16","£4,427,448.89","£474,238.37",£0.00,"£474,238.37","£4,901,687.26",
