"AP Invoices over £25k Amount Paid > £xxx (Payment Date) Parameters: AP Payment Date Start : '01-JAN-2014' , AP Payment Date End : '31-JAN-2014' , AP - Minimum Payment Limit : '25000' Report Ran: 18-FEB-14 03.41.23 PM",,,,,,,,
,,,,,,,,
Org Code:RCFN,Ledger Id:2171,,,,,,,
,,,,,,,,
Org Code Desc,Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,DIAGNOSTIC SERVICES,10-Jan-2014,COMPUTER SOFTWARE / LICENSE  FEES,DIAGNOSTIC MANAGEMENT,ACCENTURE PROPERTIES,3003230816,"26,472.45"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,DIAGNOSTIC SERVICES,10-Jan-2014,COMPUTER SOFTWARE / LICENSE  FEES,DIAGNOSTIC MANAGEMENT,ACCENTURE PROPERTIES,3003230816,"5,294.49"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,DIAGNOSTIC SERVICES,10-Jan-2014,COMPUTER SOFTWARE / LICENSE  FEES,DIAGNOSTIC MANAGEMENT,ACCENTURE PROPERTIES,3003230816,"-5,294.49"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,24-Jan-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1286679,"40,799.37"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,24-Jan-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1286679,"8,159.87"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,24-Jan-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1286679,"-8,159.87"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,24-Jan-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1286679,"-8,159.87"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,24-Jan-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1288992,"40,799.37"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,24-Jan-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1288992,"8,159.87"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,24-Jan-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1288992,"-8,159.87"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,24-Jan-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1288992,"-8,159.87"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,DIAGNOSTIC SERVICES,24-Jan-2014,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,PROVIDER PROVIDER,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,278216,"43,620.23"
AIREDALE NHS FOUNDATION TRUST,SURGICAL SERVICES,SURGICAL SERVICES,31-Jan-2014,CONSULTANT,SURGICAL SERVICES,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,279102,"29,959.00"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,DIAGNOSTIC SERVICES,24-Jan-2014,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,PROVIDER PROVIDER,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,279221,"39,139.00"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,24-Jan-2014,FINISHED PROCESSED GOODS,BALANCE SHEET,CAREFUSION U.K. 306 LTD,5100449881,"22,152.20"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,24-Jan-2014,FINISHED PROCESSED GOODS,BALANCE SHEET,CAREFUSION U.K. 306 LTD,5100449881,"4,430.44"
AIREDALE NHS FOUNDATION TRUST,CENTRAL INCOME,RESERVES AND PROVISIONS TECHNICAL,24-Jan-2014,RENT,RESERVES AND PROVISIONS TECHNICAL,COMMUNITY HEALTH PARTNERSHIPS,50364891,"68,159.40"
AIREDALE NHS FOUNDATION TRUST,CENTRAL INCOME,RESERVES AND PROVISIONS TECHNICAL,24-Jan-2014,RENT,RESERVES AND PROVISIONS TECHNICAL,COMMUNITY HEALTH PARTNERSHIPS,50364891,"56,799.50"
