All Female Usual Residents Aged 16 to 74,Count,Persons,Mar-11,96019,1946055,19602822
Females Aged 16 to 74; Economically Active; Employee; Part-Time,Count,Persons,Mar-11,22486,467047,4158750
Females Aged 16 to 74; Economically Active; Employee; Part-Time,Percentage,Persons,Mar-11,23.4,24,21.2
Females Aged 16 to 74; Economically Active; Employee; Full-Time,Count,Persons,Mar-11,25792,548481,6002949
Females Aged 16 to 74; Economically Active; Employee; Full-Time,Percentage,Persons,Mar-11,26.9,28.2,30.6
Females Aged 16 to 74; Economically Active; Self-Employed,Count,Persons,Mar-11,3732,137747,1122970
Females Aged 16 to 74; Economically Active; Self-Employed,Percentage,Persons,Mar-11,3.9,7.1,5.7
Females Aged 16 to 74; Economically Active; Unemployed,Count,Persons,Mar-11,3169,51379,687296
Females Aged 16 to 74; Economically Active; Unemployed,Percentage,Persons,Mar-11,3.3,2.6,3.5
Females Aged 16 to 74; Economically Active; Full-Time Student,Count,Persons,Mar-11,4754,68274,717556
Females Aged 16 to 74; Economically Active; Full-Time Student,Percentage,Persons,Mar-11,5,3.5,3.7
Females Aged 16 to 74; Economically Inactive; Retired,Count,Persons,Mar-11,15311,351018,3049775
Females Aged 16 to 74; Economically Inactive; Retired,Percentage,Persons,Mar-11,15.9,18,15.6
Females Aged 16 to 74; Economically Inactive; Student (Including Full-Time Students),Count,Persons,Mar-11,7423,92237,1107475
Females Aged 16 to 74; Economically Inactive; Student (Including Full-Time Students),Percentage,Persons,Mar-11,7.7,4.7,5.6
Females Aged 16 to 74; Economically Inactive; Looking After Home or Family,Count,Persons,Mar-11,6706,130015,1538377
Females Aged 16 to 74; Economically Inactive; Looking After Home or Family,Percentage,Persons,Mar-11,7,6.7,7.8
Females Aged 16 to 74; Economically Inactive; Long-Term Sick or Disabled,Count,Persons,Mar-11,4717,65793,750581
Females Aged 16 to 74; Economically Inactive; Long-Term Sick or Disabled,Percentage,Persons,Mar-11,4.9,3.4,3.8
Females Aged 16 to 74; Economically Inactive; Other,Count,Persons,Mar-11,1929,34064,467093
Females Aged 16 to 74; Economically Inactive; Other,Percentage,Persons,Mar-11,2,1.8,2.4
Females; Unemployed; Age 16 to 24,Count,Persons,Mar-11,1033,13278,177622
Females; Unemployed; Age 16 to 24,Percentage,Persons,Mar-11,1.1,0.7,0.9
Females; Unemployed; Age 50 to 74,Count,Persons,Mar-11,453,9871,107985
Females; Unemployed; Age 50 to 74,Percentage,Persons,Mar-11,0.5,0.5,0.6
Females Aged 16 to 74; Unemployed; Never Worked,Count,Persons,Mar-11,424,5371,119827
Females Aged 16 to 74; Unemployed; Never Worked,Percentage,Persons,Mar-11,0.4,0.3,0.6
Females Aged 16 to 74; Long-Term Unemployed,Count,Persons,Mar-11,1318,20948,288361
Females Aged 16 to 74; Long-Term Unemployed,Percentage,Persons,Mar-11,1.4,1.1,1.5
"Economic Activity - Females, 2011 (KS603EW), Mar11",LastUpdated,30-Jan-13,,,,
"Economic Activity - Females, 2011 (KS603EW), Mar11",Source,Office for National Statistics,,,,
Economic Activity - Females (KS603EW),National Statistics,,,,,
"This material is Crown Copyright. You may re-use this information (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence. To view this licence, visit www.nationalarchives.gov.uk/doc/open-government-licence Information Policy Team, The National Archives, Kew, London TW9 4DU, or email:psi@nationalarchives.gsi.gov.uk. When reproducing this material, the source should be acknowledged.",,,,,,
