Entity,GL Date,Merchant name,Amount,Description
CEFAS,27/01/2017,SINGAPORE AIRLINES,1634.97,Return premium economy flight from London to Singapore to attend meetings with Maritime Ministries and Non Government Organisations. 
CEFAS,30/01/2017,ROYAL DUTCH AIRLINES (KLM),847.94,Return economy flight from London to Hanoi to develop new business with the Vietnamese Government
CEFAS,31/01/2017,TRADEWINDS HOTEL ANTIG,720.06,Accommodation for two people for two nights in Antigua to meet with the Prime minister and 5 government departments as part of planning for the Commonwealth Marine Economies Programme
CEFAS,01/02/2017,SILVERDALE,618,Purchase of Data Analysis and Graphing Software 
CEFAS,01/02/2017,FORENINGEN FOR DGIS LA,2011.55,"Accommodation for one person for 13 nights to attend two International Council for the Exploration of the Sea meetings, including a two day workshop, followed by annual Salmon Working Group meeting. "
CEFAS,01/02/2017,HOLIDAY INNS,765.54,Accommodation for one person for four nights in Kuwait for Environmental Monitoring Information System of Kuwait project. Cost fully recovered from commercial contract. 
CEFAS,03/02/2017,HOLIDAY INNS,855.97,Accommodation for one person for five nights in Kuwait for collection of samples for seedcorn project and meetings with Kuwait Institute Science Research. 
CEFAS,03/02/2017,HOLIDAY INNS,1711.95,Accommodation for two people for two nights in Kuwait for Environmental Monitoring Information System of Kuwait project. Cost fully recovered from commercial contract. 
CEFAS,08/02/2017,FlybeDFLT DFLTD2,577.77,Flight economy flight for three people from Norwich to Edinburgh to attend National Coordination Meeting for the European Union Data Collection Framework. 
CEFAS,08/02/2017,THE ECONOMIST GROUP (A,1292.99,Conference registration fee to attend 'World Ocean Summit 2017' in Indonesia. 
CEFAS,09/02/2017,BSRIA LIMITED,837.1,"Local Exhaust Ventilation Flow Monitoring Equipment, Health and Safety Statutory requirement. "
CEFAS,09/02/2017,EBUYER (UK) LTD,1237.31,Replacement printers for on-board the Cefas Endeavour
CEFAS,10/02/2017,HOTELS COM,1178.76,"Accommodation for four people for three nights to attend the 1st Bilateral Marine Management Seminar between Cefas and the Research Inst Marine Fisheries in Hai Phong, Vietnam. "
CEFAS,10/02/2017,JUMEIRAH CREEKSIDE HOT,1114.71,Accommodation for one person for six nights in Kuwait for the United Arab Emirates scoping project is part of project planning for next 3 years. The project was to support the development of the manual for United Arab Emirates aquaculture framework. 
CEFAS,10/02/2017,JUMEIRAH CREEKSIDE HOT,1114.71,Accommodation for one person for six nights in Kuwait for the United Arab Emirates scoping project is part of project planning for next 3 years. The project was to support the development of the manual for United Arab Emirates aquaculture framework. 
CEFAS,10/02/2017,JUMEIRAH CREEKSIDE HOT,1114.71,Accommodation for one person for six nights in Kuwait for the United Arab Emirates scoping project is part of project planning for next 3 years. The project was to support the development of the manual for United Arab Emirates aquaculture framework. 
CEFAS,10/02/2017,BRITISH A,632.83,Return flight for one person from London to New York to attend United Nations preparatory meeting to support the implementation of sustainable development goal. 
CEFAS,10/02/2017,Amazon UK Marketplace,1314.36,Replacement hard drives for the Nas Tank data drives on-board the Cefas Endeavour for Marine Protected Areas surveys
CEFAS,11/02/2017,ANGELO ALZETTA SRL,519.83,Accommodation for one person for five nights to attend International Council for the Exploration of the Sea meeting in Italy 
CEFAS,12/02/2017,Budgetair Italy,722.31,Return economy flight for one person from London to Italy to attend International Council for the Exploration of the Sea meeting. 
CEFAS,15/02/2017,SUTTON & CHANNING,1225,Accommodation for five people for four nights to complete Hinkley Point Corallina survey for commercial energy programme.
CEFAS,15/02/2017,HOLIDAY INNS,684.41,"Accommodation for one person for four nights in Kuwait, purpose of the visit was to support ROPME in the development of ecosystem based management. Work under the Cabinet Office programme on the Gulf Marine Environment."
CEFAS,16/02/2017,"GEOTRUST, INC.",661,3 Year Certificate needed for Skype for Business Telephony Infrastructure
CEFAS,16/02/2017,Amazon EU,922.95,Purchase of two GoPro cameras required for a scallop survey project and will be mounted on scallop fishing gear.
CEFAS,16/02/2017,MACMILLAN,1332,Open access fee for publication in Nature Scientific Journal. 
CEFAS,17/02/2017,HOLIDAY INNS,860.63,Accommodation for one person for five nights in Kuwait the purpose was to finalise a manuscript with the Environment Public Authority in Kuwait.
CEFAS,17/02/2017,PAYPAL  CHENHESHENG,537,Axis CNC Router Engraver requires for microplastics laboratory. 
CEFAS,20/02/2017,WWW.CLEVERBRIDGE.NET,762,Renewal of an existing statistics software. 
CEFAS,21/02/2017,SPRINGER CSC GMBH,2305.65,"Open Access fees for ""Predicting the standing stock of organic carbon in surface sediments of the North-West European continental shelf."
CEFAS,22/02/2017,Amazon EU,698,Purchase two Go Pro Camera's used for underwater filming of shellfish species.
CEFAS,22/02/2017,SETAC Europe,792.06,Conference fees for one person to attend and present at Society of Environmental Toxicology and Chemistry Europe 2017 meeting. 
