Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,94,87.57,336,322.91,694,668.53,699,666.23,168,160.75,0,0,1991,1905.99,39,38.41,0,0,59,57.39,2,1.56,100,97.36,2091,2003.35,"£7,034,726","£18,314","£22,350","£20,736","£1,519,813","£845,837","£9,461,777","£973,080","£397,159","£1,370,238",10832015.18,
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,414,388.01,320,314.53,2030,1969.06,462,451.66,130,123.14,26,21.68,3382,3268.08,3,3,0,0,1,1,1,1,5,5,3387,3273.08,"£10,160,883","£92,969",£0,"£283,138","£1,606,406","£1,480,147","£13,623,543","£68,018",£0,"£68,018","£13,691,561",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,77,66.4,354,336.1,813,787,1328,1298.5,183,174.4,0,0,2755,2662.4,46,41.9,0,0,50,43.3,0,0,96,85.2,2851,2747.6,"£9,863,019","£172,904",£0,"£32,052","£1,305,894","£1,095,910","£12,469,780","£579,235",£0,"£579,235",13049014.77,
Health Education England,Executive Non-Departmental Public Body,Department of Health,101,92.86,608,555.3,532,483,412,382.4,952,338.1,0,0,2605,1851.66,128,94,0,0,1,0.8,0,0,129,94.8,2734,1946.46,"£6,728,999","£196,035",0,£0,"£805,338","£660,606","£8,390,978","£311,325",£0,"£311,325","£8,702,303",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,11,8.11,89,82.22,56,51.4,39,33.1,5,4.7,0,0,200,179.53,10,6.93,4,3.3,0,0,0,0,14,10.23,214,189.76,"£544,058",£0,£0,"£15,846","£65,574","£56,440","£681,918","£49,149",£0,"£49,149","£731,067",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,19,17.01,37,35.89,8,8,3,3,0,0,67,63.9,4,4,0,0,2,2,0,0,6,6,73,69.9,"£213,469",0,0,1076,"£46,214","£23,844","£284,603","£45,302","£47,488","£92,790","£377,393",
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,1.8,7,5.79,23,20.15,10,9.8,4,3.8,0,0,46,41.34,0,0,0,0,0,0,0,0,0,0,46,41.34,"£160,195",£0,£0,£0,"£16,829","£18,150","£195,173","£3,606","£1,325","£4,931","£200,105",
Medicines & Healthcare Products Regulatory Agency,Executive Agency,Department of Health,80,77.58,216,208.56,451,441.08,359,345.92,146,129.73,0,0,1252,1202.87,39,38.8,0,0,3,3,0,0,42,41.8,1294,1244.67,"£4,562,410","£5,612","£4,550","£39,313","£977,610","£522,519","£6,112,014","£209,178",£0,"£209,178",6321192.07,
Monitor,Executive Non-Departmental Public Body,Department of Health,27,27,45,45,109,108.2,318,307.61,76,73.8,0,0,575,561.61,6,6,22,20.57,12,8.85,0,0,40,35.42,615,597.03,"£3,072,413",£0,£0,£0,"£645,770","£368,985","£4,087,168","£411,363",£0,"£411,363","£4,498,530",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,14,13.27,84,80.83,249,237.16,219,205.97,61,55.7,2,1.8,629,594.73,28,24.51,0,0,0,0,0,0,28,24.51,657,619.24,"£2,111,020","£13,647",£0,"£2,530","£283,570","£236,340","£2,647,108","£198,333",£0,"£198,333","£2,845,440",
NHS Blood & Transplant,Special Health Authority,Department of Health,2127,1721,1128,1038,1480,1364,485,476,66,64,55,49,5341,4712,57,57,17,17,13,13,0,0,87,87,5428,4799,"£12,053,346","£773,003",£0,"£349,903","£1,683,489","£1,339,086","£16,198,828","£430,178",£0,"£430,178","£16,629,006",
NHS Business Services Authority,Special Health Authority,Department of Health,1784,1586.3,411,391,296,288.41,170,165.25,53,51.33,0,0,2714,2482.29,64,64,0,0,0,0,0,0,64,64,2778,2546.29,"£4,321,038","£10,801","£159,708","£68,147","£550,401","£381,780","£5,491,876","£137,421",£0,"£137,421",5629297.1,
NHS England,Executive Non-Departmental Public Body,Department of Health,483,445.3,512,490.6,1203,1156.1,1934,1855.9,645,594.6,133,57.7,4910,4600.2,390,390,484,484,0,0,0,0,874,874,5784,5474.2,"£18,514,089",0,0,0,"£2,465,576","£2,197,837","£23,177,501","£3,493,594","£1,687,491","£5,181,084","£28,358,585",
NHS Litigation Authority,Special Health Authority,Department of Health,7,7,37,35.06,90,86.6,76.5,70.65,13.5,11.6,0,0,224,210.91,7,6.59,5,4.34,0,0,0,0,12,10.93,236,221.84,"£762,224","£93,615",£0,"£3,790","£109,493","£97,943","£1,067,065","£53,777",£0,"£53,777","£1,120,842",
NHS Trust Development Authority,Special Health Authority,Department of Health,5,5,65,61.71,71,67.74,112,108.49,182,173.42,0,0,435,416.36,9,9,0,0,0,0,0,0,9,9,444,425.36,"£2,138,857","£11,848",£0,£0,"£294,496","£264,008","£2,709,209","£20,582",£0,"£20,582","£2,729,791",
Public Health England,Executive Agency,Department of Health,883,787.62,730,692.2,1913,1801.51,1359,1291.41,435,393.44,0,0,5320,4966.18,125,120.8,4,4,15,12.28,0,0,144,137.08,5464,5103.26,15605102.67,4411789.58,8198.1,116928.43,593882.04,2011182.43,22747083.25,686839.58,0,686839.58,23433922.83,
