CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,5227,93.9%,337,6.1%
P01-Avon&Somerset,112,98.2%,2,1.8%
P02-Bedfordshire,54,98.2%,1,1.8%
P03-Cambridgeshire,47,97.9%,1,2.1%
P04-Cheshire,73,94.8%,4,5.2%
P06-Cleveland,81,90.0%,9,10.0%
P07-Cumbria,77,96.3%,3,3.8%
P08-Derbyshire,63,92.6%,5,7.4%
P09-Devon&Cornwall,155,98.1%,3,1.9%
P10-Dorset,33,94.3%,2,5.7%
P11-Durham,36,94.7%,2,5.3%
P12-DyfedPowys,70,95.9%,3,4.1%
P13-Essex,113,90.4%,12,9.6%
P14-Gloucestershire,33,97.1%,1,2.9%
P15-GreaterManchester,346,92.3%,29,7.7%
P16-Gwent,75,93.8%,5,6.3%
P17-Hampshire,126,93.3%,9,6.7%
P18-Hertfordshire,82,91.1%,8,8.9%
P19-Humberside,56,100.0%,0,0.0%
P20-Kent,92,92.9%,7,7.1%
P21-Lancashire,109,91.6%,10,8.4%
P22-Leicestershire,42,97.7%,1,2.3%
P23-Lincolnshire,31,100.0%,0,0.0%
P24-Merseyside,355,94.2%,22,5.8%
P25-Metropolitan&City,1106,94.9%,59,5.1%
P26-Norfolk,47,94.0%,3,6.0%
P27-Northamptonshire,28,87.5%,4,12.5%
P28-Northumbria,158,94.0%,10,6.0%
P29-NorthWales,58,100.0%,0,0.0%
P30-NorthYorkshire,62,92.5%,5,7.5%
P31-Nottinghamshire,108,95.6%,5,4.4%
P32-SouthWales,195,95.6%,9,4.4%
P33-SouthYorkshire,114,94.2%,7,5.8%
P34-Staffordshire,66,95.7%,3,4.3%
P35-Suffolk,46,92.0%,4,8.0%
P36-Surrey,68,91.9%,6,8.1%
P37-Sussex,98,93.3%,7,6.7%
P38-ThamesValley,183,95.3%,9,4.7%
P39-Warwickshire,26,83.9%,5,16.1%
P40-WestMercia,69,90.8%,7,9.2%
P41-WestMidlands,253,92.7%,20,7.3%
P42-WestYorkshire,254,88.2%,34,11.8%
P43-Wiltshire,27,96.4%,1,3.6%
