Org Code Desc,Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount,
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,05-Dec-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1309604,"47,337.20",
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,05-Dec-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1309604,"9,467.44",
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,05-Dec-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1309604,"-9,467.44",
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,19-Dec-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1312401,"47,337.20",
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,19-Dec-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1312401,"9,467.44",
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,19-Dec-2014,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1312401,"-9,467.44",
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,DIAGNOSTIC SERVICES,11-Dec-2014,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,PROVIDER PROVIDER,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,283947,"93,593.22",
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,30-Dec-2014,GAS,UTILITIES,CORONA ENERGY LTD,9777834,"62,966.18",
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,30-Dec-2014,GAS,UTILITIES,CORONA ENERGY LTD,9777834,"1,118.72",
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,30-Dec-2014,GAS,UTILITIES,CORONA ENERGY LTD,9777834,55.94,
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,30-Dec-2014,GAS,UTILITIES,CORONA ENERGY LTD,9777834,"12,593.24",
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,15-Dec-2014,CONTRACT : PREMISES SECURITY,ESTATES,CP PLUS LTD,19011/10,"21,968.83",
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,15-Dec-2014,CONTRACT : PREMISES SECURITY,ESTATES,CP PLUS LTD,19011/10,"4,393.77",
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,15-Dec-2014,CONTRACT : PREMISES SECURITY,ESTATES,CP PLUS LTD,19011/10,"-4,393.77",
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,15-Dec-2014,CONTRACT : PREMISES SECURITY,ESTATES,CP PLUS LTD,19011/10,"-4,393.77",
AIREDALE NHS FOUNDATION TRUST,FACILITIES,ESTATES,15-Dec-2014,CONTRACT : PREMISES SECURITY,ESTATES,CP PLUS LTD,19011/10,"4,393.77",
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,30-Dec-2014,LEGAL FEES,FINANCE DEPARTMENT,DAC BEACHCROFT LLP,3023908,"31,537.50",
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,30-Dec-2014,LEGAL FEES,FINANCE DEPARTMENT,DAC BEACHCROFT LLP,3023908,"31,537.50",
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,30-Dec-2014,LEGAL FEES,FINANCE DEPARTMENT,DAC BEACHCROFT LLP,3023908,"-31,537.50",
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,30-Dec-2014,LEGAL FEES,FINANCE DEPARTMENT,DAC BEACHCROFT LLP,3023908,"6,307.50",
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,30-Dec-2014,LEGAL FEES,FINANCE DEPARTMENT,DAC BEACHCROFT LLP,3023908,"-6,307.50",
AIREDALE NHS FOUNDATION TRUST,MEDICAL SERVICES,PHARMACY,05-Dec-2014,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,OP/4442822,"37,180.00",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,OTHER DEBTORS < ONE YEAR,BALANCE SHEET,MINDRAY (UK) LTD,610026006,"49,555.50",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,OTHER DEBTORS < ONE YEAR,BALANCE SHEET,MINDRAY (UK) LTD,610026006,"47,398.50",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,OTHER DEBTORS < ONE YEAR,BALANCE SHEET,MINDRAY (UK) LTD,610026006,"-18,194.50",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,OTHER DEBTORS < ONE YEAR,BALANCE SHEET,MINDRAY (UK) LTD,610026006,"-49,555.50",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,OTHER DEBTORS < ONE YEAR,BALANCE SHEET,MINDRAY (UK) LTD,610026006,"18,194.50",
AIREDALE NHS FOUNDATION TRUST,COMMUNITY SERVICES,COMMUNITY SERVICES,09-Dec-2014,CONTRACT : OTHER EXTERNAL,ADMINISTRATION,NHS PROPERTY SERVICES LTD,48339037,"18,061.00",
AIREDALE NHS FOUNDATION TRUST,COMMUNITY SERVICES,COMMUNITY SERVICES,09-Dec-2014,ELECTRICITY,ADMINISTRATION,NHS PROPERTY SERVICES LTD,48339037,"3,176.00",
AIREDALE NHS FOUNDATION TRUST,COMMUNITY SERVICES,COMMUNITY SERVICES,09-Dec-2014,GAS,ADMINISTRATION,NHS PROPERTY SERVICES LTD,48339037,"4,632.00",
AIREDALE NHS FOUNDATION TRUST,COMMUNITY SERVICES,COMMUNITY SERVICES,09-Dec-2014,MATERIALS - BUILDING,ADMINISTRATION,NHS PROPERTY SERVICES LTD,48339037,210.00,
AIREDALE NHS FOUNDATION TRUST,COMMUNITY SERVICES,COMMUNITY SERVICES,09-Dec-2014,RATES,ADMINISTRATION,NHS PROPERTY SERVICES LTD,48339037,"3,220.00",
AIREDALE NHS FOUNDATION TRUST,COMMUNITY SERVICES,COMMUNITY SERVICES,09-Dec-2014,WATER,ADMINISTRATION,NHS PROPERTY SERVICES LTD,48339037,"1,309.00",
AIREDALE NHS FOUNDATION TRUST,COMMUNITY SERVICES,COMMUNITY SERVICES,09-Dec-2014,WATER,ADMINISTRATION,NHS PROPERTY SERVICES LTD,48339038,"1,848.00",
AIREDALE NHS FOUNDATION TRUST,COMMUNITY SERVICES,COMMUNITY SERVICES,09-Dec-2014,RATES,ADMINISTRATION,NHS PROPERTY SERVICES LTD,48339038,"3,490.00",
AIREDALE NHS FOUNDATION TRUST,COMMUNITY SERVICES,COMMUNITY SERVICES,09-Dec-2014,GAS,ADMINISTRATION,NHS PROPERTY SERVICES LTD,48339038,"6,453.00",
AIREDALE NHS FOUNDATION TRUST,COMMUNITY SERVICES,COMMUNITY SERVICES,09-Dec-2014,ELECTRICITY,ADMINISTRATION,NHS PROPERTY SERVICES LTD,48339038,"3,245.00",
AIREDALE NHS FOUNDATION TRUST,COMMUNITY SERVICES,COMMUNITY SERVICES,09-Dec-2014,CONTRACT : OTHER EXTERNAL,ADMINISTRATION,NHS PROPERTY SERVICES LTD,48339038,"11,995.00",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,05-Dec-2014,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1015158074,"98,916.12",
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,05-Dec-2014,SALES OF GOODS,FINANCE DEPARTMENT,NHS SUPPLY CHAIN,1015158074,-910.02,
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,19-Dec-2014,SALES OF GOODS,FINANCE DEPARTMENT,NHS SUPPLY CHAIN,1015161297,-931.32,
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,19-Dec-2014,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1015161297,"101,230.79",
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,19-Dec-2014,SALES OF GOODS,FINANCE DEPARTMENT,NHS SUPPLY CHAIN,1015167594,"-2,185.22",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,19-Dec-2014,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1015167594,"237,523.00",
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,FINANCE,30-Dec-2014,SALES OF GOODS,FINANCE DEPARTMENT,NHS SUPPLY CHAIN,1015169979,"-1,032.12",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,30-Dec-2014,OTHER CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,1015169979,"124,352.34",
AIREDALE NHS FOUNDATION TRUST,FACILITIES,FACILITIES,05-Dec-2014,CONTRACT : OTHER EXTERNAL,TRANSPORT,RYDER LTD,61324843,"24,253.95",
AIREDALE NHS FOUNDATION TRUST,FACILITIES,FACILITIES,05-Dec-2014,CONTRACT : OTHER EXTERNAL,TRANSPORT,RYDER LTD,61324843,"4,850.79",
AIREDALE NHS FOUNDATION TRUST,FACILITIES,FACILITIES,05-Dec-2014,CONTRACT : OTHER EXTERNAL,TRANSPORT,RYDER LTD,61324843,"-4,850.79",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,STRYKER UK LTD,27502030,978.00,
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,STRYKER UK LTD,27502030,"2,410.20",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,STRYKER UK LTD,27502030,"1,263.60",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,STRYKER UK LTD,27502030,"45,384.30",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,STRYKER UK LTD,27502030,"9,076.86",
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,STRYKER UK LTD,27502030,482.04,
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,STRYKER UK LTD,27502030,252.72,
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,15-Dec-2014,ADDITIONS - PLANT AND MACHINERY,BALANCE SHEET,STRYKER UK LTD,27502030,195.60,
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,STRATEGY & BUSINESS DEVELOPMENT,30-Dec-2014,EXTERNAL CONSULTANCY FEES,STRATEGY & DEV,YORKSHIRE & HUMBER PARTNERS ACADEMIC HEALTH SCIENCE NETWORK LTD,YH140348,"115,000.00",
AIREDALE NHS FOUNDATION TRUST,CORPORATE SERVICES,STRATEGY & BUSINESS DEVELOPMENT,30-Dec-2014,EXTERNAL CONSULTANCY FEES,STRATEGY & DEV,YORKSHIRE & HUMBER PARTNERS ACADEMIC HEALTH SCIENCE NETWORK LTD,YH140348,"23,000.00",
