Department family,Entity,Date of payment,Expense area,Expense type,Supplier,"Transaction 
number",Amount in Sterling
Department of Health,Mersey Care NHS Trust,08/11/2012,Adult Drugs,Fp 10'S,Nhs Business Services Authority,18034,51.82
Department of Health,Mersey Care NHS Trust,08/11/2012,Brook Place,Fp 10'S,Nhs Business Services Authority,18034,"27,779.17"
Department of Health,Mersey Care NHS Trust,08/11/2012,D.A.R.T,Fp 10'S,Nhs Business Services Authority,18034,"13,130.00"
Department of Health,Mersey Care NHS Trust,08/11/2012,Drr Green Lane,Fp 10'S,Nhs Business Services Authority,18034,"2,623.89"
Department of Health,Mersey Care NHS Trust,08/11/2012,Kevin White Unit,Fp 10'S,Nhs Business Services Authority,18034,10.7
Department of Health,Mersey Care NHS Trust,08/11/2012,Pharmacy (Ns),Fp 10'S,Nhs Business Services Authority,18034,848.66
Department of Health,Mersey Care NHS Trust,08/11/2012,Windsor Clinic,Fp 10'S,Nhs Business Services Authority,18034,145.3
Department of Health,Mersey Care NHS Trust,08/11/2012,Aintree Facilities,Rech In - Aint Estates,Aintree University Hospital Nhs F.T,18036,"26,891.00"
Department of Health,Mersey Care NHS Trust,08/11/2012,Aintree Facilities,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,18036,"63,120.00"
Department of Health,Mersey Care NHS Trust,08/11/2012,Aintree Facilities,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,18036,"3,484.00"
Department of Health,Mersey Care NHS Trust,08/11/2012,Aintree Therapies,Rech In - Aint Diagnostics,Aintree University Hospital Nhs F.T,18036,"9,227.00"
Department of Health,Mersey Care NHS Trust,08/11/2012,Data & Voice Networks,Rech In - Aint Phone Srvcs,Aintree University Hospital Nhs F.T,18036,"2,531.00"
Department of Health,Mersey Care NHS Trust,08/11/2012,Primary Care,Pathology,Aintree University Hospital Nhs F.T,18036,"3,312.00"
Department of Health,Mersey Care NHS Trust,08/11/2012,Sandon Ward (Elm),Rech In - Aint Diagnostics,Aintree University Hospital Nhs F.T,18036,"1,588.00"
Department of Health,Mersey Care NHS Trust,08/11/2012,Sandon Ward (Elm),Rech In - Aint Therapies,Aintree University Hospital Nhs F.T,18036,430
Department of Health,Mersey Care NHS Trust,08/11/2012,Aintree Junior Adult,Ct1 Core Training Yr1,St Helens & Knowsley Nhs Trust,18049,"300,000.00"
Department of Health,Mersey Care NHS Trust,22/11/2012,Bal Sheet Control,Nhs Supplies Control,Nhs Supply Chain,18081,"26,446.48"
Department of Health,Mersey Care NHS Trust,01/11/2012,Hss Replacement Water Main,Building Works,Daniel Contractors Limited,18102,"39,726.94"
Department of Health,Mersey Care NHS Trust,08/11/2012,Hss Upgrade Ruskin/Shelley,Building Works,Construction Partnership Uk Ltd,18124,"324,718.44"
