Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2014,Printing - Trade Development Support,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",HAYS SPECIALIST RECRUITMENT LTD,38693,797.21,,KT3 4QF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,12/08/2014,Hire of Agency Staff - FDI Delivery Contract,Investment Development - Strategic Relationship Management,ADECCO UK LTD,47676,1251.7,,B37 7YE,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2014,Other Goods/Services - Ministerial Events,"Strategic Trade - Emerging Markets, China & Southern Asia",GREEN TOMATO CARS LTD,48593,94.71,,TW8 0GP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,27/08/2014,Other Professional Services - Investment - Enablers (Autumn Statement),Investment Development - Strategy & Policy,ADECCO UK LTD,48745,1019.89,,B37 7YE,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2014,Printing - Trade Marketing Events,Trade Group - Service Delivery,STERLING PRESS LTD,49746,585,,NN15 6XU,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2014,Printing - Trade Marketing Events,Trade Group - Service Delivery,STERLING PRESS LTD,49746,-585,,NN15 6XU,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,22/08/2014,Publications - Education UK,Trade Group - UKTI Education,STERLING PRESS LTD,49746,195,,NN15 6XU,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/08/2014,Other Professional Services - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,TIES PLANET LTD,50831,529.38,,LS27 8QL,GRANT,17,23,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/08/2014,Other Professional Services - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,DESIGN GLASS LTD,50832,679,,HD6 4AH,GRANT,7,10,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,12/08/2014,Hire of Agency Staff - FDI Delivery Contract,Investment Development - Strategic Relationship Management,ADECCO UK LTD,50940,1212.19,,B37 7YE,VENDOR,11,14,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,27/08/2014,Other Professional Services - Investment - Enablers (Autumn Statement),Investment Development - Strategy & Policy,ADECCO UK LTD,50966,1006.09,,B37 7YE,VENDOR,8,13,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,27/08/2014,Other Professional Services - Investment - Enablers (Autumn Statement),Investment Development - Strategy & Policy,ADECCO UK LTD,50969,1006.09,,B37 7YE,VENDOR,43,60,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/08/2014,Other Professional Services - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,AFS (TRAINING) LTD T/A AFS CONSULTANTS,51148,422.42,,HU15 1HT,GRANT,0.716666667,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/08/2014,Other Professional Services - Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,CCS NEON LTD,51150,842.64,,LS9 7DZ,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/08/2014,Other Professional Services - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,HS WOOD (TEXTILES) LTD,51151,3000,,BD5 8DT,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/08/2014,Other Professional Services - Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,EURO DIRECT INTL LTD,51152,3000,,HD1 3RR,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/08/2014,Other Professional Services - Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,SPELLZONE LTD,51163,1660.1,,YO26 8AR,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/08/2014,Other Professional Services - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,THE GENERAL TRADING CO (EUROPE) LTD,51632,3000,,BA12 8QA,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/08/2014,Other Professional Services - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,AMICUS TRAINING & CONTRACTS LTD,51633,500,,PL26 8LG,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/08/2014,Other Professional Services - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,LATITUDE AES LIMITED,51635,954.66,,PL4 8TJ,GRANT,,,Programme
