CPS outcomes by principal offence category suffolk,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,2,100.0%,0,0.0%
B Offences Against The Person,150,84.7%,27,15.3%
C Sexual Offences,8,88.9%,1,11.1%
D Burglary,22,91.7%,2,8.3%
E Robbery,4,100.0%,0,0.0%
F Theft And Handling,112,94.1%,7,5.9%
G Fraud And Forgery,13,92.9%,1,7.1%
H Criminal Damage,53,93.0%,4,7.0%
I Drugs Offences,43,93.5%,3,6.5%
J Public Order Offences,61,92.4%,5,7.6%
K All Other Offences (excluding Motoring),34,91.9%,3,8.1%
L Motoring Offences,276,92.6%,22,7.4%
Admin Finalisations,0,0.0%,6,100.0%
TOTAL,778,90.6%,81,9.4%
