Category,Farm by size and region and type,Holdings with a NM plan,Holdings without a NM plan,Not applicable,No. of responses used,,
Farm size,Small,65%,25%,9%,1080,,
Farm size,Medium,73%,23%,4%,460,,
Farm size,Large,83%,13%,4%,1095,,
Region,North East,51%,32%,17%,156,,
Region,North West & Merseyside,55%,36%,9%,300,,
Region,Yorkshire & The Humber,72%,23%,5%,381,,
Region,East Midlands,89%,9%,2%,330,,
Region,West Midlands,77%,18%,5%,305,,
Region,East of England,94%,4%,2%,363,,
Region,South East,85%,8%,7%,245,,
Region,South West,69%,25%,6%,555,,
Farm type,Cereals,93%,5%,2%,611,,
Farm type,Other crops,94%,6%,1%,387,,
Farm type,Pigs & poultry,84%,10%,7%,165,,
Farm type,Dairy,81%,17%,2%,416,,
Farm type,Grazing livestock (LFA),31%,51%,18%,305,,
Farm type,Grazing livestock (Lowland),43%,42%,15%,459,,
Farm type,Mixed,85%,12%,2%,292,,
"####Results in this worksheet relate to the farmed area covered by the holdings that carry out each of the practices or methods listed. Please note the proportion of farmed area relates only to the holdings and land area covered by the survey. This year's survey covers approximately 60 thousand holdings from the total population of almost 103,000 commercial English holdings. These holdings account for 89% of the total farmed area in England.####",,,,,,,
####For all holdings that answered the question.####,,,,,,,
