Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,British Transport Police,04/03/2011,FHQ SCIENTIFIC SUPPORT,SERVICE CHARGES,LAMBERT SMITH HAMPTON,233900,"-68,987.19"
Department for Transport,British Transport Police,04/03/2011,FHQ VEHICLE FLEET MANAGER,VEHICLE SERVICING- PLANNED,BT FLEET LIMITED,234679,101.01
Department for Transport,British Transport Police,04/03/2011,CORPORATE FINANCE,P&L ON SALE- OWNED VEHICLES,BT FLEET LIMITED,234679,508.24
Department for Transport,British Transport Police,04/03/2011,NW AREA COMMAND,PARKING SPACE RENTAL,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD,234538,825
Department for Transport,British Transport Police,04/03/2011,HR LEARNING AND DEVELOPMENT,IMPROVEMENT WORKS (NON CAP),Ndb Construction Ltd,233427,"2,136.00"
Department for Transport,British Transport Police,04/03/2011,NW AREA COMMAND,SERVICE CHARGES,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD,234538,"7,965.49"
Department for Transport,British Transport Police,04/03/2011,NW MANCHESTER STAFF COSTS,BUSINESS RATES,NETWORK RAIL,234537,"10,057.50"
Department for Transport,British Transport Police,04/03/2011,NW AREA COMMAND,BUILDING RENTAL,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD,234538,"24,753.00"
Department for Transport,British Transport Police,04/03/2011,HR LEARNING AND DEVELOPMENT,IMPROVEMENT WORKS (NON CAP),Ndb Construction Ltd,233427,"25,072.80"
Department for Transport,British Transport Police,04/03/2011,FHQ VEHICLE FLEET MANAGER,VEHICLE SERVICING- PLANNED,BT FLEET LIMITED,234679,"25,249.66"
Department for Transport,British Transport Police,04/03/2011,PRIVILEDGE TRAVEL,PRIVILEGED TRAVEL,RAIL STAFF TRAVEL LIMITED,231819,"26,607.31"
Department for Transport,British Transport Police,04/03/2011,FHQ FINANCE,IT SOFTWARE MAINTENANCE,Marsh Ltd / CS STARS,233921,"29,375.00"
Department for Transport,British Transport Police,04/03/2011,L&D OPERATIONS & TRAINING,HOTEL ACCOMMODATION,CITY OF LONDON POLICE,233984,"38,226.99"
Department for Transport,British Transport Police,04/03/2011,DFT OLYMPICS,IT SOFTWARE MAINTENANCE,INFOTERRA LTD,232717,"38,880.00"
Department for Transport,British Transport Police,04/03/2011,NW MANCHESTER STAFF COSTS,SERVICE CHARGES,NETWORK RAIL,234537,"45,850.50"
Department for Transport,British Transport Police,04/03/2011,NW MANCHESTER STAFF COSTS,BUILDING RENTAL,NETWORK RAIL,234537,"48,937.50"
Department for Transport,British Transport Police,04/03/2011,PRIVILEDGE TRAVEL,PRIVILEGED TRAVEL,RAIL STAFF TRAVEL LIMITED,234428,"52,194.17"
Department for Transport,British Transport Police,04/03/2011,PRIVILEDGE TRAVEL,PRIVILEGED TRAVEL,RAIL STAFF TRAVEL LIMITED,231820,"52,293.97"
Department for Transport,British Transport Police,04/03/2011,L&D OPERATIONS & TRAINING,HOTEL ACCOMMODATION,CITY OF LONDON POLICE,233984,"112,796.01"
