CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,61,79.2%,16,20.8%
P01-Avon&Somerset,2,66.7%,1,33.3%
P02-Bedfordshire,0,0.0%,1,100.0%
P03-Cambridgeshire,0,0,0,0
P04-Cheshire,0,0,0,0
P06-Cleveland,0,0,0,0
P07-Cumbria,1,100.0%,0,0.0%
P08-Derbyshire,0,0,0,0
P09-Devon&Cornwall,0,0,0,0
P10-Dorset,0,0,0,0
P11-Durham,0,0,0,0
P12-DyfedPowys,0,0,0,0
P13-Essex,3,100.0%,0,0.0%
P14-Gloucestershire,0,0,0,0
P15-GreaterManchester,5,83.3%,1,16.7%
P16-Gwent,0,0,0,0
P17-Hampshire,2,100.0%,0,0.0%
P18-Hertfordshire,0,0.0%,1,100.0%
P19-Humberside,4,100.0%,0,0.0%
P20-Kent,4,100.0%,0,0.0%
P21-Lancashire,0,0,0,0
P22-Leicestershire,0,0,0,0
P23-Lincolnshire,1,100.0%,0,0.0%
P24-Merseyside,0,0.0%,1,100.0%
P25-Metropolitan&City,15,65.2%,8,34.8%
P26-Norfolk,2,100.0%,0,0.0%
P27-Northamptonshire,0,0,0,0
P28-Northumbria,5,100.0%,0,0.0%
P29-NorthWales,0,0,0,0
P30-NorthYorkshire,0,0,0,0
P31-Nottinghamshire,2,100.0%,0,0.0%
P32-SouthWales,1,100.0%,0,0.0%
P33-SouthYorkshire,2,100.0%,0,0.0%
P34-Staffordshire,0,0,0,0
P35-Suffolk,0,0,0,0
P36-Surrey,0,0,0,0
P37-Sussex,0,0,0,0
P38-ThamesValley,4,80.0%,1,20.0%
P39-Warwickshire,0,0,0,0
P40-WestMercia,1,100.0%,0,0.0%
P41-WestMidlands,4,66.7%,2,33.3%
P42-WestYorkshire,3,100.0%,0,0.0%
P43-Wiltshire,0,0,0,0
