Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,ALLERTON MEDICAL CENTRE,31/08/2012,38494.61
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,CHAPLETOWN FAMILY SURGERY,31/08/2012,62493.48
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,CHEVIN MEDICAL PRACTICE,31/08/2012,133207.69
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,DR ADDLESTONE & PARTNERS,31/08/2012,60729.28
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,DR ALEXANDER & PARTNERS,31/08/2012,68421.45
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,DR CLEMENTS AND PARTNERS,31/08/2012,63064.17
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,DR KINGHORN & PARTNERS,31/08/2012,52468.32
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,DR LIGHTFOOT & PARTNERS,31/08/2012,63846.37
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,DR PORTER AND PARTNERS,31/08/2012,97075.32
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,DR PRITLOVE & PARTNERS,31/08/2012,167707.35
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,DR RI ADDLESTONE & PARTNERS,31/08/2012,52388.89
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,DR S M FELLERMAN,31/08/2012,28757.34
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,DR S M LAYBOURN & PARTNERS,31/08/2012,58741.27
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,"DRS CHU, ROBSON, SHELLY & PARTNERS",31/08/2012,41427.28
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,"DRS GERAGHTY, WHEAT & PARTNERS",31/08/2012,40445.51
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,DRS KNIGHT & PARTNERS,31/08/2012,26369.4
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,DRS NEWBOUND & PARTNERS,31/08/2012,132424.46
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,FIELDHEAD SURGERY,31/08/2012,31841.54
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,HIGHFIELD SURGERY,31/08/2012,51688.85
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,IWANTSCHAK & PARTNERS,31/08/2012,105172.22
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,KIPPAX HALL SURGERY,31/08/2012,28993.58
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,KIRKSTALL LANE MEDICAL CENTRE,31/08/2012,64011.34
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,LAUREL BANK SURGERY,31/08/2012,70335.24
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,LINGWELL CROFT SURGERY,31/08/2012,98489.94
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,MANOR PARK SURGERY,31/08/2012,107514.55
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,MOORCROFT SURGERY,31/08/2012,35991.42
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,PARK EDGE PRACTICE,31/08/2012,49239.83
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,ROSE BRADY & PARTNERS,31/08/2012,90677.47
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,THE ARTHINGTON MEDICAL CENTRE,31/08/2012,43239.04
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,THE PARTNERS T/A BRAMHAM MEDICAL CENTRE,31/08/2012,27642.47
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,THE STREET LANE PRACTICE,31/08/2012,126632.9
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,THE SURGERY AT NURSERY LANE & ADEL,31/08/2012,59602.99
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,GMS Other,THE WHITFIELD PRACTICE,31/08/2012,43854.09
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,ADAMS RJ & PARTNERS,31/08/2012,136345.75
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,BELLBROOKE SURGERY,31/08/2012,87642.4
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,BURLEY PARK DOCTORS,31/08/2012,91651.16
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,CARE UK CLINICAL SERVICES LTD,31/08/2012,85809.6
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,CHILVERS MCCREA HEALTHCARE PRACTICE,31/08/2012,80344.93
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,CITY VIEW MEDICAL PRACTICE,31/08/2012,67890.19
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,CRAVEN ROAD MEDICAL PRACTICE,31/08/2012,94182.46
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR A V LEE & PARTNERS,31/08/2012,120728.59
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR ALLEN STANLEY & PARTNERS,31/08/2012,62722.98
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR ALLMAN & PARTNERS,31/08/2012,66590.19
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR BURKILL &  & PARTNERS,31/08/2012,86768.65
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR DARBYSHIRE  & PARTNERS,31/08/2012,143618.66
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR DAVIS & TAYLOR,31/08/2012,41213.08
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR G S KHAN & PARTNER,31/08/2012,31405.59
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR G S RANDHAWA & PARTNERS,31/08/2012,32132.83
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR HICKS & PARTNERS,31/08/2012,30846.14
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR HOLMES & PARTNERS,31/08/2012,55193.94
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR HOUGHTON & PARTNERS,31/08/2012,109615.49
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR KA WELCH & PARTNER,31/08/2012,34974
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR LEWIS & PARTNER,31/08/2012,55226.69
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR MATE & PARTNERS,31/08/2012,91471.41
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR MCGRATH  & PARTNERS,31/08/2012,100325.46
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR P J MADDY  & PARTNERS,31/08/2012,50275.9
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR P S LEE & PARTNERS,31/08/2012,89121.38
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR P SHEVLIN & PARTNERS,31/08/2012,29591.39
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR RK POTTS & PARTNERS,31/08/2012,57711.82
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR ROBERTS & PARTNERS,31/08/2012,63066.69
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DR S SHARMA  & PARTNERS,31/08/2012,32506.24
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DRIGHLINGTON MEDICAL CENTRE,31/08/2012,28858.69
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DRS JARVIS ROBINSON & PARTNERS,31/08/2012,54168.92
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DRS KIRKHAM LIU & PARTNERS,31/08/2012,43456.76
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,"DRS MARSHALL, WRIGHT & PARTNERS",31/08/2012,85539.59
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DRS PEARSON & PARTNERS,31/08/2012,50477.2
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DRS ROSS HALL & PARTNERS,31/08/2012,83647.78
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,DRS SHEARD & MILLS & PARTNERS,31/08/2012,55396.11
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,GRANGE MEDICARE LTD,31/08/2012,105384.44
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,H3+,31/08/2012,108540.16
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,HIGHFIELD MEDICAL CENTRE,31/08/2012,41501.7
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,HYDE PARK SURGERY,31/08/2012,76607.23
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,IRELAND WOOD & HORSFORTH MEDICAL PRACTICE,31/08/2012,191152.35
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,LEEDS STUDENT MEDICAL PRACTICE,31/08/2012,201170.06
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,LEIGH VIEW MEDICAL PRACTICE,31/08/2012,114736.64
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,LEODIS HEALTHCARE LTD,31/08/2012,71286
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,MARSH STREET SURGERY,31/08/2012,118941.44
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,NORTH LEEDS MEDICAL PRACTICE,31/08/2012,95580.94
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,NOVA SCOTIA MEDICAL CENTRE,31/08/2012,47558.07
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,OAKLEY MEDICAL PRACTICE,31/08/2012,36060.21
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,OAKWOOD SURGERY ,31/08/2012,34149.73
Department of Health,LEEDS PCT,31/08/2012,Annual Contract,PMS Other,ONE MEDICARE LTD,31/08/2012,81657.56
