Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Environmental Health and Housing,2246,CCTV Transmission,03/11/2016,0000196060,2134.35,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2247,CCTV Transmission,03/11/2016,0000196060,619.65,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Information Technology,3305,Refreshments at Meetings,03/11/2016,0000202131,343.80,Revenue,Abm Catering Limited,13822
Rushmoor Borough Council,Environmental Health and Housing,2206,H&S Course,03/11/2016,0000202132,312.50,Revenue,Abm Catering Limited,13822
Rushmoor Borough Council,Community,6542,Contract Costs,03/11/2016,0000202284,1000.00,Capital,Carrington - Bywayter Ltd,14152
Rushmoor Borough Council,Community,2518,Snap Discos,17/11/2016,0000202835,400.00,Revenue,Piper Music Management Ltd,08419
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,03/11/2016,0000202905,1400.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,7500,Uniform/Confirm Upgrade,03/11/2016,0000202905,400.00,Capital,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,03/11/2016,0000202905,600.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,03/11/2016,0000202905,1600.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Community,2537,Lift Maintenance,24/11/2016,0000202928,507.16,Revenue,Temple Lifts Limited,12997
Rushmoor Borough Council,Community,2556,Car Parks,10/11/2016,0000202994,7280.82,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Highways,10/11/2016,0000202994,65716.86,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Parks,10/11/2016,0000202994,9644.95,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Payment to Contractor,10/11/2016,0000202997,106502.59,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,10/11/2016,0000202997,703.66,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Payment to Contractor,10/11/2016,0000202997,64612.28,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,03/11/2016,0000203166,500.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,03/11/2016,0000203166,1200.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Legal,1202,Disconnection,03/11/2016,0000203307,6104.58,Revenue,Southern Electric Power Distribution Plc,12684
Rushmoor Borough Council,Community,6518,Contract Costs,03/11/2016,0000203319,6487.40,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Democratic Services,1302,Postages,03/11/2016,0000203379,313.28,Revenue,Royal Mail,00821
