Body,Body Name,Transaction No.,Invoice Ref.,Vendor name,Expense Code,Expense Type,Date,Amount,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,459501,37431, AES PUMP LIMITED,C-PM0041-R022,Prince of Wales-Electrical Works,21-Oct-11,"£2,288.27",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,459502,37480, AES PUMP LIMITED,C-PM0041-R022,Prince of Wales-Electrical Works,21-Oct-11,£748.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460019,144350,A&E FIRE EQUIPMENT LTD,C-C22110-1808,Parks & Gardens-RM-Routine works,21-Oct-11,£6.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460006,144314,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,21-Oct-11,£2.82,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460009,144317,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,21-Oct-11,£1.88,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460008,144316,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,21-Oct-11,£9.40,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460010,144319,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,21-Oct-11,£1.88,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460014,144323,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,21-Oct-11,£3.76,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460016,144325,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,21-Oct-11,£2.82,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460018,144327,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,21-Oct-11,£10.34,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460022,144965,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,21-Oct-11,£18.64,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460017,144326,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,21-Oct-11,£6.58,,
