Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Travel & Subsistence,Ferry Ticket Sales,RED FUNNEL,11077975,39900
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Equip Maint Contracts,Radiology General,SHAWBROOK ASSET FINANCE,11122096,27603.43
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Services Received - NHSTs,Purchasing Supplies,PORTSMOUTH HOSPITALS NHS TRUST,11165385,181519.25
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Equip Maint Contracts,Radiology General,NHS SUPPLY CHAIN,11165474,99395.94
Department of Health,Isle Of Wight NHS Trust,30/11/2014,External Consultancy Fees,SB & EP Programme,KPMG LLP,11187397,26939
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Computer Software/License,Ambulance Control,ADVANCED HEALTH & CARE LTD,11267695,25312.79
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Electricity,Utilities,EDF ENERGY 1 LTD,11284269,62531.04
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Provisions,Catering,3663,11307265,26531.82
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Computer Maintenance,Ambulance Headquarters,VALENTIA TECHNOLOGIES (UK) LTD,11320401,31875
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Lab Equip Maint Contracts,Biochemistry,BECKMAN COULTER UK LTD,11333753,34391.49
Department of Health,Isle Of Wight NHS Trust,30/11/2014,FP10S,Pharmacy,NHS BUSINESS SERVICES AUTHORITY,11349907,37940.92
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Continence Products,Continence Service,PAUL HARTMANN LTD,11404727,64508.47
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Current Investmnts - Cash,Balance Sheet,,SSC NLF INVESTMENT,26000000
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Non NHS Payables,Balance Sheet,,SSC PHONE CONTRACT,59030
Department of Health,Isle Of Wight NHS Trust,30/11/2014,Contr Other External,DOF Management Team,,NHS SLA,31509.29
Department of Health,Isle Of Wight NHS Trust,30/11/2014,CNST contributions,Trust Insurance,,SSC LA,269545.6
