Sent for Payment Date,Approved Amount (rpt),Category Level 1
25/04/2017,500.00,"Advertising, Marketing & Media"
25/04/2017,500.00,"Advertising, Marketing & Media"
01/04/2017,513.53,"Travel, venue hire and exhibition services"
01/04/2017,520.93,IT & Telecoms
07/04/2017,532.64,IT & Telecoms
07/04/2017,533.95,"Travel, venue hire and exhibition services"
25/04/2017,542.13,"Travel, venue hire and exhibition services"
19/04/2017,557.31,Facilities
11/04/2017,558.23,Human Resources
18/04/2017,566.68,"Travel, venue hire and exhibition services"
07/04/2017,633.60,IT & Telecoms
27/04/2017,635.63,"Travel, venue hire and exhibition services"
27/04/2017,641.55,"Travel, venue hire and exhibition services"
03/04/2017,718.95,"Travel, venue hire and exhibition services"
02/04/2017,719.44,"Travel, venue hire and exhibition services"
27/04/2017,757.93,"Travel, venue hire and exhibition services"
01/04/2017,758.23,IT & Telecoms
28/04/2017,775.71,"Travel, venue hire and exhibition services"
26/04/2017,777.13,"Travel, venue hire and exhibition services"
10/04/2017,789.55,"Travel, venue hire and exhibition services"
28/04/2017,817.50,IT & Telecoms
27/04/2017,849.55,"Travel, venue hire and exhibition services"
28/04/2017,849.97,"Travel, venue hire and exhibition services"
05/04/2017,941.99,"Advertising, Marketing & Media"
25/04/2017,"1,000.00","Advertising, Marketing & Media"
20/04/2017,"1,007.50","Travel, venue hire and exhibition services"
25/04/2017,"1,128.24","Travel, venue hire and exhibition services"
10/04/2017,"1,154.11",Facilities
03/04/2017,"1,165.62",IT & Telecoms
27/04/2017,"1,200.00","Advertising, Marketing & Media"
24/04/2017,"1,206.16","Travel, venue hire and exhibition services"
03/04/2017,"1,264.00",IT & Telecoms
04/04/2017,"1,301.29",IT & Telecoms
28/04/2017,"1,423.25","Travel, venue hire and exhibition services"
13/04/2017,"1,566.38","Travel, venue hire and exhibition services"
28/04/2017,"1,569.94","Travel, venue hire and exhibition services"
20/04/2017,"2,340.00",Human Resources
12/04/2017,"2,441.03","Travel, venue hire and exhibition services"
