Body,Body Name,Transaction No.,Invoice Ref.,Vendor Name,Expense Code,Expense Type,Date,Amount,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,469790,39726, AES PUMP LIMITED,C-PM0040-R041,Recreation Cent-Floor Repairs,31-Mar-12," £1,535.00",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,469819,39773, AES PUMP LIMITED,C-PM0040-R041,Recreation Cent-Floor Repairs,31-Mar-12," £2,982.00",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,468414,19022,A & L WARING,C-C22120-3110,Spts/Open Space-Materials,17-Mar-12," £2,600.00",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,468712,1112-019,A P DELL,C-1T21K1-3151,Brendan Cole-Specialist Equipment,17-Mar-12, £130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,468712,1112-019,A P DELL,C-1T24K1-3151,The Soldiers-Specialist Equipment,17-Mar-12, £130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,468712,1112-019,A P DELL,C-1T70L0-3151,Folk Festival-Specialist Equipment,17-Mar-12, £140.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,468712,1112-019,A P DELL,C-1T70L0-3151,Folk Festival-Specialist Equipment,17-Mar-12, £140.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,468712,1112-019,A P DELL,C-1T70L0-3151,Folk Festival-Specialist Equipment,17-Mar-12, £140.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,468704,DANCE MUSIC,A SOCCI,C-1T31M1-3568,Spring Ball-Artist Fees         ,17-Mar-12, £650.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,468899,2142,A&E FIRE EQUIPMENT LTD,C-L21100-1808,Town Hall-RM-Routine works,24-Mar-12,-£87.18,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,468900,147063,A&E FIRE EQUIPMENT LTD,C-L21100-1808,Town Hall-RM-Routine works,24-Mar-12, £720.12,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,469533,147732,A&E FIRE EQUIPMENT LTD,C-C22120-1801,Sports & Open S-RM-Electrical repairs,31-Mar-12, £2.82,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,469520,147712,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,31-Mar-12, £10.34,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,469532,147731,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,31-Mar-12, £9.40,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,469531,147730,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,31-Mar-12, £9.40,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,469530,147728,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,31-Mar-12, £1.88,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,469523,147715,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,31-Mar-12, £43.74,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,469524,147716,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,31-Mar-12, £10.34,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,469525,147718,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,31-Mar-12, £43.74,,
