Unique Reference Number,Transaction Date,Merchant Category Code Description,Location,Merchant Category Group Description,Amount,Supplier
FCOGPC2016030001,01/03/2016,TRAVEL,BRA,Airline,506.94,AIRLINE
FCOGPC2016030002,01/03/2016,LIMOUSINES AND TAXICABS,GBR,Travel - Air/Rail/Road,524.42,PRESTIGE CHAUFFEUR SER
FCOGPC2016030003,01/03/2016,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Statutory Bodies,525.68,FCO SERVICES
FCOGPC2016030004,01/03/2016,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,PER,Telecommunication Services,532.5,ENTEL
FCOGPC2016030005,01/03/2016,"BUILDING MATERIALS, LUMBER STORES",ROM,Building Materials,542.51,SC F&F SERVICE DE CALI
FCOGPC2016030006,01/03/2016,ELECTRICAL PARTS AND EQUIPMENT,GRC,Building Materials,543.84,P.I.E.P.S MON EPE
FCOGPC2016030007,01/03/2016,ELECTRICAL PARTS AND EQUIPMENT,KEN,Building Materials,544.32,CREATIVE INNOVATNS WLN
FCOGPC2016030008,01/03/2016,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,PER,Telecommunication Services,554.13,ENTEL
FCOGPC2016030009,01/03/2016,TRAVEL,SAU,Airline,559.87,AIRLINE
FCOGPC2016030010,01/03/2016,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",AUT,Catering and Catering Supplies,565.57,METRO 1110
FCOGPC2016030011,01/03/2016,TENT AND AWNING SHOPS,NZL,General Retail and Wholesale,591.22,HERCULES STORE
FCOGPC2016030012,01/03/2016,"EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL",PHL,Miscellaneous Industrial/Commercial Supplies,593.48,NEW TENT WORLD SERVICE
FCOGPC2016030013,01/03/2016,"EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL",PHL,Miscellaneous Industrial/Commercial Supplies,593.48,NEW TENT WORLD SERVICE
FCOGPC2016030014,01/03/2016,ELECTRONIC SALES,USA,General Retail and Wholesale,597.41,BESTBUYCOM
FCOGPC2016030015,01/03/2016,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,GBR,Mail Order / Direct Selling,609,DESIGNER GUILD
FCOGPC2016030016,01/03/2016,"ROOFING AND SIDING, SHEET METAL WORK CONTRACTORS",UGA,Building Services,630.6,HARDWARE WORLD-NTINDA
FCOGPC2016030017,01/03/2016,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",PAK,"Vehicles, servicing and spares",631.53,SPINZER MOTOR STORE
FCOGPC2016030018,01/03/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",ZMB,Utilities and Non Automotive Fuel,641.97,ZESCO MANDA HIL
FCOGPC2016030019,01/03/2016,HOTELS/MOTELS/RESORTS ,JAM,Hotels,655.68,ACCOMODATION PROVIDER
FCOGPC2016030020,01/03/2016,MISCELLANEOUS PUBLISHING AND PRINTING,GBR,Print and advertising,659.93,G4S SECURE
FCOGPC2016030021,01/03/2016,ELECTRONIC SALES,RUS,General Retail and Wholesale,661.57,BOLSHEVIKOV
FCOGPC2016030022,01/03/2016,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",LTU,Computer Equipment & Services,678.52,SKAITMENINIS PASAULIS
FCOGPC2016030023,01/03/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,USA,Miscellaneous Industrial/Commercial Supplies,680.47,REALSCREEN REALSCREEN
FCOGPC2016030024,01/03/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,USA,Miscellaneous Industrial/Commercial Supplies,680.47,REALSCREEN REALSCREEN
FCOGPC2016030025,01/03/2016,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,FIN,General Retail and Wholesale,694.13,APOLLO KAIHDIN JA MARK
FCOGPC2016030026,01/03/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,FIN,Miscellaneous Industrial/Commercial Supplies,710.68,IZ SAHKO-HAKALA O
FCOGPC2016030027,01/03/2016,"PACKAGE STORES, BEER, WINE, LIQUOR",DEU,General Retail and Wholesale,716.13,WEINGUT HÖFFLIN
FCOGPC2016030028,01/03/2016,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",IND,"Vehicles, servicing and spares",737.41,S C FORD
FCOGPC2016030029,01/03/2016,"EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL",PHL,Miscellaneous Industrial/Commercial Supplies,742.18,NEW TENT WORLD SERVICE
FCOGPC2016030030,01/03/2016,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GBR,General Retail and Wholesale,756.7,S & P EQUIPMENT
FCOGPC2016030031,01/03/2016,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",USA,Clubs/Associations/Organisations,757.71,BIONJ
FCOGPC2016030032,01/03/2016,COMPUTER SOFTWARE STORES,ARE,Computer Equipment & Services,757.76,MIND FORCE ELECTRONICS
FCOGPC2016030033,01/03/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,GBR,Training and Educational,762,THE HEIGHTEC GROUP
FCOGPC2016030034,01/03/2016,MISCELLANEOUS PUBLISHING AND PRINTING,PHL,Print and advertising,778.45,JMM PRINTING SERVICES
FCOGPC2016030035,01/03/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",HRV,Utilities and Non Automotive Fuel,794.31,FINA 30101 ZAGREB
