Breakdown, Level,Level Description,3.11 Percentage,3.11 Denominator,3.11 Numerator,3.12 Percentage,3.12 Denominator,3.12 Numerator,3.13 Percentage,3.13 Denominator,3.13 Numerator,3.5i Percentage,3.5i Denominator,3.5i Numerator,3.5ii Percentage,3.5ii Denominator,3.5ii Numerator,Best practice Percentage,Best practice Denominator,Best Practice Numerator,Mortality Percentage,Mortality Denominator,Pressure ulcer percentage,Pressure ulcer Denominator
National,National,England,93.6," 56,377 "," 52,744 ",74.9," 54,956 "," 41,145 ",96.9," 50,987 "," 49,419 ",24,"9,880","2,375",50.3,"7,172","3,609",61.9,"56,301","34,852",8,"57,201",3,"52,887"
CCG,00C,NHS Darlington CCG,98.4, 124 , 122 ,72.0, 125 , 90 ,98.3, 117 , 115 ,20, * , * ,0, * , * ,57.3,131,75,7.9,126,0,117
CCG,00D,"NHS Durham Dales, Easington and Sedgefield CCG",96.2, 315 , 303 ,70.3, 317 , 223 ,96.5, 284 , 274 ,16.1,56,9,50,16,8,52.9,329,174,11.8,321,1.1, * 
CCG,00F,NHS Gateshead CCG,95.6, 226 , 216 ,89.0, 227 , 202 ,100.0, 196 , 196 ,23,61,14,30.2,63,19,75.8,256,194,14.8,230,12.7,197
CCG,00G,NHS Newcastle North and East CCG,97.5, 118 , 115 ,84.0, 119 , 100 ,100.0, 112 , 112 ,20.5,44,9,50, * , * ,73.9,134,99,6.5,123,12.3,114
CCG,00H,NHS Newcastle West CCG,92.2, 128 , 118 ,75.8, 128 , 97 ,100.0, 115 , 115 ,5.9, * , * ,100, * , * ,72,143,103,7.7,130,14.7,116
CCG,00J,NHS North Durham CCG,95.8, 285 , 273 ,67.0, 285 , 191 ,96.5, 260 , 251 ,22.9,48,11,33.3, * , * ,48.7,279,136,9.8,286,3.1,260
CCG,00K,NHS Hartlepool and Stockton-On-Tees CCG,99.4, 354 , 352 ,78.1, 356 , 278 ,100.0, 338 , 338 ,28.9,76,22,50,72,36,70.9,344,244,3.7,356,11.5,338
CCG,00L,NHS Northumberland CCG,96.9, 418 , 405 ,89.3, 421 , 376 ,98.7, 382 , 377 ,19,126,24,0, * , * ,87.2,422,368,8.2,426,1.8,382
CCG,00M,NHS South Tees CCG,98.5, 328 , 323 ,79.8, 332 , 265 ,99.4, 314 , 312 ,0,13, -   ,0, -   , -   ,75.3,320,241,6,336,2.9,314
CCG,00N,NHS South Tyneside CCG,98.5, 206 , 203 ,70.6, 204 , 144 ,100.0, 181 , 181 ,33.3, * , * ,50, * , * ,59.3,199,118,8.9,213,1.1, * 
CCG,00P,NHS Sunderland CCG,96.7, 304 , 294 ,76.3, 299 , 228 ,99.6, 268 , 267 ,16.3,49,8,51.6,62,32,66.3,350,232,11.9,312,4.8,272
CCG,00Q,NHS Blackburn With Darwen CCG,100.0, 137 , 137 ,73.9, 138 , 102 ,100.0, 120 , 120 ,15.9,69,11,30,60,18,72.4,134,97,12.3,138,0.8,120
CCG,00R,NHS Blackpool CCG,93.9, 163 , 153 ,61.0, 164 , 100 ,99.3, 152 , 151 ,33.3, * , * ,66.7, * , * ,37.9,177,67,6.7,164,1.3, * 
CCG,00T,NHS Bolton CCG,82.6, 236 , 195 ,55.4, 242 , 134 ,88.4, 216 , 191 ,18.4,76,14,42.2,45,19,41.7,264,110,12.3,244,1.4, * 
CCG,00V,NHS Bury CCG,93.9, 164 , 154 ,60.7, 163 , 99 ,94.1, 153 , 144 ,6.9, * , * ,20, * , * ,43.6,163,71,7.9,165,3.9,154
CCG,00W,NHS Central Manchester CCG,95.8, 71 , 68 ,74.3, 70 , 52 ,100.0, 63 , 63 ,40, * , * ,50,16,8,69,84,58,10.7,75,6.3, * 
CCG,00X,NHS Chorley and South Ribble CCG,98.6, 148 , 146 ,69.4, 134 , 93 ,100.0, 125 , 125 ,33.3,45,15,47.2,36,17,19,174,33,6,149,1.5, * 
CCG,00Y,NHS Oldham CCG,93.8, 178 , 167 ,54.4, 182 , 99 ,96.2, 156 , 150 ,0, * , * ,0, * , * ,42.2,225,95,11.5,182,3.2, * 
CCG,01A,NHS East Lancashire CCG,99.4, 343 , 341 ,77.0, 343 , 264 ,99.4, 312 , 310 ,13.6,125,17,30.8,104,32,76,354,269,10.1,348,0.6, * 
CCG,01C,NHS Eastern Cheshire CCG,98.4, 249 , 245 ,68.8, 253 , 174 ,99.6, 230 , 229 ,27.8, * , * ,50, * , * ,55.8,258,144,7,258,0.4,232
CCG,01D,"NHS Heywood, Middleton and Rochdale CCG",91.6, 178 , 163 ,63.3, 180 , 114 ,93.4, 167 , 156 ,5.6, * , * ,0, * , * ,50.8,199,101,7.2,181,4.2,167
CCG,01E,NHS Greater Preston CCG,98.3, 179 , 176 ,68.5, 178 , 122 ,99.4, 159 , 158 ,25.4,67,17,57.1,49,28,13.2,205,27,9.3,182,1.9, * 
CCG,01F,NHS Halton CCG,93.5, 139 , 130 ,80.4, 138 , 111 ,97.7, 133 , 130 ,5.6, * , * ,31.8,22,7,52.4,143,75,6.4,141,3.7,136
CCG,01G,NHS Salford CCG,95.5, 245 , 234 ,69.8, 245 , 171 ,97.8, 224 , 219 ,16.7, * , * ,62.5, * , * ,62.3,239,149,8.3,252,5.2,229
CCG,01H,NHS Cumbria CCG,45.2, 598 , 270 ,70.0, 590 , 413 ,50.5, 549 , 277 ,14.6,185,27,100, * , * ,29.5,597,176,8.2,611,3.6,561
CCG,01J,NHS Knowsley CCG,93.1, 159 , 148 ,87.1, 155 , 135 ,97.9, 142 , 139 ,16.7, * , * ,14.3, * , * ,66.3,178,118,10.4,163,2.1, * 
CCG,01K,NHS Lancashire North CCG,97.5, 159 , 155 ,70.1, 164 , 115 ,99.3, 148 , 147 ,25, * , * ,0, * , * ,39.5,162,64,9.2,163,3.4,148
CCG,01M,NHS North Manchester CCG,90.3, 145 , 131 ,60.1, 143 , 86 ,93.3, 135 , 126 ,0,19, -   ,57.1, * , * ,38,150,57,6,151,4.3,138
CCG,01N,NHS South Manchester CCG,97.5, 118 , 115 ,80.9, 110 , 89 ,100.0, 99 , 99 ,9.1, * , * ,66.7,9,6,70.6,119,84,5.9,119,1, * 
CCG,01R,NHS South Cheshire CCG,83.9, 186 , 156 ,68.1, 185 , 126 ,89.5, 172 , 154 ,50, * , * ,0, -   , -   ,27.1,192,52,7.9,191,7.3,177
CCG,01T,NHS South Sefton CCG,90.4, 178 , 161 ,87.0, 177 , 154 ,98.8, 168 , 166 ,50, * , * ,100, * , * ,68.8,176,121,6,183,0,170
