Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount,Text,Postcode
Department for Transport,Department for Transport,01/09/2011,Agents Fees,Domestic DG's Office,DD ACCRAILWAY PENS TRUSTEE,2000011376,"-3,837.15",Credit,DL3 6XR
Department for Transport,Department for Transport,01/09/2011,Agents Fees,Domestic DG's Office,DD ACCRAILWAY PENS TRUSTEE,2000011376,"3,088.86",Pension Payments to Former Employees,DL3 6XR
Department for Transport,Department for Transport,01/09/2011,Agents Fees,Domestic DG's Office,DD ACCRAILWAY PENS TRUSTEE,2000011376,"3,387.44",Pension Payments,DL3 6XR
Department for Transport,Department for Transport,01/09/2011,Agents Fees,Domestic DG's Office,DD ACCRAILWAY PENS TRUSTEE,2000011376,899.72,Pension Payments,DL3 6XR
Department for Transport,Department for Transport,01/09/2011,Agents Fees,Domestic DG's Office,RAILWAYS PENSION MANAGEMENT LT,2000011377,"1,250,000.00",government support,DL3 6EH
Department for Transport,Department for Transport,01/09/2011,Books,Rail and Road Projects,SHOOSMITHS LTD,2000011380,585,Disbursements,NN4 7SH
Department for Transport,Department for Transport,01/09/2011,Building Service Charges,Rail Accident Investigation Branch,INNES ENGLAND LTD,2000011369,"6,000.00",Service charge 29.9 - 24.12.11,DE1 1BT
Department for Transport,Department for Transport,01/09/2011,Computer Consumables,Aviation,SUPPLIES TEAM,2000011363,841.93,,S9 1XU
Department for Transport,Department for Transport,01/09/2011,Contract Cleaning,Marine Accident Investigation Branch,PROGRESS CLEANING SERVICES,2000011362,702,"MAIB Office Cleaning, 4 weeks to 26.8.11",SO14 6GH
Department for Transport,Department for Transport,01/09/2011,Contract Cleaning,Rail Accident Investigation Branch,OFFICE CARE LTD,2000011382,"1,279.75",Daily Cleaning 1/8-31/08 RAIB,DE24 8AN
Department for Transport,Department for Transport,01/09/2011,Curr Grant to Priv Sect-Persons & NPISH,Rail and Road Projects,NETWORK RAIL INFRASTUCTURE LTD,2000011378,"58,000.00",0612 NR Infras Grant 1/09/11 NR Infras  - NETWORK,N1 9AG
Department for Transport,Department for Transport,01/09/2011,Legal Consultancy,Commercial & Technical Services,EVERSHEDS LLP,2000011368,"4,338.96",4/7-29/7,LS11 5DR
Department for Transport,Department for Transport,01/09/2011,Legal Consultancy,Rail and Road Projects,SHOOSMITHS LTD,2000011380,"5,222.50",09.02.10-10.06.2011  Professional fees,NN4 7SH
Department for Transport,Department for Transport,01/09/2011,Management Consultancy,Local,THE INSTITUTION OF HIGHWAYS,2000011370,"17,791.00",road liaison group Q1 2011,N1 7JE
Department for Transport,Department for Transport,01/09/2011,Postage,DASH,ROYAL MAIL,2000011373,"3,945.59",Royal Mail Large Response,PE4 5PG
Department for Transport,Department for Transport,01/09/2011,Publicity,Roads,CENTRAL OFFICE OF INFORMATION,2000011364,"1,859.98",radio media june,SE1 7DU
Department for Transport,Department for Transport,01/09/2011,Research,Roads,TRANSPORT RESEARCH LABORATORY,2000011374,"3,180.00",Police Fatal Accidents Phase 6a,RG40 3GA
Department for Transport,Department for Transport,01/09/2011,Subsidies to Private Sector,Local,LONDON CENTRAL BUS CO LTD,2000011360,"262,045.41",LONDON CENTRAL BUS COMPANY LTD,SW19 1DN
Department for Transport,Department for Transport,01/09/2011,Support Services,Local,NATIONWIDE DATA COLLECTION MIDLANDS,2000011381,"54,801.00",2011Survey Invoice 2,CV35 7LS
Department for Transport,Department for Transport,01/09/2011,Team Away Days,Aviation,DEVERE VENUES,2000011367,"13,920.00",DEVERE VENUE - AD INTERNAL MTG,RG12 1BW
Department for Transport,Department for Transport,01/09/2011,Training,Local,THE NATIONAL AUTISTIC SOCIETY,2000011383,"1,194.96",training day 08.07.2011,N1 2HY
Department for Transport,Department for Transport,01/09/2011,Transport Consultancy,Rail and Road Projects,JACOBS ENGINEERING U.K. LTD,2000011371,"80,426.51",Crossrail Project Representative Period to 31Aug11,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Building Service Charges,Business Transformation,AMEY BUSINESS SERVICES LTD,2000011436,859.32,Amey Variables 55VS July 11,OX4 4DQ
Department for Transport,Department for Transport,02/09/2011,Building Service Charges,Business Transformation,AMEY BUSINESS SERVICES LTD,2000011436,"37,373.66",Amey fixed Aug 11,OX4 4DQ
Department for Transport,Department for Transport,02/09/2011,Building Service Charges,Business Transformation,AMEY BUSINESS SERVICES LTD,2000011436,"31,059.42",Amey fixed Aug 11 Southside,OX4 4DQ
Department for Transport,Department for Transport,02/09/2011,Building Service Charges,Business Transformation,AMEY BUSINESS SERVICES LTD,2000011436,"256,090.66",Amey GMH fixed costs Aug 11,OX4 4DQ
Department for Transport,Department for Transport,02/09/2011,Building Service Charges,Business Transformation,AMEY BUSINESS SERVICES LTD,2000011436,"3,016.86",Amey variables 55VS June 11,OX4 4DQ
Department for Transport,Department for Transport,02/09/2011,Building Service Charges,Business Transformation,AMEY BUSINESS SERVICES LTD,2000011436,"104,675.31",Amey Variables GMH July 11,OX4 4DQ
Department for Transport,Department for Transport,02/09/2011,Building Service Charges,Business Transformation,AMEY BUSINESS SERVICES LTD,2000011436,"131,026.51",Amey Variables GMH June 11,OX4 4DQ
Department for Transport,Department for Transport,02/09/2011,Eurotunnel Admin Payment,Rail Commercial Contracts,EUROTUNNEL,2000011438,"4,617,686.66",OPEX AND USAGE CHARGES FOR AUG 2011,CT18 8XY
