Table 7.4. Total Bilateral ODA by UK Government Department and Region (Asia) 2012,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,£ thousands
,Department for International Development,CDC ,Foreign & Commonwealth Office,Department of Energy and Climate Change,Export Credit Guarantee Department,Home Office,Department for Environment Food and Rural Affairs,Ministry of Defence,Department for Work and Pensions,Department of Health,"Department for Business, Innovation and Skills","Department for Culture, Media and Sports",Scottish Government,Welsh Government,Others ³
,,,,,,,,,,,,,,,
Asia: Middle East,,,,,,,,,,,,,,,
Iran,-,-,735,-,-,-,-,-,-,-,-,-,-,-,-
Iraq, 1 020 ,-, 3 982 ,-,-,-,-,-,-,-,-,-,574,-, 1 297 
Jordan,389,-, 4 235 ,-,-,-,-,-,-,-,-,-,-,-,125
Lebanon,-,-, 2 395 ,-,-,-,-,-,-,-,-,-,-,-, 1 932 
Oman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Syria, 36 465 ,-, 1 989 ,-,-,-,-,-,-,-,-,-,100,-,994
West Bank & Gaza Strip, 35 311 ,-, 6 122 ,-,-,-,-,-,-,-,-,-,-,-, 1 451 
Yemen¹, 37 683 ,-, 1 275 ,-,-,-,-,-,-,-,-,-,-,-,597
"Middle East, Regional", 32 397 ,-,13,-,-,-,-,-,-,-,-,-,-,-,63
Total Middle East, 143 264 ,-, 20 746 ,-,-,-,-,-,-,-,-,-,674,-, 6 458 
,,,,,,,,,,,,,,,
Afghanistan¹, 181 375 ,0, 19 058 ,-,-,-,-,-,-,-,-,-,-,-, 73 369 
Bangladesh¹, 189 513 , 2 639 , 3 744 ,-,-,-,-,-,-,-,-,-,224,-,-
Bhutan,-,0,7,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar (Burma)¹, 28 889 ,0, 1 302 ,-,-,-,132,-,-,-,-,-,-,-,1
India, 203 762 , 72 928 , 13 071 ,-,-,-,140,-,-,-,821,-,639,-,703
Maldives,-,0,31,-,-,-,60,-,-,-,-,-,-,-,130
Nepal¹, 66 680 ,0, 2 541 ,-,-,-,93,-,-,-,-,-,-,-,188
Pakistan, 170 797 ,839, 8 273 ,-,-,-,-,-,-,-,-,223,608,-, 8 478 
Sri Lanka, 1 040 ,0, 2 629 ,-,-,-,-,-,-,-,-,-,393,-, 1 398 
"South Asia, Regional",367,0,694,-,-,-,79,-,-,-,106,-,-,-,-
"South & Central Asia, regional",-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Total South Asia, 842 424 , 76 406 , 51 350 ,-,-,-,504,-,-,-,927,223, 1 864 ,-, 84 269 
,,,,,,,,,,,,,,,
Cambodia¹, 13 761 ,143,670,-,-,-,-,-,-,-,-,-,-,-,-
China,-747, 4 889 , 22 543 ,-,-,-,-,-,-,-,549,-,-,-,-
East Timor,-,-,131,-,-,-,-,-,-,-,-,-,-,-,-
Indonesia, 7 745 ,- 5 731 , 3 601 ,-,-,-,125,-,-,-,162,334,-,-,-
"Korea, Dem. Rep.",0,0,756,-,-,-,0,-,-,-,-,-,-,-,-
Laos¹,919,0,11,-,-,-,-,-,-,-,-,-,-,-,-
Malaysia,0, 4 004 , 2 088 ,-,-,-,46,-,-,-,247,-,-,-,104
Mongolia,477, 2 069 ,322,-,-,-,65,-,-,-,-,-,-,-,-
Philippines,0,-383, 2 000 ,-,-,-,47,-,-,-,-,-,-,-,17
Thailand,0,- 15 231 , 1 834 ,-,-,-,-,-,-,-,-,-,-,-,-
Vietnam, 47 158 , 1 377 , 3 036 ,-,-,-,93,-,-,-,-,-,-,-,-
"Far East Asia, regional",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Far East Asia, 69 313 ,- 8 863 , 36 994 ,-,-,-,376,-,-,-,958,334,-,-,121
,,,,,,,,,,,,,,,
Kazakhstan,-,901, 2 351 ,-,-,-,-,-,-,-,-,-,-,-,40
Kyrgyz Republic¹, 3 157 ,-,505,-,-,-,74,-,-,-,-,-,-,-,310
Tajikistan¹, 8 532 ,-,78,-,-,-,3,-,-,-,-,-,-,-,15
Turkmenistan,-,-,416,-,-,-,-,-,-,-,-,-,-,-,-
Uzbekistan,-,-, 1 636 ,-,-,-,-,-,-,-,-,-,-,-,-
"Central Asia, Regional",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Central Asian Republics, 11 689 ,901, 4 985 ,-,-,-,77,-,-,-,-,-,-,-,365
"Asia, Regional", 13 654 , 3 657 ,511,-,-,-,90,-,-,-,-,-,301,-, 1 753 
TOTAL ASIA,1 080 344 , 72 101 , 114 586 ,-,-,-, 1 047 ,-,-,-, 1 885 ,557, 2 839 ,-, 92 966 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1. Low Income Country.  Income groups are classified using 2012 GNI per capita thresholds.,,,,,,,,,,,,,,,
"2. South Sudan expenditure information reported in 2011/12 for the first time, following independence in 2011.",,,,,,,,,,,,,,,
"3. This includes Colonial Pensions, Conflict Pool and Gift-Aid.",,,,,,,,,,,,,,,
