2014-2015 Group and Area Rape Crime Prosecutions,Convictions Volume,Convictions Percentage,Unsuccessful Volume,Unsuccessful Percentage,Total Prosecutions
Avon & Somerset,86,54.80%,71,45.20%,157
Bedfordshire,20,55.60%,16,44.40%,36
British Transport Police,0,0.00%,1,100.00%,1
Cambridgeshire,36,69.20%,16,30.80%,52
Cheshire,26,70.30%,11,29.70%,37
City of London Police,2,40.00%,3,60.00%,5
Cleveland,23,47.90%,25,52.10%,48
Cumbria,29,80.60%,7,19.40%,36
Derbyshire,50,69.40%,22,30.60%,72
Devon & Cornwall,59,60.20%,39,39.80%,98
Dorset,15,45.50%,18,54.50%,33
Durham,30,51.70%,28,48.30%,58
Dyfed-Powys,13,48.10%,14,51.90%,27
Essex,54,48.60%,57,51.40%,111
Gloucestershire,22,64.70%,12,35.30%,34
Greater Manchester,168,48.30%,180,51.70%,348
Gwent,32,68.10%,15,31.90%,47
Hampshire,50,38.50%,80,61.50%,130
Hertfordshire,26,47.30%,29,52.70%,55
Humberside,64,61.50%,40,38.50%,104
Kent,81,59.60%,55,40.40%,136
Lancashire,100,57.10%,75,42.90%,175
Leicestershire,32,64.00%,18,36.00%,50
Lincolnshire,24,72.70%,9,27.30%,33
Merseyside,68,66.00%,35,34.00%,103
Metropolitan Police,398,49.40%,407,50.60%,805
Norfolk,40,69.00%,18,31.00%,58
Northamptonshire,29,69.00%,13,31.00%,42
Northumbria,55,50.90%,53,49.10%,108
North Wales,47,50.50%,46,49.50%,93
North Yorkshire,31,62.00%,19,38.00%,50
Nottinghamshire,52,69.30%,23,30.70%,75
South Wales,59,53.60%,51,46.40%,110
South Yorkshire,71,62.30%,43,37.70%,114
Staffordshire,33,58.90%,23,41.10%,56
Suffolk,33,78.60%,9,21.40%,42
Surrey,28,57.10%,21,42.90%,49
Sussex,78,54.50%,65,45.50%,143
Thames Valley,112,62.90%,66,37.10%,178
Warwickshire,27,71.10%,11,28.90%,38
West Mercia,63,65.60%,33,34.40%,96
West Midlands,140,67.00%,69,33.00%,209
West Yorkshire,150,66.40%,76,33.60%,226
Wiltshire,25,43.10%,33,56.90%,58
Total,2581,56.90%,1955,43.10%,4536
