A3131. Expenditure Over Threshold Report (AP),,,,,,,
,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Blood Products,HAEM + BLOOD TRANSFUSION,NHS BLOOD & TRANSPLANT,18918161,"103,917.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,CNST contributions,CLINICAL NEGLIGENCE,,SSC NHSLA CNST,"518,946.00 "
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Computer Hardware Purch,HIS programme costs - shared services,EUROPEAN ELECTRONIQUE LTD,18798418,"216,439.13"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Computer Maintenance,HIS programme costs - shared services,CCUBE SOLUTIONS LTD,18683593,"66,706.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Equip Maint Contracts,RADIOGRAPHY WHISTON,NHS SUPPLY CHAIN,18891812,"92,664.97"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,External Consultancy Fees,FINANCE DIRECTORATE HQ,PA CONSULTING SERVICES LTD,18999175,"34,770.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Laboratory Equipment,SOHT Blood Sciences,WERFEN LTD,18859313,"35,513.41"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Laboratory External Tests,MICROBIOLOGY DEPT,PUBLIC HEALTH ENGLAND,18698892,"66,775.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Laboratory Test Kits,SOHT Blood Sciences,CHRYSTAL CONSULTING LTD,18669246,"21,918.11"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Laboratory Test Kits,CHEMICAL PATHOLOGY DEPT,SIEMENS HEALTHCARE DIAGNOSTICS LTD,18700753,"86,864.83"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Laboratory Test Kits,HAEM + BLOOD TRANSFUSION,SYSMEX UK LTD,18749452,"26,087.57"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Med & Surg Maint Contract,GEN MED ENDOSCOPY H2,NHS SUPPLY CHAIN,18851215,"279,251.58"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Miscellaneous Expenditure,PFI ENABLING WORKS,NEW HOSPITALS (ST HELENS & KNOWSLEY) LTD,18700772,"770,879.36"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Miscellaneous Expenditure,HSDU WHISTON,SYNERGY HEALTH (UK) LTD,18735668,"156,607.39"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Miscellaneous Expenditure,Pathology Southport & Ormskirk,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,18783183,"30,271.12"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Miscellaneous Expenditure,PFI UNITARY PAYMENT,NEW HOSPITALS (ST HELENS & KNOWSLEY) LTD,18784787,"11,624,028.97"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Miscellaneous Expenditure,HSDU WHISTON,SYNERGY HEALTH (UK) LTD,18998208,"39,017.06"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Various supplies,Various departments,NHS SUPPLY CHAIN,18711556,"142,073.18"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Various supplies,Various departments,NHS SUPPLY CHAIN,18754760,"98,138.90"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Various supplies,Various departments,NHS SUPPLY CHAIN,18918150,"152,458.59"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Various supplies,Various departments,NHS SUPPLY CHAIN,18977584,"142,908.63"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Provisions,HIS programme costs - shared services,CIS ONCOLOGY LTD,18883100,"27,165.35"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Rates,RATES/WATER ST HELENS,ST HELENS COUNCIL,18668533,"65,604.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Rates,RATES/WATER ST HELENS,ST HELENS COUNCIL,18947480,"65,604.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Rates,RATES/WATER WHISTON,KNOWSLEY METROPOLITAN BOROUGH COUNCIL,18977582,"193,498.02"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Services Received - NHSTs,VASCULAR SURGERY MEDICAL STAFF,ROYAL LIVERPOOL&BROADGREEN UNIVERSITY HOSPITALS NHS TRUST (THE),18711529,"158,000.00"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Services Received - NHSTs,CHEMICAL PATHOLOGY DEPT,ROYAL LIVERPOOL&BROADGREEN UNIVERSITY HOSPITALS NHS TRUST (THE),18890509,"3,703.21"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Services Received - NHSTs,GYNAE CYTOLOGY,ROYAL LIVERPOOL&BROADGREEN UNIVERSITY HOSPITALS NHS TRUST (THE),18890509,25.09
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Services Received - NHSTs,HAEM + BLOOD TRANSFUSION,ROYAL LIVERPOOL&BROADGREEN UNIVERSITY HOSPITALS NHS TRUST (THE),18890509,"7,649.51"
Department of Health,St. Helens&Knowsley Hospitals NHS Trust,31/05/2016,Services Received - NHSTs,HISTOPATHOLOGY/MORTUARY,ROYAL LIVERPOOL&BROADGREEN UNIVERSITY HOSPITALS NHS TRUST (THE),18890509,"3,527.71"
