Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction,Amount,
HMRC,VOA,02/09/2015,IT services,Corporate,UNIFY ENTERPRISE,5100002686,"-£37,920.00",
HMRC,VOA,02/09/2015,Copier Charges,Corporate,XEROX (UK) LTD,5100002690,"-£62,489.25",
HMRC,VOA,02/09/2015,Accommodation charges,Corporate,DWP,5100002694,"-£86,458.67",
HMRC,VOA,03/09/2015,IT furniture,Corporate,Senator International Ltd,5100002733,"-£32,162.86",
HMRC,VOA,04/09/2015,IT services,Corporate,Risual Limited,1900015135,"-£82,164.00",
HMRC,VOA,04/09/2015,Network & communications,Corporate,Cable-Talk Comms Ltd,5100002751,"-£33,671.59",
HMRC,VOA,09/09/2015,Communications,Corporate,MAIN-TEL (NE) LTD,5100002794,"-£58,260.00",
HMRC,VOA,09/09/2015,Communications,Corporate,MAIN-TEL (NE) LTD,5100002795,"-£36,893.65",
HMRC,VOA,15/09/2015,IT services,Corporate,Software Box limited,5100002089,"-£48,229.78",
HMRC,VOA,15/09/2015,IT services,Corporate,Software Box limited,5100002090,"-£136,666.73",
HMRC,VOA,15/09/2015,IT services,Corporate,Software Box limited,5100002935,"-£29,021.31",
HMRC,VOA,15/09/2015,IT services,Corporate,Software Box limited,5100002936,"-£55,697.96",
HMRC,VOA,15/09/2015,IT services,Corporate,Software Box limited,5100002937,"-£25,105.80",
HMRC,VOA,15/09/2015,Network charges,Corporate,TNT UK LTD,5100002944,"-£52,016.46",
HMRC,VOA,16/09/2015,Aspire IT Contract,Corporate,CAPGEMINI UK PLC,1700000929,"£485,316.54",
HMRC,VOA,16/09/2015,Aspire IT Contract,Corporate,CAPGEMINI UK PLC,1700000930,"£218,916.42",
HMRC,VOA,16/09/2015,Royal Mail Postage,Corporate,ROYAL MAIL,1900015146,"-£110,249.22",
HMRC,VOA,16/09/2015,Online Services,Corporate,Cambridge Information Ltd,5100002956,"-£33,608.94",
HMRC,VOA,16/09/2015,Online Services,Corporate,Cambridge Information Ltd,5100002957,"-£44,541.00",
HMRC,VOA,16/09/2015,Aspire IT Contract,Corporate,CAPGEMINI UK PLC,5100002963,"-£1,717,426.49",
HMRC,VOA,17/09/2015,Service Charge,Corporate,HMRC - FINANCE BANKING TEAM,5100002964,"-£204,982.64",
HMRC,VOA,22/09/2015,Network charges,Corporate,TNT UK LTD,5100003019,"-£52,043.18",
HMRC,VOA,23/09/2015,Research,Corporate,Springboard Research Limited,5100003049,"-£60,000.00",
HMRC,VOA,23/09/2015,Acommodation charges,Corporate,DWP,5100003050,"-£85,862.62",
HMRC,VOA,23/09/2015,Acommodation charges,Corporate,DWP,5100003051,"-£63,826.35",
HMRC,VOA,25/09/2015,Mapeley property Services,Corporate,Mapeley Steps Contractor Ltd,5100003084,"-£54,250.56",
HMRC,VOA,28/09/2015,Tax payment,Corporate,BACS - OTHER,1900015163,"-£194,569.54",
HMRC,VOA,28/09/2015,Language research,Corporate,Linguistic Landscapes Ltd,5100003193,"-£52,242.56",
,,,,,,,,
