Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Leeds PCT,14/11/2011,Bldg/Eng Equip Maint/Rep,HQ Estates,MAC ROOFING & CONTRACTING LTD,13929193,114069.77
Department of Health,Leeds PCT,30/11/2011,Commercial Sector,GP CIC Bed Cover,OWLETT HALL NURSING HOME,14036930,38759.17
Department of Health,Leeds PCT,14/11/2011,Commercial Sector,GP CIC Beds,CORINTHIAN CARE LTD,13944011,43784.32
Department of Health,Leeds PCT,14/11/2011,Commercial Sector,GP CIC Beds,WESTWARD CARE LTD,13944023,30014.2
Department of Health,Leeds PCT,07/11/2011,Computer Software/License,LCH Recharges,BT GLOBAL SERVICES,13891937,31840.68
Department of Health,Leeds PCT,15/11/2011,Drugs,St Gemmas,LEEDS TEACHING HOSPITALS NHS TRUST,13898592,16569.25
Department of Health,Leeds PCT,15/11/2011,Drugs,Wheatfields,LEEDS TEACHING HOSPITALS NHS TRUST,13898592,8922
Department of Health,Leeds PCT,02/11/2011,External Consultancy Fees,Transformational Change,CAPITA BUSINESS SERVICES LTD,13876002,40424.4
Department of Health,Leeds PCT,07/11/2011,External Consultancy Fees,Transformational Change,CAPITA BUSINESS SERVICES LTD,13904982,26949.6
Department of Health,Leeds PCT,10/11/2011,External Consultancy Fees,Transformational Change,CAPITA BUSINESS SERVICES LTD,13929172,-40424.4
Department of Health,Leeds PCT,10/11/2011,External Consultancy Fees,Transformational Change,CAPITA BUSINESS SERVICES LTD,13929177,40424.4
Department of Health,Leeds PCT,07/11/2011,Grants,Grants & Subs - Children's,LEEDS CITY COUNCIL,13898510,52500
Department of Health,Leeds PCT,07/11/2011,Grants,Grants & Subs - Children's,MARKET PLACE,13898501,25608.75
Department of Health,Leeds PCT,21/11/2011,Grants,Healthy Living Centres,HEALTH FOR ALL (LEEDS) LTD,13983427,27500
Department of Health,Leeds PCT,21/11/2011,Grants,IAPT,LEEDS COUNSELLING,13976312,89041.5
Department of Health,Leeds PCT,21/11/2011,Grants,IAPT,LEEDS COUNSELLING,13976313,89041.5
Department of Health,Leeds PCT,15/11/2011,Hcare Srv Rec NHS Trust,Care Services,LEEDS COMMUNITY HEALTHCARE NHS TRUST,13892015,9916378
Department of Health,Leeds PCT,01/11/2011,Hcare Srv Rec NHS Trust,Cont Care Children,LEEDS COMMUNITY HEALTHCARE NHS TRUST,13824863,45208
Department of Health,Leeds PCT,15/11/2011,Hcare Srv Rec NHS Trust,Cont Care Children,LEEDS COMMUNITY HEALTHCARE NHS TRUST,13891931,83454
Department of Health,Leeds PCT,15/11/2011,Hcare Srv Rec NHS Trust,Leeds Teaching NHS Trust,LEEDS TEACHING HOSPITALS NHS TRUST,13891947,34492938
Department of Health,Leeds PCT,15/11/2011,Hcare Srv Rec NHS Trust,Mid Yorksh Hosp NHS Trust,MID YORKSHIRE HOSPITALS NHS TRUST,13921002,2201157
Department of Health,Leeds PCT,15/11/2011,Hcare Srv Rec NHS Trust,Other NCA,EAST LANCASHIRE HOSPITALS NHS TRUST,13905026,31191.3
Department of Health,Leeds PCT,15/11/2011,Hcare Srv Rec NHS Trust,Other NCA,NORFOLK & NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13898533,58694.78
Department of Health,Leeds PCT,01/11/2011,Hcare Srv Rec NHS Trust,Other NCA,SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST,13785222,47296.91
Department of Health,Leeds PCT,15/11/2011,Hcare Srv Rec NHS Trust,Other NCA,SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST,13929158,32557.38
Department of Health,Leeds PCT,15/11/2011,Hcare Srv Rec NHS Trust,Other NCA,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,13904987,30211
Department of Health,Leeds PCT,15/11/2011,Hcare Srv Rec NHS Trust,Other NCA,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,13905126,-30211
Department of Health,Leeds PCT,15/11/2011,Hcare Srv Rec NHS Trust,Patient Transport,YORKSHIRE AMBULANCE SERVICE NHS TRUST,13952764,343878
