Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,07/08/2017,Exp - Purchase Of Goods/Services - Other Foreign Travel,EU LEADERSHIP,"Personal Expense, Name Withheld",121,18.85,DECC ADMINISTRATIVE SPEND,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,07/08/2017,Exp - Purchase Of Goods/Services - Other - Programme Expenditure,EU LEADERSHIP,"Personal Expense, Name Withheld",121,73.36,DECC ADMINISTRATIVE SPEND,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy ",Department of Energy and Climate Change,17/08/2017,Exp - Purchase Of Goods/Services - Rail Travel,STATISTICS TEAM,"Personal Expense, Name Withheld",122,23.20,DECC ADMINISTRATIVE SPEND,,EMPLOYEE,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",14/08/2017,Learning and Dev - CS Skills,FCS - Finance & Corporate Services - Human Resources,CAPITA BUSINESS SERVICES LTD,190536,1461.00,MF Non Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",18/08/2017,R & D Current Grants to Private Sector - NPISH,Business and Science - International Science and Innovation,THE BRITISH COUNCIL,193949,421629.18,GSIE Gulf and Middle East and North Africa (MENA)-R & D Current Grants to Private Sector - NPISH,.,WGA ONLY,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",04/08/2017,Hire of Agency Staff,Market Frameworks - Regulatory Delivery,BROOK STREET (UK) LTD,197737,459.36,RD: Welsh Government-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,2.26,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,3.47,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,39.60,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,39.60,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,39.60,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,39.60,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,39.60,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,58.80,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,60.00,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,72.00,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,77.32,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,77.32,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,97.20,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,118.80,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",21/08/2017,Scientific Equipment,Market Frameworks - Regulatory Delivery,Mettler-Toledo Ltd,198047,289.50,RD: Calibation Services-Scientific Equipment,LE4 1AW,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",04/08/2017,Hire of Agency Staff,Market Frameworks - Regulatory Delivery,BROOK STREET (UK) LTD,198247,94.28,RD: Welsh Government-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",04/08/2017,Hire of Agency Staff,Market Frameworks - Regulatory Delivery,BROOK STREET (UK) LTD,198247,309.40,RD: Welsh Government-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",07/08/2017,Central Telecommunications Services,"FCS - Finance & Corporate Services - Digital, Data & Technology",VIRGIN MEDIA BUSINESS LTD,200092,919.96,MF Devolved Admin-Central Telecommunications Services,BN13 1XP,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",14/08/2017,Hire of Agency Staff,Department for International Trade - International Trade & Export Control,BROOK STREET (UK) LTD,200521,630.37,MF Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",14/08/2017,Hire of Agency Staff,Department for International Trade - International Trade & Export Control,BROOK STREET (UK) LTD,200707,494.21,MF Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",23/08/2017,Service Charges,FCS - Finance & Corporate Services - Operations,WATSON DAY LLP T/A WATSON DAY CHARTERED SURVEYORS,201072,6474.13,MF Devolved Admin-Service Charges,ME5 8LF,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",01/08/2017,Telecoms,FCS - Finance & Corporate Services - Operations,DAISY COMMUNICATIONS LTD,201179,79.34,MF Devolved Admin-Telecoms,BB9 5SR,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",29/08/2017,Publications,Business and Science - Government Office for Science,JONES YARRELL LEADENHALL,201273,100.08,Other Devolved Admin-Publications,EH12 9DJ,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",14/08/2017,Hire of Agency Staff,Department for International Trade - International Trade & Export Control,BROOK STREET (UK) LTD,201334,262.24,MF Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",01/08/2017,IT Infrastructure Support,"FCS - Finance & Corporate Services - Digital, Data & Technology",FCO SERVICES,201708,500.10,MF Devolved Admin-IT Infrastructure Support,MK19 7BH,WGA ONLY,,,
"Department for Business, Energy & Industrial Strategy","Department for Business, Innovation and Skills",17/08/2017,Stationery,"Skills, Deregulation and Local Growth - Business Growth",BANNER BUSINESS SERVICES LTD,201733,1.01,MF Devolved Admin-Stationery,S9 1XU,VENDOR,,,
