Body,Body Name,Transaction No.,Invoice Ref.,Vendor Name,Expense Code,Expense Type,Date,Amount,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T01G1-3151,Fascinatg Aida-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T01J1-3151,Sensational 60s-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T02G1-3151,Jimmy Carr-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T12H1-3151,Jerry Sadowitz-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T17H1-3151,Ed Byrne-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T20G1-3151,60s Gold-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T20H1-3151,Dave Gorman-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T20H1-3151,Dave Gorman-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T21G1-3151,Puptry of Penis-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T23F1-3151,Johnny Cash-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T23G1-3151,Hgh Schl Rocks-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T24H1-3151,The Drifters-Specialist Equipment,07 January 2012,£65.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T27G1-3151,Illegal Eagles-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T28F1-3151,The Manfreds-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464152,1112-015,A P DELL,C-1T30H1-3151,Paul Carrack-Specialist Equipment,07 January 2012,£130.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464690,145746,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,14 January 2012,£2.82,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464700,145736,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,14 January 2012,£2.82,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464702,145734,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,14 January 2012,£6.58,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464703,145733,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,14 January 2012,£10.34,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464701,145735,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,14 January 2012,£2.82,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464699,145737,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,14 January 2012,£10.34,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464693,145743,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,14 January 2012,£1.88,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464694,145742,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,14 January 2012,£6.58,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464698,145738,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,14 January 2012,£3.76,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464695,145741,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,14 January 2012,£9.40,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464691,145745,A&E FIRE EQUIPMENT LTD,C-C22120-1808,Sports & Open S-RM-Routine works,14 January 2012,£9.40,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464692,145744,A&E FIRE EQUIPMENT LTD,C-C23140-1808,Public Convnces-RM-Routine works,14 January 2012,£9.40,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464696,145740,A&E FIRE EQUIPMENT LTD,C-C23140-1808,Public Convnces-RM-Routine works,14 January 2012,£2.82,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464697,145739,A&E FIRE EQUIPMENT LTD,C-C23140-1808,Public Convnces-RM-Routine works,14 January 2012,£2.82,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464709,146232,A&E FIRE EQUIPMENT LTD,C-D13100-1808,Muni Off Blgs-RM-Routine works,14 January 2012,£235.18,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464687,145789,A&E FIRE EQUIPMENT LTD,C-D13550-1115,Area Off -E.Hse-Fire prevention,14 January 2012,£65.80,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464685,145880,A&E FIRE EQUIPMENT LTD,C-D14100-1808,Depot Building-RM-Routine works,14 January 2012,£159.11,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464688,145788,A&E FIRE EQUIPMENT LTD,C-D30200-1124,Misc Props & Ld-Berkeley Mews  Repairs,14 January 2012,£8.46,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464705,146624,A&E FIRE EQUIPMENT LTD,C-D30200-1124,Misc Props & Ld-Berkeley Mews  Repairs,14 January 2012,£8.46,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464689,145787,A&E FIRE EQUIPMENT LTD,C-D33950-1808,Resource Centre-RM-Routine works,14 January 2012,£5.64,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464710,146095,A&E FIRE EQUIPMENT LTD,C-E21100-1808,Car Prks-Off St-RM-Routine works,14 January 2012,£47.00,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464711,146094,A&E FIRE EQUIPMENT LTD,C-E21100-1808,Car Prks-Off St-RM-Routine works,14 January 2012,£163.78,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464277,146608,A&E FIRE EQUIPMENT LTD,C-H44600-1104,J D Court-Council House repairs,14 January 2012,£49.96,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464266,146516,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,14 January 2012,£15.04,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464268,146534,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,14 January 2012,£24.44,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464270,146514,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,14 January 2012,£2.82,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464286,146417,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,14 January 2012,£49.96,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464285,146533,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,14 January 2012,£51.70,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464284,146517,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,14 January 2012,£7.52,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,464283,146515,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,14 January 2012,£1.88,,
