Company(T),Trans.date,Supplier Name(T),TransNo,Amount,Irrecoverable vat,Service/Dept(T),Procurment Category,Account code,Account code(T),Narrative/Purpose of Spend,Government procurment card
East Cambridgeshire District Council,07/08/2017,Nat West,5106583,"2,265.98",,Staff Travelling,Employees,1051,Staff Travelling,TRAVELS,Y
East Cambridgeshire District Council,07/08/2017,Nat West,5106583,"1,077.68",,Staff Subsistence,Employees,1052,Staff Subsistence,SUBSISTENCE,Y
East Cambridgeshire District Council,14/07/2017,UK Fire Training,639256,675,,Training,Employees,1130,Training - In House,Fire Marshall Training 15/6/17,
East Cambridgeshire District Council,07/08/2017,Nat West,5106583,54.13,,Training - Expenses,Employees,1131,Training - Expenses,TRAINNING MATERIALS,Y
East Cambridgeshire District Council,24/07/2017,BRS Training Ltd,639340,846.25,,Member Training,Employees,1135,Training - External,Executive full day/half day,
East Cambridgeshire District Council,07/08/2017,Nat West,5106583,184,,Training - External,Employees,1135,Training - External,Training,Y
East Cambridgeshire District Council,11/07/2017,Local World Ltd - Cambridge Newspapers,639242,"1,266.00",,Finance - Accountancy,Employees,1140,Staff Advertising,Advert 28/6-7/7/17,
East Cambridgeshire District Council,25/07/2017,Local World Ltd - Cambridge Newspapers,639346,"1,327.50",,Homelessness,Employees,1140,Staff Advertising,,
East Cambridgeshire District Council,20/07/2017,Arbantia Limited,639301,"2,820.00",,Parks And Open Spaces,Premises,2020,Premises Contract Work,Replacement Fencing Stour Green Ely,
East Cambridgeshire District Council,17/07/2017,Able Group,639259,"3,182.85",,Mepal Outdoor Centre,Premises,2030,Premises Asset Management,Carried out 95 board ups,
East Cambridgeshire District Council,12/07/2017,Access All Areas,639225,"1,800.00",,The Grange,Premises,2030,Premises Asset Management,Access audit,
East Cambridgeshire District Council,07/07/2017,Dal Rod,639193,"1,060.00",,Travellers Site - Wentworth,Premises,2030,Premises Asset Management,Wentworth Travellers Site - Empty Tanks,
East Cambridgeshire District Council,10/07/2017,Dal Rod,639197,560,,Travellers Site - Wentworth,Premises,2030,Premises Asset Management,Wentworth Travellers Site - Pump Out Tanks,
East Cambridgeshire District Council,24/07/2017,Dal Rod,639312,620,,Travellers Site - Wentworth,Premises,2030,Premises Asset Management,Wentworth Travellers Site - Empty Pump Pit,
East Cambridgeshire District Council,24/07/2017,Dal Rod,639319,"1,250.00",,Travellers Site - Wentworth,Premises,2030,Premises Asset Management,Wentworth Travellers Site - Supply Grab Lorry to remove Contaminated Soil,
East Cambridgeshire District Council,06/07/2017,E.ON UK plc,1137578,"1,331.52",,Parking Of Vehicles,Premises,2110,Electricity,011397609520 St/Lighting-Car Parks,
East Cambridgeshire District Council,12/07/2017,Total Gas and Power Limited,1137630,"1,884.42",,The Grange,Premises,2110,Electricity,3004663200 The Grange,
East Cambridgeshire District Council,12/07/2017,Total Gas and Power Limited,1137641,744.2,,E Space North,Premises,2110,Electricity,3004663222 ESpace North,
East Cambridgeshire District Council,12/07/2017,Total Gas and Power Limited,1137654,582.47,,Portley Hill Littleport Depot,Premises,2110,Electricity,3004663211 Portley Hill Depot,
East Cambridgeshire District Council,19/07/2017,Burwell Ex-Service & Social Club,639280,"2,037.29",,Parking Of Vehicles,Premises,2215,Leases,Car park rights Burweel Ex-Service & Social Club,
East Cambridgeshire District Council,20/07/2017,Anglian Water Business (National) Ltd,1137697,560.9,,"PC Cloisters, Ely",Premises,2411,Sewerage Charge,0267307101 Public Toilets The Cloisters,
East Cambridgeshire District Council,28/06/2017,The Street Nameplate Co,639143,531,,Street Naming & Numbering,Premises,2811,Street Signs,,
East Cambridgeshire District Council,10/07/2017,Eastern Landscape Service Ltd,639198,870,,Tree Preservation/Landscaping,Premises,2814,Tree Management,Tree Work,
East Cambridgeshire District Council,12/07/2017,NLA Media Access Limited,1137622,730,,Public Relations,Premises,2841,Licences,Renewal of Copyright Licence L00050495 17/7/17-16/7/18,
East Cambridgeshire District Council,04/07/2017,Be Fuelcards,1137566,559.43,,General Gang,Transport,3021,Derv,June fuel cards,
East Cambridgeshire District Council,04/07/2017,Be Fuelcards,1137566,"1,560.27",,Parks And Open Spaces,Transport,3021,Derv,June fuel cards,
East Cambridgeshire District Council,19/07/2017,CPS Fuels Ltd,1137699,536.48,,Parks And Open Spaces,Transport,3021,Derv,ULS Gas Oil,
East Cambridgeshire District Council,05/07/2017,Post Office Ltd,1137570,650,,Weekly Collection Support Grant,Transport,3024,Vehicle Excise Duty,Road fund license,
East Cambridgeshire District Council,06/07/2017,Post Office Ltd,1137571,650,,Weekly Collection Support Grant,Transport,3024,Vehicle Excise Duty,Road fund license,
