Dept Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount
DWP,HEALTH AND SAFETY EXECUTIVE,06/12/2010,PFI UNITARY CHARGE,HEALTH AND SAFETY LABORATORY,INVESTORS IN THE COMMUNITY (BUXTON),"=""0000105870""",757214.33
DWP,HEALTH AND SAFETY EXECUTIVE,10/12/2010,ELECTRICITY,HEALTH AND SAFETY LABORATORY,EDF ENERGY                         ,"=""0000105927""",57361.00
DWP,HEALTH AND SAFETY EXECUTIVE,14/12/2010,EXPERIMENTAL FACILITIES (CEN EXPLOSIVES PAD),HEALTH AND SAFETY LABORATORY,ADMIRAL CONSTRUCTION LTD           ,"=""0000105969""",50580.00
DWP,HEALTH AND SAFETY EXECUTIVE,20/12/2010,ELECTRICITY,HEALTH AND SAFETY LABORATORY,EDF ENERGY                         ,"=""0000106020""",52939.26
DWP,HEALTH AND SAFETY EXECUTIVE,22/12/2010,RATES,HEALTH AND SAFETY LABORATORY,COUNCIL OF THE BOROUGH OF HIGH PEAK,"=""0000106027""",78511.00
DWP,HEALTH AND SAFETY EXECUTIVE,22/12/2010,PFI ADDITIONAL WORKS/CHARGES,HEALTH AND SAFETY LABORATORY,INVESTORS IN THE COMMUNITY (BUXTON),"=""0000106033""",58747.61
DWP,HEALTH AND SAFETY EXECUTIVE,02/12/2010,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010166428""",60702.09
DWP,HEALTH AND SAFETY EXECUTIVE,02/12/2010,IT,BUSINESS SERVICES DIRECTORATE,CABLE & WIRELESS COMMUNICATIONS,"=""0010166447""",135497.48
DWP,HEALTH AND SAFETY EXECUTIVE,02/12/2010,NUCLEAR SAFETY STUDIES,NUCLEAR SAFETY DIRECTORATE,OVE ARUP & PARTNERS LIMITED,"=""0010166450""",27614.00
DWP,HEALTH AND SAFETY EXECUTIVE,07/12/2010,RENTS,BUSINESS SERVICES DIRECTORATE,WORKMAN LLP,"=""0010166487""",35388.06
DWP,HEALTH AND SAFETY EXECUTIVE,07/12/2010,RENTS,BUSINESS SERVICES DIRECTORATE,EDDISONS COMMERCIAL LIMITED,"=""0010166490""",73437.50
DWP,HEALTH AND SAFETY EXECUTIVE,07/12/2010,RENTS,BUSINESS SERVICES DIRECTORATE,KING STURGE LLP,"=""0010166495""",17478.13
DWP,HEALTH AND SAFETY EXECUTIVE,07/12/2010,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,KING STURGE LLP,"=""0010166495""",8682.75
DWP,HEALTH AND SAFETY EXECUTIVE,07/12/2010,RENTS,BUSINESS SERVICES DIRECTORATE,M J MAPP LLP,"=""0010166517""",88859.38
DWP,HEALTH AND SAFETY EXECUTIVE,07/12/2010,PROGRAMME MANAGEMENT SERVICES,NUCLEAR SAFETY DIRECTORATE,OPERATIONS IMPROVEMENTS LTD,"=""0010166527""",26085.00
DWP,HEALTH AND SAFETY EXECUTIVE,07/12/2010,PROGRAMME MANAGEMENT SERVICES,NUCLEAR SAFETY DIRECTORATE,SEUC COMPANY LIMITED,"=""0010166528""",27025.00
DWP,HEALTH AND SAFETY EXECUTIVE,07/12/2010,INFOLINE,BUSINESS SERVICES DIRECTORATE,CONNAUGHT COMPLIANCE SERVICES LTD,"=""0010166536""",83167.00
