Title:,Public sector expenditure on UK biodiversity 2000-01 to 2010-11,,,,,,,,,,
Year:,2000-2010,,,,,,,,,,
Geography:,United Kingdom,,,,,,,,,,
Units:,£M,,,,,,,,,,
Source:,"Department for Environment, Food and Rural Affairs (Defra) and HM Treasury",,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/supplementary/spfg20-expendbio/,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,
Custodian,"Sustainable Production and Procurement, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,
Release Date:,Jun-12,,,,,,,,,,
Notes:,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11
"UK public sector spending (£M, current prices)",201.4,232.6,257.9,282.6,330.5,369.0,427.6,454.1,475.7,472.1,458.9
"Public sector spending on UK Biodiversity (£M, 2010/11 prices)",256.8,291.1,314.5,337.7,383.8,420.0,471.1,489.0,497.3,484.9,458.9
GDP deflator at market prices (2010/11 = 100),78.4,79.9,82.0,83.7,86.1,87.9,90.8,92.9,95.6,97.4,100.0
"GDP (£M, current prices)",989614,1031977,1091992,1156181,1214868,1274084,1346647,1426101,1417690,1406771,1477883
"GDP in volume terms (£M, 2010/11 prices)",1261555,1291731,1331876,1381372,1410997,1450229,1483663,1535837,1482242,1444872,1477883
Spending on biodiversity as proportion of GDP,0.02,0.023,0.024,0.024,0.027,0.029,0.032,0.032,0.034,0.034,0.031
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
