Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",313,292.85,592,567.23,1483,1421.23,991,951.01,117,113.16,8,8,"3,504","3,353",68,61.83,38,35.89,349,334.7,2,2,457,434.42,"3,961","3,788","£11,279,690.00","£42,205.00","£44,605.00","£32,465.00","£2,323,755.00","£1,192,800.00","£14,915,520.00","£2,020,613.24","£23,056.86","£2,043,670.10","£16,959,190.10",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",770,706.31056,524,488.39103,736,698.77812,159,154.87785,6,6,0,0,"2,195","2,054",49,49,0,0,29,29,0,0,78,78,"2,273","2,132","£5,107,131.11","£81,024.97","£2,750.00","£90,665.62","£1,072,488.74","£517,747.37","£6,871,807.81","£226,018.73",£0.00,"£226,018.73","£7,097,826.54",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",92,87.41,134,122,280,266.78,103,95.57,3,3,0,0,612,574.76,0,0,0,0,0,0,0,0,0,0,612,574.76,"£1,476,601.00","£72,005.00",£0.00,"£37,251.00","£311,077.00","£158,236.00","£2,055,170.00",£0.00,£0.00,£0.00,"£2,055,170.00",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",594,507.54,474,429.84,415,392.35,86,85.55,5,5,0,0,"1,574","1,420",212,212,7,7,0,0,0,0,219,219,"1,793","1,639","£3,127,033.76","£2,601.18",£250.00,"£148,677.49","£660,402.32","£306,341.67","£4,245,306.42","£309,456.53","£75,662.73","£385,119.26","£4,630,425.68",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",33,30.79,27,26.44,47,45.63,46,45.48,2,2,0,0,155,150.34,12,10.5,0,0,0,0,0,0,12,10.5,167,160.84,"£462,128.00","£15,887.00","£12,200.00","£4,143.00","£100,230.00","£52,503.00","£647,091.00","£54,427.00",£0.00,"£54,427.00","£701,518.00",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.)
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.)
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,451,430.13,451,430.13,12,12,0,0,10,10,0,0,22,22,473,452.13,"£1,345,707.75","£48,555.04",£0.00,"£1,452.87","£118,870.93","£151,419.68","£1,666,006.27","£33,335.19",£0.00,"£33,335.19","£1,699,341.46",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,7.94,25,24.89,20,18.54,11,10.92,5,4.6,0,0,70,66.89,1,1,1,1,0,0,0,0,2,2,72,68.89,"£185,829.00","£2,092.00",£0.00,£422.00,"£38,691.00","£19,166.00","£246,200.00","£6,384.00",£0.00,"£6,384.00","£252,584.00",
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1636,1530.62,2490,2324.32,2989,2799.6,1798,1712.98,88,86.76,917,903.99,9918,9358.27,158,150.52,33,31.49,8,8,317,285.3,516,475.31,10434,9833.58,"£26,094,198.93","£308,501.06","£6,095,617.44","£1,131,290.84","£4,580,559.81","£3,630,474.97","£41,840,643.05","£461,877.72","£245,154.78","£707,032.50","£42,547,675.55",
Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",11,10.3,21,20.21,118,111.26,26,24.8,2,2,5,0.75,183,169.32,0,0,0,0,0,0,0,0,0,0,183,169.32,"£447,252.03","£11,542.44","£8,845.40",£0.00,"£93,321.90","£47,121.86","£608,083.63",£0.00,£0.00,£0.00,"£608,083.63",
