CPS outcomes by principal offence category h_yorkshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,104,78.2%,29,21.8%
C Sexual Offences,6,66.7%,3,33.3%
D Burglary,18,90.0%,2,10.0%
E Robbery,6,85.7%,1,14.3%
F Theft And Handling,142,93.4%,10,6.6%
G Fraud And Forgery,7,100.0%,0,0.0%
H Criminal Damage,49,86.0%,8,14.0%
I Drugs Offences,69,95.8%,3,4.2%
J Public Order Offences,100,84.7%,18,15.3%
K All Other Offences (excluding Motoring),17,77.3%,5,22.7%
L Motoring Offences,131,91.6%,12,8.4%
Admin Finalisations,0,0.0%,6,100.0%
TOTAL,649,87.0%,97,13.0%
