CPS outcomes by principal offence category devon_and_cornwall,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,100.0%,0,0.0%
B Offences Against The Person,197,84.3%,49,15.7%
C Sexual Offences,14,85.0%,1,15.0%
D Burglary,44,91.1%,7,8.9%
E Robbery,2,72.7%,0,27.3%
F Theft And Handling,175,95.1%,23,4.9%
G Fraud And Forgery,14,91.7%,0,8.3%
H Criminal Damage,87,89.6%,10,10.4%
I Drugs Offences,100,95.0%,10,5.0%
J Public Order Offences,151,84.2%,31,15.8%
K All Other Offences (excluding Motoring),87,80.9%,25,19.1%
L Motoring Offences,282,92.9%,27,7.1%
Admin Finalisations,0,0.0%,5,100.0%
TOTAL,"1,153",86.0%,188,14.0%
