"Department Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount","Invoice Number"
"Department of Health","Portsmouth Hospitals Trust","01/03/2011","Blood Products","BLOOD TRANSFUSION SERVICE","NHS BLOOD & TRANSPLANT",12467286,28122.45,"801425"
"Department of Health","Portsmouth Hospitals Trust","03/03/2011","Blood Products","BLOOD TRANSFUSION SERVICE","NHS BLOOD & TRANSPLANT",12491142,213301.39,"801780"
"Department of Health","Portsmouth Hospitals Trust","04/03/2011","CAPD Fluids","RENAL PD UNIT","BAXTER HEALTHCARE LTD",12549081,83228.17,"001333026"
"Department of Health","Portsmouth Hospitals Trust","22/03/2011","CAPD Fluids","RENAL PD UNIT","BAXTER HEALTHCARE LTD",12671168,75818.62,"001347416"
"Department of Health","Portsmouth Hospitals Trust","15/03/2011","Capital Non Pay Costs","Balance Sheet","BLOCK SOLUTIONS LTD",12500380,46939.93,"1407"
"Department of Health","Portsmouth Hospitals Trust","28/03/2011","Capital Non Pay Costs","Balance Sheet","MOUNT INTERNATIONAL ULTRASOUND SERVICES",12727014,26304,"6164"
"Department of Health","Portsmouth Hospitals Trust","15/03/2011","Capital Non Pay Costs","Balance Sheet","TAYLOR MADE COMPUTER SOLUTIONS LTD",12516222,27506,"SIN028022"
"Department of Health","Portsmouth Hospitals Trust","29/03/2011","Capital Non Pay Costs","Balance Sheet","TAYLOR MADE COMPUTER SOLUTIONS LTD",12726906,30892.74,"SIN028485"
"Department of Health","Portsmouth Hospitals Trust","18/03/2011","Capital Non Pay Costs","Balance Sheet","VARIAN LTD",12228355,261559.47,"602093320"
"Department of Health","Portsmouth Hospitals Trust","18/03/2011","Capital Non Pay Costs","Balance Sheet","VARIAN LTD",12228357,102735.58,"602093321"
"Department of Health","Portsmouth Hospitals Trust","04/03/2011","Capital Non Pay Costs","Balance Sheet","VARIAN LTD",12228365,59564.52,"602093326"
"Department of Health","Portsmouth Hospitals Trust","11/03/2011","Commercial Sector","B`STOKE DIALYSIS","FRESENIUS MEDICALCARE RENAL SERVICES LTD",12587515,48772.66,"1060016473"
