,,,,Plymouth,South West,England
,,,,Unitary Authority,Region,Country
All Usual Residents Aged 16 and Over in Households,Count,Persons,Mar-11,206292,4253024,42077356
Living in a Couple; Married or in a Registered Same-Sex Civil Partnership,Count,Persons,Mar-11,88293,2075877,19296455
Living in a Couple; Married or in a Registered Same-Sex Civil Partnership,Percentage,Persons,Mar-11,42.8,48.8,45.9
Living in a Couple; Cohabiting,Count,Persons,Mar-11,27619,523485,5024849
Living in a Couple; Cohabiting,Percentage,Persons,Mar-11,13.4,12.3,11.9
Not Living in a Couple; Single (Never Married or Never Registered a Same-Sex Civil Partnership),Count,Persons,Mar-11,55578,948527,10862019
Not Living in a Couple; Single (Never Married or Never Registered a Same-Sex Civil Partnership),Percentage,Persons,Mar-11,26.9,22.3,25.8
Not Living in a Couple; Married or in a Registered Same-Sex Civil Partnership,Count,Persons,Mar-11,2066,46638,613991
Not Living in a Couple; Married or in a Registered Same-Sex Civil Partnership,Percentage,Persons,Mar-11,1,1.1,1.5
Not Living in a Couple; Separated (but Still Legally Married or Still Legally in a Same-Sex Civil Partnership),Count,Persons,Mar-11,4066,77683,898194
Not Living in a Couple; Separated (but Still Legally Married or Still Legally in a Same-Sex Civil Partnership),Percentage,Persons,Mar-11,2,1.8,2.1
Not Living in a Couple; Divorced or Formerly in a Same-Sex Civil Partnership which is Now Legally Dissolved,Count,Persons,Mar-11,16023,294097,2745873
Not Living in a Couple; Divorced or Formerly in a Same-Sex Civil Partnership which is Now Legally Dissolved,Percentage,Persons,Mar-11,7.8,6.9,6.5
Not Living in a Couple; Widowed or Surviving Partner from a Same-Sex Civil Partnership,Count,Persons,Mar-11,12647,286717,2635975
Not Living in a Couple; Widowed or Surviving Partner from a Same-Sex Civil Partnership,Percentage,Persons,Mar-11,6.1,6.7,6.3
"Living Arrangements, 2011 (KS104EW), Mar11",LastUpdated,30-Jan-13,,,,
"Living Arrangements, 2011 (KS104EW), Mar11",Source,Office for National Statistics,,,,
Living Arrangements (KS104EW),National Statistics,,,,,
"This material is Crown Copyright. You may re-use this information (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence. To view this licence, visit www.nationalarchives.gov.uk/doc/open-government-licence Information Policy Team, The National Archives, Kew, London TW9 4DU, or email:psi@nationalarchives.gsi.gov.uk. When reproducing this material, the source should be acknowledged.",,,,,,
